# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6394247	0.6394278	-3.0691943e-10	0.07071083	0.07071083	0	132915.31	132915.95	-6.371191e-05	635548.4	259648.77	-0.00010261194	259646.17	635550.06	-0.0003358209
0	0.63918006	0.6391797	-2.4909405e-10	0.07035724	0.07035724	0	132864.45	132864.38	-5.4016622e-05	635720.75	259130.95	-0.00013059702	259131.34	635720.6	-0.00023787313
0	0.6389317	0.63893116	-1.8682053e-10	0.07000352	0.07000351	0	132812.83	132812.72	-4.2936288e-05	635894.6	258609.22	-0.00014925373	258609.81	635894.4	-0.00016557836
0	0.63867974	0.63867915	-1.690281e-10	0.06964995	0.06964995	0	132760.45	132760.33	-3.601108e-05	636069.8	258081.23	-6.529851e-05	258081.83	636069.6	-0.00018190299
0	0.6384287	0.63842815	-1.6457999e-10	0.06929654	0.06929654	0	132708.27	132708.17	-3.462604e-05	636244.8	257554.78	-0.00013992537	257555.38	636244.56	-0.00010727612
0	0.6381753	0.6381747	-2.8023078e-10	0.06894301	0.06894301	0	132655.6	132655.47	-5.5401662e-05	636420.25	257024.4	-0.00019589553	257025	636420.1	-0.00020988807
0	0.6379208	0.63792014	-2.0016486e-10	0.06858926	0.06858927	0	132602.69	132602.56	-4.2936288e-05	636595.6	256492.81	-5.5970148e-05	256493.4	636595.4	-0.00023087686
0	0.6376646	0.63766414	-1.8237242e-10	0.0682357	0.0682357	0	132549.47	132549.34	-3.601108e-05	636771.3	255958.58	-0.00010261194	255959.19	636771.1	-0.00015974813
0	0.63740706	0.6374066	-1.4233945e-10	0.06788229	0.067882285	0	132495.94	132495.8	-3.0470914e-05	636947.1	255422.2	-9.328358e-05	255422.8	636946.94	-0.00013059702
0	0.63714916	0.63714856	-2.0906107e-10	0.06752872	0.06752872	0	132442.31	132442.17	-4.2936288e-05	637123	254885.23	-0.00013059702	254885.83	637122.75	-0.00018889926
0	0.63688934	0.6368888	-5.3377292e-11	0.06717499	0.06717499	0	132388.3	132388.17	-1.1080332e-05	637299.2	254345.2	-2.7985074e-05	254345.81	637299	-6.296642e-05
0	0.6366271	0.6366265	-3.2915998e-10	0.06682174	0.06682174	0	132333.78	132333.64	-6.6481996e-05	637475.6	253801.62	-0.00020522389	253802.22	637475.44	-0.0002472015
0	0.636365	0.6363644	-2.1350917e-10	0.06646816	0.06646816	0	132279.33	132279.19	-4.8476453e-05	637651.56	253258.81	-9.328358e-05	253259.42	637651.4	-0.00023087686
0	0.6361016	0.63610107	-2.4019783e-10	0.066114426	0.066114426	0	132224.55	132224.42	-4.9861497e-05	637828.1	252713.52	-0.00020522389	252714.11	637827.9	-0.00015158582
0	0.6358375	0.635837	-7.561783e-11	0.06576087	0.06576087	0	132169.67	132169.55	-1.1080332e-05	638004.6	252167.36	9.328358e-06	252167.97	638004.4	-9.328358e-05
0	0.6355713	0.63557065	-1.7792431e-10	0.06540745	0.06540745	0	132114.31	132114.2	-3.601108e-05	638181.56	251617.61	-4.664179e-05	251618.16	638181.3	-0.0002028918
0	0.63530374	0.6353032	-1.1120269e-10	0.06505392	0.06505392	0	132058.69	132058.58	-2.0775624e-05	638358.56	251066.11	-5.5970148e-05	251066.7	638358.3	-8.628731e-05
0	0.6350354	0.63503474	-2.5354216e-10	0.06470019	0.06470019	0	132002.92	132002.8	-5.2631578e-05	638535	250513.94	-0.00014925373	250514.52	638534.8	-0.00020522389
0	0.6347653	0.63476473	-1.0230648e-10	0.06434663	0.06434663	0	131946.78	131946.66	-2.3545706e-05	638712.06	249958.72	-7.462686e-05	249959.28	638711.8	-7.695895e-05
