# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.65310013	0.65310264	1.8270532e-10	0.07071066	0.07071067	0	127601.25	127601.734	3.0416666e-05	638661.56	275681.1	9.55414e-05	275678.6	638662.5	0.00015127388
0	0.65286034	0.65285856	-1.8507812e-10	0.0703572	0.0703572	0	127554.4	127554.05	-2.3611112e-05	638905.94	275097	-0.00015127388	275098.47	638904.94	-6.3694264e-05
0	0.6526127	0.6526107	-5.7991145e-10	0.07000352	0.07000352	0	127506.02	127505.63	-0.00010333333	639155.75	274500.4	-0.00035828026	274502.06	639154.6	-0.00039410827
0	0.6523639	0.652362	-2.890066e-10	0.06965007	0.06965007	0	127457.41	127457.02	-5e-05	639405.56	273902.25	-0.0003343949	273903.94	639404.4	-6.3694264e-05
0	0.65211636	0.6521143	-4.6886456e-10	0.0692964	0.06929639	0	127409.05	127408.65	-9.138889e-05	639653.94	273307.38	-0.00025477706	273308.97	639652.7	-0.00035031847
0	0.6518642	0.65186214	-1.00606565e-10	0.068942994	0.068942994	0	127359.77	127359.38	-2.0555555e-05	639905.1	272703.06	-0.00014729299	272704.72	639903.9	7.961783e-06
0	0.6516111	0.65160894	-4.147648e-10	0.06858931	0.06858931	0	127310.33	127309.92	-8.416667e-05	640156.3	272097.44	-0.00027866242	272099.12	640155.25	-0.00032643313
0	0.6513567	0.6513546	-3.369371e-10	0.06823585	0.068235844	0	127260.61	127260.21	-7.2222225e-05	640407.9	271489.72	-0.00026273885	271491.44	640406.75	-0.00022292994
0	0.65110135	0.65109926	-5.998429e-10	0.06788218	0.06788218	0	127210.73	127210.32	-0.000116111114	640659.5	270880.66	-0.00044187898	270882.34	640658.3	-0.00035031847
0	0.6508427	0.65084064	-3.250731e-10	0.06752872	0.06752872	0	127160.195	127159.79	-5.8055557e-05	640913.2	270264.94	-0.0002388535	270266.62	640911.94	-0.00015923567
