# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.63515484	0.6351528	-2.9706956e-10	0.070710704	0.070710704	0	123239.89	123239.49	-5.8503472e-05	659865.94	229348.48	-0.00012866185	229350.9	659865.5	-0.00027317143
0	0.6348647	0.6348623	-1.0125942e-10	0.07035722	0.07035722	0	123183.586	123183.125	-1.8439323e-05	660081.06	228726.77	-5.015317e-05	228729.56	660080.4	-8.971922e-05
0	0.6345694	0.63456714	-3.5858957e-10	0.07000352	0.07000352	0	123126.31	123125.85	-6.968131e-05	660298.9	228095.66	-0.00031721083	228098.45	660298.3	-0.00019158771
0	0.6342726	0.6342701	-6.233689e-11	0.06965005	0.06965005	0	123068.695	123068.234	-1.2989767e-05	660516.75	227462.02	-0.00015863292	227464.8	660516.2	6.965973e-05
0	0.63397384	0.63397145	-8.27815e-11	0.06929643	0.06929643	0	123010.734	123010.27	-1.4782741e-05	660734.94	226825.64	-1.0325957e-05	226828.42	660734.4	-0.00010747974
0	0.6336738	0.63367134	-3.773517e-10	0.068942994	0.068942994	0	122952.516	122952.04	-7.070386e-05	660953.25	226187.17	-0.00029592257	226189.97	660952.6	-0.00021966948
0	0.6333721	0.6333698	-1.8589431e-10	0.06858929	0.06858929	0	122894.01	122893.54	-3.794385e-05	661171.5	225546.73	-0.00011700162	225549.53	661170.94	-0.00016093212
0	0.6330685	0.63306606	-4.4339088e-10	0.06823583	0.06823583	0	122835.07	122834.59	-8.662243e-05	661390.3	224902.86	-0.00033621653	224905.66	661389.6	-0.000309848
0	0.6327637	0.63276124	-5.782663e-10	0.067882195	0.067882195	0	122775.93	122775.46	-0.00010980566	661608.6	224257.66	-0.00039587595	224260.47	661608.1	-0.00042757817
0	0.63245696	0.6324545	-2.0643727e-10	0.06752872	0.06752872	0	122716.4	122715.96	-3.9938674e-05	661827.44	223609.48	-0.00023352845	223612.28	661826.94	-6.5424014e-05
0	0.63214856	0.6321462	-1.3495279e-10	0.06717502	0.06717502	0	122656.586	122656.12	-3.0728785e-05	662046.25	222958.94	-0.00027454575	222961.72	662045.8	7.762246e-05
0	0.6318383	0.63183594	-1.0785003e-10	0.066821605	0.066821605	0	122596.38	122595.92	-2.1179181e-05	662265.5	222305.33	-0.0001079195	222308.16	662265	-5.4976867e-05
