# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.64410156	0.6440996	-3.1819447e-10	0.0707108	0.07071081	0	116781.18	116780.81	-5.7098765e-05	644259.8	257480.75	-0.00020257388	257482.33	644258.7	-0.00027407054
0	0.64400154	0.6440006	-3.4092267e-11	0.07056912	0.07056912	0	116763.055	116762.875	-7.716049e-06	644343.2	257258.36	3.5748333e-05	257258.98	644342.5	-7.7454715e-05
0	0.6438988	0.64389795	-2.7273814e-10	0.070427895	0.070427895	0	116744.41	116744.26	-5.2469135e-05	644431.1	257026.56	-0.00017874165	257027.08	644430.56	-0.00020257388
0	0.6437954	0.6437946	-3.977431e-10	0.070286475	0.070286475	0	116725.67	116725.53	-7.2530864e-05	644519.8	256793.28	-0.0002502383	256793.77	644519.2	-0.00033365109
0	0.6436912	0.64369035	-1.1364089e-10	0.07014494	0.07014494	0	116706.77	116706.62	-2.0061729e-05	644608.9	256558.25	-0.00014299333	256558.77	644608.2	-2.383222e-05
0	0.64358914	0.64358836	-1.7046133e-10	0.07000352	0.07000352	0	116688.27	116688.125	-3.395062e-05	644696.75	256327.53	-0.00016682554	256328.05	644696.1	-0.00011320305
0	0.6434855	0.64348465	-9.091271e-11	0.069862284	0.06986228	0	116669.48	116669.33	-2.0061729e-05	644785.1	256094	-1.191611e-05	256094.55	644784.56	-0.00013703527
0	0.64338154	0.64338076	-4.3183537e-10	0.06972061	0.0697206	0	116650.625	116650.49	-8.0246915e-05	644873.75	255859.89	-0.0003038608	255860.4	644873.06	-0.00032769304
0	0.64327735	0.6432766	-2.6137403e-10	0.06957921	0.06957921	0	116631.74	116631.6	-5.2469135e-05	644962.1	255625.64	-0.00021448999	255626.17	644961.6	-0.00019065777
0	0.64317316	0.6431724	-1.4773315e-10	0.06943796	0.069437966	0	116612.85	116612.69	-2.7777778e-05	645050.6	255391.22	-7.1496666e-05	255391.75	645050.1	-0.00013107722
0	0.643068	0.6430671	-1.1364089e-10	0.06929652	0.06929652	0	116593.78	116593.64	-1.8518518e-05	645139.94	255154.64	-4.766444e-05	255155.17	645139.3	-8.937083e-05
0	0.6429639	0.64296305	-1.7046133e-10	0.06915501	0.069155015	0	116574.914	116574.75	-2.6234567e-05	645227.94	254920.94	-0.00011916111	254921.48	645227.3	-0.00013703527
0	0.6428576	0.6428568	-2.5000996e-10	0.0690136	0.0690136	0	116555.64	116555.5	-4.1666666e-05	645317.3	254682.86	-0.00014299333	254683.39	645316.6	-0.00019065777
0	0.64275277	0.64275193	-4.8865584e-10	0.06887218	0.06887218	0	116536.63	116536.484	-8.487654e-05	645406.06	254447.28	-0.00027407054	254447.8	645405.44	-0.00040514776
0	0.64264685	0.642646	-3.86379e-10	0.0687307	0.0687307	0	116517.42	116517.28	-6.9444446e-05	645494.94	254210.12	-0.0003574833	254210.66	645494.25	-0.00020853193
0	0.6425408	0.64254	-3.5228676e-10	0.06858927	0.06858927	0	116498.2	116498.06	-6.0185186e-05	645584.25	253972.45	-0.00016905981	253972.97	645583.56	-0.00029790276
0	0.6424355	0.64243466	-4.2047127e-10	0.068448	0.068448	0	116479.1	116478.96	-7.467689e-05	645673.2	253735.95	-0.00022044804	253736.48	645672.56	-0.00040514776
0	0.6423294	0.64232856	-2.5000996e-10	0.068306595	0.06830659	0	116459.88	116459.72	-4.6296296e-05	645762.25	253498.42	-0.00015490943	253499.02	645761.6	-0.00017874165
0	0.6422219	0.6422211	-3.977431e-10	0.068165086	0.06816509	0	116440.38	116440.24	-7.407407e-05	645851.7	253258.5	-0.00026215444	253259.06	645851	-0.00035152526
0	0.642115	0.64211416	-1.1932293e-10	0.06802368	0.06802368	0	116421	116420.85	-1.8518518e-05	645941.25	253019.17	-0.00010128694	253019.73	645940.7	-8.937083e-05
0	0.64200735	0.64200646	-1.9887154e-10	0.06788226	0.06788226	0	116401.484	116401.31	-3.5493827e-05	646031.06	252778.69	-0.00015490943	252779.2	646030.5	-0.00011916111
0	0.641901	0.6419002	2.1591769e-10	0.06774077	0.06774077	0	116382.2	116382.05	3.858025e-05	646119.94	252540.9	0.00015490943	252541.47	646119.4	0.00018469972
0	0.64179283	0.641792	-3.4092265e-10	0.06759932	0.06759932	0	116362.58	116362.43	-6.3271604e-05	646209.56	252299.77	-0.00016682554	252300.33	646209	-0.00033365109
0	0.64168584	0.64168495	-2.6137403e-10	0.067458086	0.067458086	0	116343.19	116343.04	-4.3209875e-05	646299	252060.61	-0.00019065777	252061.19	646298.4	-0.00020853193
0	0.6415784	0.64157754	-1.7614338e-10	0.06731665	0.06731665	0	116323.695	116323.555	-3.2407406e-05	646388.2	251821.03	-8.341277e-05	251821.61	646387.56	-0.0001608675
0	0.6414693	0.6414684	-1.8182542e-10	0.067175	0.067175	0	116303.92	116303.77	-3.5493827e-05	646477.94	251578.47	-0.00021448999	251579.03	646477.25	-8.937083e-05
0	0.6413601	0.64135927	-2.8410221e-10	0.06703376	0.06703376	0	116284.14	116283.984	-5.5555556e-05	646568.44	251335.16	-0.00021448999	251335.75	646567.8	-0.00021448999
0	0.64125246	0.64125156	-3.2955857e-10	0.06689233	0.06689233	0	116264.61	116264.45	-5.8641974e-05	646657.56	251095.25	-0.00021448999	251095.83	646657	-0.00023794983
0	0.6411426	0.64114183	-3.4092267e-11	0.06675082	0.06675082	0	116244.695	116244.55	-6.1728397e-06	646747.9	250851.33	-6.553861e-05	250851.9	646747.1	3.5748333e-05
0	0.6410346	0.6410337	-3.0114836e-10	0.0666094	0.0666094	0	116225.11	116224.96	-5.5555556e-05	646837.06	250610.75	-0.00012511916	250611.33	646836.5	-0.0002919447
0	0.64092386	0.6409231	4.5456354e-11	0.06646816	0.06646815	0	116205.04	116204.9	7.716049e-06	646927.7	250365.22	2.383222e-05	250365.8	646927.06	1.191611e-05
0	0.6408154	0.64081454	-2.7273814e-10	0.0663265	0.06632651	0	116185.375	116185.21	-5.3626543e-05	647017.06	250123.94	-0.00026215444	250124.5	647016.5	-0.00014895138
0	0.640704	0.6407031	-2.954663e-10	0.06618509	0.06618508	0	116165.164	116165.016	-5.7098765e-05	647107.94	249877.02	-0.0002264061	249877.58	647107.4	-0.00022044804
0	0.6405948	0.6405939	-5.6820444e-11	0.06604384	0.06604383	0	116145.35	116145.22	-1.0802469e-05	647197.7	249634.4	1.191611e-05	249635.02	647197.06	-8.937083e-05
0	0.64048404	0.64048314	-1.3636907e-10	0.06590237	0.06590237	0	116125.266	116125.12	-2.6548032e-05	647288.3	249388.66	-0.00016682554	249389.27	647287.7	-8.937083e-05
0	0.64037335	0.6403725	-2.2728177e-11	0.06576091	0.0657609	0	116105.24	116105.08	-3.0864198e-06	647378.44	249143.73	3.3514061e-06	249144.38	647377.75	-5.3622498e-05
0	0.6402621	0.64026123	-2.954663e-10	0.06561947	0.06561947	0	116085.055	116084.89	-5.2469135e-05	647469.06	248897.33	-0.00023832222	248897.92	647468.44	-0.00020257388
0	0.6401513	0.6401504	-3.068304e-10	0.06547823	0.06547823	0	116064.96	116064.81	-5.0925926e-05	647558.7	248652.56	-0.00019661583	248653.14	647558.1	-0.00023832222
0	0.6400391	0.64003825	-1.2500498e-10	0.065336585	0.065336585	0	116044.61	116044.445	-2.3148148e-05	647649.6	248404.53	-4.766444e-05	248405.14	647648.94	-0.0001608675
0	0.6399268	0.6399259	-4.3183537e-10	0.06519516	0.06519516	0	116024.26	116024.08	-7.561728e-05	647740.5	248156.38	-0.0003455672	248156.98	647739.9	-0.00027407054
0	0.63981616	0.6398153	-1.931895e-10	0.06505392	0.06505392	0	116004.195	116004.016	-4.0123457e-05	647830.44	247911.55	-0.000107244996	247912.16	647829.8	-0.00019065777
