# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.65135604	0.65135574	1.07636226e-10	0.070710704	0.070710704	0	136499.81	136499.77	2.1634154e-05	623153.75	288744.72	0.00016181539	288744.7	623153.4	-1.8644134e-05
0	0.6511376	0.65113723	-4.9689697e-10	0.07035722	0.07035722	0	136454.02	136453.95	-0.000103758146	623334.75	288257.72	-0.00042412407	288257.84	623334.4	-0.00027235385
0	0.6509129	0.6509125	-3.0428934e-10	0.07000352	0.07000352	0	136406.92	136406.86	-6.14113e-05	623520.2	287757.72	-0.00025367373	287757.88	623519.9	-0.00014971358
0	0.6506891	0.6506889	-1.7739782e-10	0.06965005	0.06965005	0	136360.06	136359.97	-3.6724807e-05	623706.2	287258.53	-7.769051e-05	287258.66	623705.8	-0.00015477123
0	0.65046394	0.65046364	-4.890066e-10	0.06929643	0.06929643	0	136312.86	136312.78	-0.000103199156	623891.94	286757.47	-0.0003578191	286757.62	623891.56	-0.0003355627
0	0.65023565	0.6502353	-3.555205e-10	0.068942994	0.068942994	0	136265.02	136264.92	-7.3292744e-05	624079.5	286250.22	-0.00020907228	286250.34	624079.2	-0.0002803919
0	0.65000737	0.65000695	-3.4732672e-10	0.06858929	0.06858929	0	136217.16	136217.1	-7.188612e-05	624266.44	285743.75	-0.00016242896	285743.94	624266.06	-0.0003009448
0	0.64977676	0.64977634	-4.3152568e-10	0.06823583	0.06823583	0	136168.83	136168.75	-9.2617716e-05	624453.44	285233.78	-0.0002279946	285233.94	624453.1	-0.0003921361
0	0.6495465	0.64954615	-3.9604683e-10	0.067882195	0.067882195	0	136120.58	136120.53	-8.201117e-05	624640.56	284724.38	-0.00019158257	284724.56	624640.2	-0.0003415505
0	0.64931285	0.6493125	-2.3262613e-10	0.06752872	0.06752872	0	136071.61	136071.52	-5.020061e-05	624829.1	284208.7	-0.00012476808	284208.8	624828.7	-0.00019644208
0	0.6490811	0.64908075	-6.3042196e-11	0.06717502	0.06717502	0	136023.06	136022.98	-1.5167292e-05	625016.06	283697.28	3.449576e-05	283697.44	625015.7	-0.00012146538
0	0.64884573	0.6488454	-1.6069558e-10	0.066821605	0.066821605	0	135973.73	135973.66	-2.9938396e-05	625203.75	283180.2	-0.00015918445	283180.34	625203.3	-3.7629845e-05
0	0.64860946	0.648609	3.2153813e-10	0.066468135	0.066468135	0	135924.2	135924.14	6.99514e-05	625392.6	282660.44	0.000516417	282660.62	625392.1	-1.6656524e-05
0	0.6483724	0.648372	-2.5396485e-10	0.06611443	0.06611443	0	135874.53	135874.45	-5.6216915e-05	625581.9	282139.38	-0.00016425789	282139.53	625581.5	-0.00020154426
