# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.65093875	0.65093845	-4.681992e-10	0.070710704	0.070710704	0	136412.36	136412.28	-9.940664e-05	623501.94	287812.34	-0.0003029193	287812.34	623501.5	-0.00035685205
0	0.65071833	0.650718	-5.3628585e-10	0.07035722	0.07035722	0	136366.16	136366.1	-0.000112172675	623683.06	287322.53	-0.0003311845	287322.7	623682.7	-0.0003964676
0	0.6504929	0.6504925	-4.3718706e-10	0.07000352	0.07000352	0	136318.92	136318.84	-9.2100134e-05	623868.7	286821.22	-0.00029026496	286821.34	623868.4	-0.0003422519
0	0.6502648	0.65026444	-1.4195489e-10	0.06965005	0.06965005	0	136271.11	136271.03	-2.8861723e-05	624055.56	286314.88	-6.8163376e-05	286315.03	624055.2	-0.000106214036
0	0.6500373	0.65003693	-2.4196598e-10	0.06929643	0.06929643	0	136223.44	136223.36	-5.2931355e-05	624242.25	285809.84	-0.00012494826	285810	624241.9	-0.00022332698
0	0.64980775	0.64980733	-7.4587704e-11	0.068942994	0.068942994	0	136175.33	136175.25	-1.3660856e-05	624429.3	285301.3	7.2678845e-06	285301.47	624429	-0.000105205014
0	0.6495774	0.64957696	-2.3885754e-10	0.06858929	0.06858929	0	136127.06	136126.98	-5.1508487e-05	624616.56	284791.6	-0.00010742265	284791.78	624616.2	-0.00021868324
0	0.64934295	0.64934266	-2.4868133e-10	0.06823583	0.06823583	0	136077.95	136077.88	-5.4848217e-05	624804.25	284275.8	-7.0707734e-05	284275.94	624803.94	-0.0002859507
0	0.6491122	0.64911175	-3.3926043e-10	0.067882195	0.067882195	0	136029.56	136029.5	-6.967159e-05	624991.9	283765.12	-0.0002904788	283765.25	624991.44	-0.00018050648
0	0.64887536	0.648875	-1.667962e-10	0.06752872	0.06752872	0	135979.94	135979.86	-3.7939582e-05	625180.94	283244.38	-0.00012372225	283244.53	625180.56	-0.000115444214
0	0.6486422	0.64864194	-3.2805614e-10	0.06717502	0.06717502	0	135931.11	135931.02	-6.839106e-05	625367.7	282731.34	-0.00035931467	282731.5	625367.3	-0.00010094259
0	0.64840424	0.6484039	-1.3268427e-10	0.066821605	0.066821605	0	135881.23	135881.16	-2.8165712e-05	625555.8	282210.03	-9.9985984e-05	282210.2	625555.5	-5.9422597e-05
0	0.6481667	0.64816636	-1.7544725e-10	0.066468135	0.066468135	0	135831.42	135831.36	-3.869298e-05	625745.3	281687.88	-8.863136e-05	281688.06	625744.94	-0.00017242965
0	0.6479273	0.64792687	-5.477496e-11	0.06611443	0.06611443	0	135781.25	135781.17	-9.623233e-06	625934	281163.9	-5.678028e-05	281164.1	625933.7	-8.181764e-06
0	0.6476863	0.64768595	-9.803062e-11	0.065760985	0.065760985	0	135730.77	135730.69	-1.891892e-05	626123.44	280637.3	-8.459024e-05	280637.5	626123	-2.8591416e-05
0	0.6474424	0.647442	-2.9658256e-10	0.06540732	0.06540732	0	135679.62	135679.55	-6.305243e-05	626313.7	280105.5	-0.00012645304	280105.7	626313.25	-0.00027861985
0	0.6472011	0.6472007	-2.492469e-10	0.0650539	0.0650539	0	135629.1	135628.98	-5.4601285e-05	626502.25	279579.22	-0.00023421126	279579.38	626501.8	-0.0001440226
0	0.64695656	0.64695615	-3.5871553e-10	0.064700216	0.064700216	0	135577.83	135577.75	-7.7280536e-05	626691.8	279047.1	-0.00031992505	279047.28	626691.44	-0.00018442901
0	0.6467097	0.6467093	-2.6342986e-10	0.06434676	0.06434676	0	135526.1	135526.02	-5.4776283e-05	626882.06	278511.3	-9.431771e-05	278511.5	626881.7	-0.00023554497
0	0.6464602	0.64645976	-1.5453676e-10	0.0639931	0.0639931	0	135473.81	135473.73	-3.070909e-05	627072.9	277971.28	-9.499518e-05	277971.44	627072.5	-0.00010357642
