# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6235036	0.62350285	4.039323e-10	0.07071083	0.07071083	0	117032.15	117032	7.8254845e-05	668473.5	204430.52	0.00026342974	204431.67	668473.56	0.00032024793
0	0.623203	0.6232016	-1.9704015e-10	0.07035724	0.07035724	0	116975.73	116975.48	-3.67036e-05	668658.44	203824	-0.00012913223	203825.67	668658.3	-0.00012913223
0	0.622897	0.62289566	-1.5270611e-10	0.07000352	0.07000352	0	116918.28	116918.04	-2.7700831e-05	668845.5	203208.62	-7.231405e-05	203210.3	668845.4	-0.00011864024
0	0.6225899	0.62258863	5.911204e-11	0.06964995	0.06964995	0	116860.64	116860.4	9.695291e-06	669032.4	202591.84	0.00011105372	202593.53	669032.25	-1.8078512e-05
0	0.62228143	0.62228006	-3.2511624e-10	0.06929654	0.06929654	0	116802.74	116802.5	-6.024931e-05	669219.2	201973.08	-0.00023760331	201974.75	669219.06	-0.00020144628
0	0.6219714	0.6219702	-2.1920717e-10	0.06894301	0.06894301	0	116744.555	116744.32	-4.2243766e-05	669405.94	201352.33	-0.00013429752	201353.98	669405.9	-0.00019660383
0	0.62165993	0.62165856	-2.1181816e-10	0.06858927	0.06858927	0	116686.08	116685.83	-3.808864e-05	669592.8	200729.34	-9.8140496e-05	200731.02	669592.7	-0.0001783639
0	0.6213467	0.6213454	-2.3152218e-10	0.0682357	0.0682357	0	116627.29	116627.04	-4.2936288e-05	669779.7	200103.92	-0.00017045454	200105.6	669779.6	-0.00015237603
0	0.6210322	0.62103087	-2.4137417e-10	0.06788229	0.06788229	0	116568.26	116568.016	-4.639889e-05	669966.56	199476.83	-0.00012913223	199478.52	669966.4	-0.00018998579
0	0.62071615	0.6207149	-1.7241013e-10	0.067528725	0.067528725	0	116508.94	116508.7	-2.9778394e-05	670153.25	198847.69	-4.1322313e-05	198849.38	670153.2	-0.00017917097
0	0.62039864	0.6203974	-2.1181816e-10	0.06717499	0.06717499	0	116449.336	116449.1	-3.8781163e-05	670340	198216.4	-0.000113636364	198218.1	670339.94	-0.00016528925
0	0.62007964	0.6200783	-1.8226214e-10	0.06682174	0.06682174	0	116389.46	116389.21	-3.3240998e-05	670526.7	197583.08	-7.747934e-05	197584.73	670526.56	-0.00017239153
0	0.619759	0.6197577	-2.758562e-10	0.06646816	0.06646816	0	116329.28	116329.055	-4.9861497e-05	670713.4	196947.55	-0.00022727273	196949.22	670713.3	-0.00016641917
0	0.61943585	0.6194346	-2.1181816e-10	0.066114426	0.066114426	0	116268.625	116268.375	-4.2243766e-05	670900.6	196307.9	-0.0001394628	196309.58	670900.5	-0.00017561983
0	0.61911345	0.61911213	-1.428541e-10	0.06576087	0.06576087	0	116208.1	116207.85	-2.6315789e-05	671086.5	195670.6	-4.1322313e-05	195672.28	671086.44	-0.0001678719
0	0.6187881	0.6187869	-1.428541e-10	0.06540745	0.06540745	0	116147.04	116146.81	-2.8393351e-05	671273.1	195028.62	-2.0661157e-05	195030.28	671272.94	-0.00018223785
0	0.6184614	0.6184601	-3.2019024e-10	0.06505392	0.06505392	0	116085.734	116085.48	-5.8864265e-05	671459.56	194384.72	-0.00023760331	194386.39	671459.5	-0.00020144628
0	0.6181329	0.61813164	-3.1526423e-10	0.06470019	0.06470019	0	116024.055	116023.82	-6.024931e-05	671646.1	193738.22	-0.00021694215	193739.9	671646	-0.00022953254
0	0.6177972	0.61779594	-1.4778011e-10	0.06434663	0.06434663	0	115961.05	115960.81	-2.5623269e-05	671835.6	193078.73	-5.6818182e-05	193080.4	671835.6	-0.00013429752
0	0.61747175	0.61747056	-2.2659617e-10	0.06399319	0.06399319	0	115899.984	115899.734	-4.501385e-05	672018.56	192440.36	-0.00014979338	192442.02	672018.56	-0.00016270661
0	0.61713886	0.6171377	9.852007e-12	0.06363963	0.06363963	0	115837.49	115837.25	2.0775624e-06	672204.75	191788.06	-4.1322313e-05	191789.73	672204.7	4.4066375e-05
0	0.6168042	0.61680293	-1.9704015e-10	0.06328592	0.06328592	0	115774.66	115774.414	-3.808864e-05	672390.9	191133.27	-6.714876e-05	191134.94	672390.9	-0.00022517433
0	0.61646825	0.616467	-1.13298086e-10	0.062932625	0.062932625	0	115711.59	115711.35	-2.2160664e-05	672576.8	190477.03	-8.7809916e-05	190478.69	672576.75	-7.747934e-05
0	0.6161305	0.6161293	-6.4038046e-11	0.062579066	0.06257908	0	115648.21	115647.95	-9.00277e-06	672762.75	189818.27	-7.231405e-05	189819.92	672762.7	-1.0169163e-05
0	0.6157906	0.6157894	-1.13298086e-10	0.062225346	0.062225346	0	115584.414	115584.19	-2.0775624e-05	672948.8	189156.44	-7.231405e-05	189158.12	672948.75	-8.9262656e-05
0	0.6154497	0.6154485	-1.0837208e-10	0.061871808	0.061871808	0	115520.43	115520.195	-2.0083102e-05	673134.5	188493.39	-5.6818182e-05	188495.05	673134.44	-7.231405e-05
0	0.6151065	0.61510533	-2.3152218e-10	0.061518334	0.061518334	0	115456.01	115455.78	-4.432133e-05	673320.44	187827.08	-0.00026859503	187828.75	673320.4	-8.264463e-05
0	0.6147624	0.6147612	-2.1674416e-10	0.06116483	0.06116483	0	115391.414	115391.17	-4.259003e-05	673505.9	187159.83	-8.7809916e-05	187161.47	673505.8	-0.00021371384
0	0.61441606	0.6144148	-9.852007e-12	0.060811114	0.060811114	0	115326.41	115326.18	-2.0775624e-06	673691.5	186489.33	-5.165289e-06	186491	673691.44	-3.8739668e-06
0	0.6140658	0.6140646	-9.852007e-12	0.060457572	0.060457572	0	115260.67	115260.43	-6.9252076e-07	673878.2	185812.33	-0.000113636364	185813.98	673878.1	0.00011977014
0	0.6137193	0.61371803	2.4630019e-11	0.060104094	0.060104094	0	115195.61	115195.39	3.462604e-06	674061.94	185143.34	1.5495867e-05	185144.97	674061.94	1.5657282e-05
0	0.6133684	0.61336714	2.4630019e-11	0.059750553	0.059750553	0	115129.76	115129.516	3.8088642e-06	674246.94	184467.05	5.165289e-06	184468.72	674246.94	2.5826446e-05
0	0.61301464	0.61301345	-1.477801e-11	0.05939683	0.05939683	0	115063.36	115063.13	-4.1551248e-06	674432.56	183786.25	-4.1322313e-05	183787.92	674432.5	-4.6810433e-06
0	0.61266094	0.61265975	-1.2807609e-10	0.05904352	0.05904352	0	114996.984	114996.76	-2.735457e-05	674617.06	183106.67	-3.0991734e-05	183108.34	674617.06	-0.0001510847
0	0.61230487	0.6123036	-1.5763212e-10	0.058689978	0.058689978	0	114930.12	114929.89	-2.9778394e-05	674801.8	182423.3	-0.0001911157	182424.92	674801.75	-5.165289e-06
0	0.6119464	0.6119452	2.4630019e-11	0.05833626	0.05833626	0	114862.84	114862.62	2.0775624e-06	674986.6	181736.58	-4.1322313e-05	181738.23	674986.7	5.7302426e-05
0	0.61158687	0.6115857	-1.7241013e-10	0.057982743	0.057982747	0	114795.38	114795.16	-3.2548476e-05	675171.1	181048.9	-0.00020144628	181050.58	675171.1	-2.9377583e-05
0	0.61122495	0.61122376	-1.8718814e-10	0.05762923	0.05762923	0	114727.44	114727.21	-3.427978e-05	675355.75	180357.55	-0.0001394628	180359.19	675355.7	-0.00013575026
0	0.6108621	0.6108609	-2.857082e-10	0.057275698	0.057275705	0	114659.32	114659.1	-5.4016622e-05	675539.9	179665.44	-0.00021694215	179667.08	675539.8	-0.00017513559
0	0.6104968	0.61049557	6.896405e-11	0.056922037	0.05692204	0	114590.75	114590.52	1.2465374e-05	675724.06	178969.81	2.0661157e-05	178971.47	675724.06	6.618027e-05
0	0.61012965	0.61012846	-1.7241013e-10	0.05656851	0.056568507	0	114521.84	114521.62	-3.2894735e-05	675908.2	178271.62	-0.000108471075	178273.28	675908.2	-0.00012913223
0	0.60976136	0.60976017	-2.9556022e-10	0.05621499	0.056214985	0	114452.7	114452.484	-5.4016622e-05	676091.9	177572.33	-0.00015495867	177574	676091.9	-0.0002584259
0	0.6093917	0.6093905	-9.359407e-11	0.05586147	0.05586147	0	114383.33	114383.1	-2.0083102e-05	676275.06	176871.58	-4.6487603e-05	176873.22	676275.2	-8.167614e-05
0	0.60901874	0.6090176	-2.758562e-10	0.055507757	0.055507753	0	114313.32	114313.11	-5.8518006e-05	676459	176165.66	-0.0001911157	176167.31	676458.9	-0.00021694215
0	0.6086449	0.60864365	-1.9457715e-10	0.05515441	0.05515441	0	114243.16	114242.93	-4.0858726e-05	676642.2	175459.06	-0.00015495867	175460.69	676642.1	-0.00015495867
0	0.6082688	0.6082676	-1.379281e-10	0.054800894	0.054800894	0	114172.56	114172.336	-2.7008311e-05	676825.3	174749.33	-5.6818182e-05	174750.97	676825.3	-0.00014236828
0	0.6078914	0.60789025	-9.8520074e-11	0.054447185	0.054447178	0	114101.72	114101.5	-1.800554e-05	677008.2	174038.14	-5.1652893e-05	174039.77	677008.1	-8.7809916e-05
0	0.6075098	0.6075086	-4.2117332e-10	0.05409368	0.054093685	0	114030.08	114029.875	-7.998615e-05	677191.9	173320.12	-0.0003305785	173321.75	677191.9	-0.00024825672
0	0.60713106	0.60712993	-3.940803e-10	0.05374012	0.053740114	0	113959	113958.8	-7.236842e-05	677373.1	172608.77	-0.0001911157	172610.4	677373.1	-0.00033638946
0	0.6067475	0.6067464	-1.7733613e-10	0.05338661	0.05338661	0	113887.02	113886.8	-3.2894735e-05	677555.56	171889.27	-0.000103305785	171890.92	677555.6	-0.00012913223
0	0.6063619	0.6063608	-4.7782234e-10	0.05303296	0.05303296	0	113814.63	113814.43	-8.968144e-05	677737.94	171167.22	-0.00029958677	171168.83	677737.94	-0.00034349173
0	0.60597485	0.6059737	-8.8668066e-11	0.052679453	0.052679453	0	113741.99	113741.766	-1.83518e-05	677919.9	170443.34	-9.8140496e-05	170444.97	677919.9	-2.808626e-05
0	0.60558623	0.60558504	0	0.052325875	0.052325867	0	113669.04	113668.82	1.0387812e-06	678101.44	169717.61	4.1322313e-05	169719.23	678101.44	-4.3904958e-05
0	0.60519505	0.605194	-1.4778011e-10	0.051972385	0.051972385	0	113595.625	113595.4	-2.7008311e-05	678283.06	168988.48	-8.264463e-05	168990.11	678283.06	-0.00012412836
0	0.60480225	0.6048011	-9.8520074e-11	0.05161868	0.05161868	0	113521.875	113521.67	-1.8698061e-05	678464.25	168257.25	-3.0991734e-05	168258.86	678464.3	-0.00012186854
0	0.60440755	0.6044065	-1.6748412e-10	0.051265296	0.051265296	0	113447.805	113447.58	-2.9432133e-05	678645.25	167523.72	-7.747934e-05	167525.33	678645.3	-0.00013591167
0	0.60401094	0.60400987	-2.0689216e-10	0.050911795	0.050911795	0	113373.35	113373.15	-4.0166204e-05	678826.1	166787.7	-0.00020144628	166789.31	678826.06	-8.942407e-05
0	0.6036123	0.6036113	-1.13298086e-10	0.0505581	0.050558098	0	113298.54	113298.336	-1.9390582e-05	679006.6	166049.05	-3.6157024e-05	166050.64	679006.7	-0.000109116736
0	0.6032125	0.60321134	-1.13298086e-10	0.050204623	0.050204623	0	113223.47	113223.266	-2.2160664e-05	679186.56	165309.2	2.0661157e-05	165310.8	679186.7	-0.00017303719
0	0.60280967	0.60280854	-2.2167017e-10	0.049851004	0.049851004	0	113147.88	113147.68	-4.2936288e-05	679366.7	164565.2	-0.0001446281	164566.83	679366.75	-0.00018046229
0	0.6024051	0.60240394	-3.6945028e-10	0.049497522	0.049497522	0	113071.93	113071.73	-6.855956e-05	679546.5	163818.95	-0.00024793387	163820.56	679546.56	-0.0002364734
0	0.6019984	0.60199714	-3.6206127e-10	0.04914388	0.04914388	0	112995.59	112995.37	-6.682825e-05	679726.1	163069.89	-0.00027376032	163071.5	679726.1	-0.00023760331
0	0.60158926	0.6015882	-5.911204e-11	0.048790403	0.048790403	0	112918.8	112918.59	-9.695291e-06	679905.56	162317.78	1.0330578e-05	162319.4	679905.6	-6.827867e-05
0	0.60117906	0.60117793	-2.0935516e-10	0.048436757	0.048436765	0	112841.81	112841.6	-3.9473685e-05	680084.4	161564.67	-0.0001911157	161566.28	680084.44	-7.747934e-05
0	0.6007662	0.60076517	-1.7241013e-10	0.048083298	0.048083298	0	112764.31	112764.1	-3.2202217e-05	680263.1	160807.97	-0.000118801654	160809.58	680263.2	-0.00012913223
0	0.60035163	0.6003505	-2.9556022e-10	0.047729604	0.047729604	0	112686.5	112686.28	-5.8171747e-05	680441.5	160049.16	-0.00025826445	160050.75	680441.5	-0.00017561983
0	0.5999353	0.5999342	-2.832452e-10	0.04737618	0.04737618	0	112608.35	112608.15	-5.470914e-05	680619.44	159288.45	-0.00018595041	159290.03	680619.44	-0.0002080643
0	0.5995161	0.59951496	-2.758562e-10	0.0470227	0.047022708	0	112529.67	112529.45	-5.0554016e-05	680797.3	158523.6	-0.000113636364	158525.19	680797.4	-0.00026342974
0	0.59909517	0.59909403	-3.842283e-10	0.046669014	0.046669014	0	112450.66	112450.45	-7.202216e-05	680974.8	157756.73	-0.00018078512	157758.3	680974.9	-0.00036092458
0	0.5986721	0.5986711	-1.5270611e-10	0.04631557	0.046315562	0	112371.27	112371.06	-2.8047092e-05	681151.94	156987.48	-4.6487603e-05	156989.06	681152	-0.00016835614
0	0.59824646	0.59824544	-4.6797035e-11	0.04596188	0.045961883	0	112291.37	112291.16	-9.349031e-06	681329	156214.42	7.231405e-05	156216.02	681329.1	-0.0001446281
0	0.5978197	0.5978186	-1.6255812e-10	0.045608427	0.045608435	0	112211.25	112211.05	-3.2548476e-05	681505.3	155440.56	-0.00014979338	155442.14	681505.44	-8.684143e-05
0	0.5973902	0.5973893	-1.0590908e-10	0.0452548	0.0452548	0	112130.64	112130.45	-1.8698061e-05	681681.56	154663.22	-9.2975206e-05	154664.81	681681.7	-4.0676652e-05
0	0.59695846	0.5969574	-1.9211414e-10	0.04490134	0.04490134	0	112049.59	112049.39	-3.601108e-05	681857.5	153882.7	-9.8140496e-05	153884.3	681857.6	-0.00018272211
0	0.5965247	0.59652364	-2.5122618e-10	0.044547655	0.044547655	0	111968.18	111967.984	-4.7091413e-05	682033.06	153099.97	-0.00021694215	153101.53	682033.1	-0.00012945506
0	0.59608895	0.5960879	-1.13298086e-10	0.044194218	0.044194218	0	111886.38	111886.2	-2.3545706e-05	682208.1	152314.84	1.5495867e-05	152316.39	682208.25	-0.000166742
0	0.5956506	0.5956496	3.4482025e-11	0.04384053	0.04384053	0	111804.12	111803.914	8.3102495e-06	682383.06	151526.25	4.6487603e-05	151527.81	682383.1	-1.0330578e-05
0	0.59521055	0.59520954	-2.930972e-10	0.043487072	0.043487072	0	111721.53	111721.33	-5.33241e-05	682557.4	150735.86	-0.00020144628	150737.4	682557.5	-0.00017820248
0	0.5947677	0.5947667	-3.916173e-10	0.04313361	0.04313361	0	111638.4	111638.195	-7.202216e-05	682731.6	149941.6	-0.00024793387	149943.14	682731.75	-0.00028070118
0	0.5943229	0.59432185	-1.379281e-10	0.04277993	0.04277993	0	111554.89	111554.71	-2.4930749e-05	682905.3	149145.2	-0.000113636364	149146.75	682905.44	-7.231405e-05
0	0.59387565	0.59387463	-2.758562e-10	0.042426463	0.042426463	0	111470.96	111470.766	-5.33241e-05	683078.75	148345.69	-0.00014979338	148347.23	683078.8	-0.00023259943
0	0.59342664	0.59342563	-2.881712e-10	0.042072795	0.042072795	0	111386.695	111386.484	-5.436288e-05	683251.5	147544.31	-0.00013429752	147545.86	683251.6	-0.0002679494
0	0.59297496	0.5929739	-8.127906e-11	0.041719336	0.041719336	0	111301.89	111301.695	-1.6274238e-05	683424.1	146739.28	-0.000113636364	146740.83	683424.2	2.5826446e-06
0	0.59252125	0.59252024	-1.0344608e-10	0.04136572	0.04136572	0	111216.734	111216.55	-1.9390582e-05	683596.2	145932.06	-0.00012396694	145933.58	683596.3	-1.0330578e-05
0	0.59206545	0.5920645	-3.0787523e-10	0.041012254	0.041012254	0	111131.17	111130.99	-5.7132966e-05	683767.7	145122.4	-0.00029958677	145123.95	683767.9	-0.00012864798
0	0.59160745	0.5916065	-1.7979913e-10	0.040658582	0.040658582	0	111045.22	111045.03	-3.1855954e-05	683938.9	144310.14	-0.00020661157	144311.67	683939	-2.5826446e-05
0	0.5911461	0.5911451	-9.113107e-11	0.04030513	0.04030513	0	110958.61	110958.44	-1.6966758e-05	684109.94	143493.11	-8.264463e-05	143494.62	684110.06	-1.4365961e-05
0	0.5906828	0.5906819	1.0344608e-10	0.039951455	0.039951455	0	110871.65	110871.484	2.0083102e-05	684280.44	142673.98	6.198347e-05	142675.48	684280.56	7.747934e-05
0	0.59021753	0.5902165	-2.610782e-10	0.039597988	0.039597988	0	110784.33	110784.14	-4.5706372e-05	684450.3	141852.73	-0.00020144628	141854.25	684450.5	-0.00015754132
0	0.5897495	0.58974856	-2.758562e-10	0.039244518	0.039244518	0	110696.48	110696.3	-5.33241e-05	684619.94	141027.9	-0.00021177686	141029.42	684620.1	-0.00018078512
0	0.5892795	0.5892785	-3.940803e-11	0.038890842	0.038890842	0	110608.26	110608.06	-7.6177284e-06	684788.94	140200.88	-5.6818182e-05	140202.39	684789.06	-2.5826446e-06
0	0.5888069	0.5888059	-1.9704015e-10	0.03853737	0.03853737	0	110519.54	110519.36	-3.704986e-05	684957.56	139370.62	-0.00013429752	139372.16	684957.7	-0.00012396694
0	0.5883321	0.58833116	-6.4038046e-11	0.03818372	0.038183715	0	110430.43	110430.25	-1.1772853e-05	685125.56	138537.88	0	138539.38	685125.75	-8.877841e-05
0	0.58785456	0.58785355	-1.7733613e-10	0.037830245	0.037830245	0	110340.78	110340.61	-3.3240998e-05	685293.2	137701.6	-0.00012396694	137703.1	685293.4	-0.00014075413
0	0.5873749	0.5873739	-2.5122618e-10	0.03747658	0.03747658	0	110250.75	110250.57	-4.5706372e-05	685460.4	136863.02	-0.0001394628	136864.5	685460.5	-0.00021694215
0	0.58689237	0.5868914	1.428541e-10	0.037123166	0.037123166	0	110160.195	110160.016	2.5623269e-05	685627.06	136020.83	9.2975206e-05	136022.33	685627.2	9.168388e-05
0	0.5864076	0.58640665	-1.8965114e-10	0.03676951	0.03676951	0	110069.19	110069.016	-3.704986e-05	685793.25	135175.92	-0.00015495867	135177.42	685793.3	-0.00010685692
0	0.58592045	0.58591956	-1.7733613e-10	0.036416043	0.036416043	0	109977.76	109977.586	-3.2548476e-05	685958.75	134328.38	-0.00017561983	134329.86	685958.9	-9.039256e-05
0	0.58543074	0.5854298	-8.8668066e-11	0.036062382	0.036062382	0	109885.83	109885.664	-1.5927977e-05	686123.9	133477.64	-7.231405e-05	133479.12	686124.06	-6.166064e-05
0	0.5849387	0.58493775	-4.9260037e-11	0.035708904	0.035708904	0	109793.48	109793.31	-1.1080332e-05	686288.25	132624.36	-0.000113636364	132625.83	686288.56	5.4235537e-05
0	0.58444405	0.5844431	-2.930972e-10	0.035355415	0.035355415	0	109700.64	109700.48	-5.470914e-05	686452.25	131767.92	-0.00017045454	131769.4	686452.56	-0.00023502066
0	0.58394635	0.58394545	-1.9211414e-10	0.03500176	0.03500176	0	109607.21	109607.04	-3.462604e-05	686615.94	130907.49	-0.00012913223	130908.96	686616.06	-0.000118801654
0	0.58344644	0.5834455	-3.5713527e-10	0.03464827	0.03464827	0	109513.38	109513.21	-6.786703e-05	686778.8	130044.69	-0.00030475206	130046.16	686779	-0.0002141981
0	0.5829443	0.5829433	-4.2609932e-10	0.034294635	0.03429463	0	109419.12	109418.95	-8.240997e-05	686941.06	129179.36	-0.0003822314	129180.83	686941.3	-0.00019628099
0	0.5824394	0.5824386	-1.6994713e-10	0.033941142	0.033941146	0	109324.35	109324.2	-3.462604e-05	687102.75	128310.945	-0.00016012396	128312.39	687103	-8.119189e-05
0	0.58192766	0.58192676	-8.127906e-11	0.033587497	0.033587497	0	109228.305	109228.13	-1.6274238e-05	687265.4	127431.89	-6.198347e-05	127433.36	687265.56	-6.908574e-05
0	0.58142096	0.58142	-1.7487313e-10	0.03323408	0.03323408	0	109133.2	109133.03	-3.3240998e-05	687424.75	126563.11	-0.00012913223	126564.56	687425	-0.00013429752
0	0.5809082	0.58090734	-1.6994713e-10	0.032880437	0.032880437	0	109036.95	109036.79	-2.9432133e-05	687584.7	125685.305	-0.0001394628	125686.76	687584.94	-7.941632e-05
0	0.5803926	0.5803917	-9.8520074e-11	0.03252696	0.03252696	0	108940.164	108940.01	-1.9390582e-05	687744.1	124804.06	-0.0001446281	124805.5	687744.3	0
0	0.5798743	0.57987344	1.5640061e-10	0.032173313	0.032173313	0	108842.88	108842.73	3.0470914e-05	687902.9	123919.69	5.1652893e-05	123921.12	687903.1	0.00018078512
0	0.5793533	0.5793524	-2.9802322e-10	0.031819817	0.031819817	0	108745.086	108744.93	-5.6440444e-05	688061.1	123032.08	-0.00023243802	123033.51	688061.3	-0.00016658058
0	0.5788295	0.57882863	-4.4334033e-11	0.031466313	0.031466313	0	108646.77	108646.625	-6.232687e-06	688218.6	122141.24	-9.2975206e-05	122142.68	688218.9	5.2137137e-05
0	0.5783034	0.57830256	-4.9260037e-11	0.031112673	0.031112673	0	108548.016	108547.87	-9.00277e-06	688375.4	121247.97	-8.7809916e-05	121249.375	688375.6	2.5826446e-05
0	0.5777746	0.5777737	-2.4876318e-10	0.03075917	0.030759167	0	108448.76	108448.61	-4.501385e-05	688531.5	120351.484	-0.00016528925	120352.89	688531.7	-0.00014721074
0	0.5772425	0.57724166	-1.10219334e-10	0.030405557	0.030405557	0	108348.89	108348.734	-2.0948753e-05	688687.1	119450.984	-0.000118801654	119452.39	688687.3	-3.357438e-05
0	0.57670844	0.57670766	-3.940803e-11	0.030052047	0.030052047	0	108248.66	108248.5	-6.925208e-06	688841.7	118548.67	-1.5495867e-05	118550.08	688841.94	-4.1322313e-05
0	0.57617044	0.57616967	-1.428541e-10	0.029698415	0.029698415	0	108147.67	108147.516	-2.5623269e-05	688996	117641.18	-0.00013429752	117642.6	688996.3	-6.23063e-05
0	0.5756286	0.57562774	-1.5516911e-10	0.029344989	0.029344989	0	108045.945	108045.805	-2.8393351e-05	689150.06	116728.53	-0.00012396694	116729.914	689150.4	-8.522727e-05
0	0.5750875	0.5750867	-7.3890054e-11	0.028991373	0.028991373	0	107944.41	107944.26	-1.1080332e-05	689302.2	115818.945	-0.000108471075	115820.34	689302.5	1.4850207e-05
0	0.5745415	0.5745406	-1.6994713e-10	0.028637849	0.028637853	0	107841.914	107841.76	-2.7700831e-05	689454.25	114902.41	-0.00012396694	114903.79	689454.56	-9.345945e-05
0	0.57399327	0.5739925	-2.2905917e-10	0.028284255	0.028284255	0	107739.01	107738.86	-4.536011e-05	689605.44	113983.73	-0.00018078512	113985.11	689605.6	-0.0001699703
0	0.57344097	0.57344013	-1.6748412e-10	0.027930735	0.027930735	0	107635.336	107635.19	-3.2548476e-05	689756.2	113059.76	-0.00014979338	113061.13	689756.5	-8.684143e-05
0	0.57288677	0.57288593	-4.4334033e-11	0.027577205	0.027577205	0	107531.31	107531.164	-7.6177284e-06	689905.94	112134.16	0	112135.52	689906.2	-5.6818182e-05
