# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6278468	0.6278451	-3.8971606e-10	0.07071091	0.070710905	0	62981.848	62981.688	-3.92562e-05	665528.7	213454.4	-0.00029600994	213456.77	665528.75	-0.00027348255
0	0.62752485	0.6275224	-3.3944397e-10	0.07035723	0.07035723	0	62949.566	62949.316	-3.409091e-05	665741.4	212790.2	-0.00029015282	212793.4	665741.2	-0.0001815708
0	0.6271971	0.62719464	-3.4803752e-10	0.07000352	0.07000352	0	62916.684	62916.438	-3.6415287e-05	665956.56	212116.14	-0.00026311996	212119.36	665956.3	-0.0002385651
0	0.6268676	0.62686515	-3.7553677e-10	0.069649905	0.069649905	0	62883.63	62883.38	-3.9853436e-05	666171.8	211439.61	-0.00029533412	211442.83	666171.56	-0.00026154303
0	0.6265365	0.62653404	-3.3170983e-10	0.06929659	0.0692966	0	62850.41	62850.168	-3.31547e-05	666386.9	210760.89	-0.00024329584	210764.1	666386.75	-0.00022347174
0	0.6262025	0.6262001	-4.646945e-10	0.06894301	0.06894301	0	62816.91	62816.67	-4.9845043e-05	666602.8	210077.53	-0.00035322952	210080.75	666602.56	-0.00035818556
0	0.62586874	0.6258663	-2.513604e-10	0.06858926	0.06858927	0	62783.43	62783.184	-2.6633523e-05	666817.44	209395.53	-0.00023428489	209398.73	666817.3	-0.00013944457
0	0.6255327	0.6255302	-1.652104e-10	0.06823563	0.06823563	0	62749.715	62749.47	-1.7820248e-05	667032.44	208710	-5.8571222e-05	208713.2	667032.3	-0.00017503784
0	0.6251942	0.6251917	-2.9217964e-10	0.067882344	0.06788235	0	62715.76	62715.516	-2.776343e-05	667247.94	208020.7	-0.000104527106	208023.94	667247.7	-0.0002714551
0	0.624854	0.6248516	-2.7134034e-10	0.06752872	0.06752872	0	62681.637	62681.4	-2.6423682e-05	667463.25	207329.2	-0.00014214785	207332.4	667463.06	-0.00023969146
0	0.624512	0.6245096	-4.7178417e-10	0.06717497	0.06717497	0	62647.324	62647.09	-4.752066e-05	667678.56	206635.06	-0.00034602077	206638.28	667678.4	-0.0003171857
0	0.6241681	0.6241657	-3.819819e-10	0.06682182	0.06682182	0	62612.832	62612.586	-3.8094007e-05	667893.94	205938.2	-0.00024554858	205941.4	667893.75	-0.00029195502
0	0.62382245	0.62382	-2.9046093e-10	0.06646818	0.06646819	0	62578.145	62577.91	-2.8941762e-05	668109.25	205238.92	-0.00028226824	205242.11	668109.1	-0.000115565526
0	0.62347525	0.6234728	-3.598536e-10	0.066114426	0.066114426	0	62543.316	62543.08	-3.873967e-05	668324.44	204537.64	-0.00020184544	204540.81	668324.3	-0.00033385598
0	0.623126	0.6231235	-1.5017174e-10	0.06576081	0.06576081	0	62508.285	62508.043	-1.5625e-05	668539.7	203833.42	-6.668108e-05	203836.61	668539.56	-0.0001754884
0	0.6227746	0.6227722	-2.6747327e-10	0.065407515	0.065407515	0	62473.043	62472.8	-2.808626e-05	668755	203126.11	-0.00018742791	203129.31	668754.94	-0.00020792783
0	0.62242126	0.62241894	-7.4333935e-11	0.06505392	0.06505392	0	62437.598	62437.36	-8.135331e-06	668970.44	202416.12	-0.00021446079	202419.31	668970.3	9.056012e-05
0	0.6220665	0.6220641	-1.9808061e-10	0.06470017	0.06470017	0	62402.016	62401.773	-2.0822572e-05	669185.56	201704.4	-0.00014597751	201707.62	669185.3	-0.00014552697
0	0.6217095	0.62170714	-2.8337127e-10	0.064346544	0.064346544	0	62366.203	62365.957	-2.7376032e-05	669400.8	200989.4	-5.2714102e-05	200992.58	669400.7	-0.00034939987
0	0.6213502	0.62134784	-3.452446e-10	0.06399326	0.06399326	0	62330.156	62329.918	-3.422004e-05	669616.2	200270.88	-0.00046316322	200274.08	669616.06	-4.978554e-05
0	0.62098986	0.6209875	-3.847748e-10	0.06363963	0.06363963	0	62294.008	62293.77	-3.9772727e-05	669831.06	199551.56	-0.00030885058	199554.75	669830.94	-0.00024149366
0	0.62062687	0.6206245	-2.38685e-10	0.063285895	0.063285895	0	62257.598	62257.36	-2.3308368e-05	670046.3	198828.17	-0.00018923011	198831.34	670046.2	-0.00012998306
0	0.62026227	0.6202598	-2.7069583e-11	0.062932715	0.062932715	0	62221.01	62220.77	-6.7794423e-07	670261.3	198102.6	-0.00010813149	198105.77	670261.2	0.00010340074
0	0.6198954	0.61989313	-2.3374372e-10	0.062579095	0.062579095	0	62184.215	62183.99	-2.3372933e-05	670476.3	197374.06	-0.00013876874	197377.23	670476.25	-0.00020342236
0	0.6195271	0.6195247	-6.1443656e-11	0.062225346	0.062225346	0	62147.26	62147.027	-5.681818e-06	670691.1	196643.53	6.30767e-06	196646.7	670691.06	-8.627991e-05
0	0.6191558	0.6191535	-3.5491232e-10	0.06187174	0.06187174	0	62110.027	62109.79	-3.3961776e-05	670906.25	195908.69	-0.00033160322	195911.88	670906.25	-0.00015251046
0	0.6187834	0.6187811	-2.8229707e-10	0.061518427	0.061518427	0	62072.668	62072.43	-2.8150827e-05	671120.94	195172.64	-0.00021265859	195175.8	671120.8	-0.00019328503
0	0.6184089	0.61840665	1.0784866e-10	0.061164837	0.061164837	0	62035.1	62034.875	1.1073089e-05	671335.5	194433.89	4.1450403e-05	194437.05	671335.4	0.00014710388
0	0.61803216	0.6180299	-1.9679157e-10	0.060811095	0.060811095	0	61997.31	61997.086	-1.9757232e-05	671550.1	193691.81	-0.00028835062	193694.95	671550.06	-6.758218e-07
0	0.61765283	0.61765057	-1.1902024e-10	0.060457487	0.060457483	0	61959.266	61959.027	-1.1234504e-05	671765	192945.92	-0.000101148	192949.06	671764.9	-5.4291017e-05
0	0.61726964	0.6172673	-2.462043e-10	0.06010417	0.060104165	0	61920.81	61920.582	-2.4470557e-05	671980.7	192193.58	-0.00017481257	192196.73	671980.7	-0.00017413675
0	0.6168898	0.6168876	-6.075618e-10	0.059750553	0.059750553	0	61882.72	61882.492	-5.9497677e-05	672193.3	191449.31	-0.00039467993	191452.45	672193.3	-0.0004769049
0	0.6165048	0.6165026	-2.5007138e-10	0.05939681	0.059396807	0	61844.094	61843.87	-2.4954803e-05	672407.56	190696.02	-0.00029195502	190699.16	672407.5	-6.803273e-05
0	0.61611736	0.61611515	-2.5823524e-10	0.05904362	0.05904362	0	61805.23	61805	-2.3179235e-05	672621.9	189939.31	-0.0002784386	189942.44	672621.8	-6.690636e-05
0	0.61572844	0.6157262	-2.9046093e-10	0.058689997	0.058689997	0	61766.207	61765.984	-3.1508265e-05	672835.8	189180.9	-0.00030637256	189184.02	672835.7	-0.00014214785
0	0.6153369	0.61533463	-4.5760487e-10	0.058336258	0.05833626	0	61726.93	61726.707	-4.519628e-05	673049.75	188418.78	-0.00035322952	188421.9	673049.7	-0.00029195502
0	0.61494315	0.61494094	-5.070176e-11	0.05798266	0.05798266	0	61687.438	61687.207	-4.003099e-06	673263.6	187653.67	-0.00012975778	187656.8	673263.6	8.3576626e-05
0	0.6145476	0.61454535	-8.20681e-11	0.05762932	0.05762932	0	61647.76	61647.54	-8.006198e-06	673477.2	186886.4	-0.00019643886	186889.53	673477.1	8.830738e-05
0	0.6141436	0.6141414	-1.39215e-10	0.057275716	0.057275716	0	61607.234	61607.01	-1.34297525e-05	673693.94	186104.02	-0.00012930724	186107.11	673693.94	-5.091191e-05
0	0.61374986	0.61374766	-2.874532e-10	0.05692201	0.05692201	0	61567.74	61567.523	-2.860279e-05	673903.94	185342.88	-0.00011443916	185345.98	673903.94	-0.00030569674
0	0.6133479	0.6133457	-2.715552e-10	0.056568418	0.05656841	0	61527.414	61527.19	-2.7505166e-05	674117	184566.98	-0.00012435121	184570.08	674117	-0.00023180687
0	0.61294323	0.612941	-3.609278e-10	0.056215063	0.056215063	0	61486.816	61486.598	-3.589876e-05	674330.2	183787.28	-0.000254109	183790.39	674330.25	-0.00024937824
0	0.61253697	0.6125348	-2.3374372e-10	0.055861466	0.055861466	0	61446.06	61445.84	-2.3824896e-05	674542.8	183005.8	-0.00019418613	183008.88	674542.9	-0.00014485113
0	0.6121276	0.61212546	-3.0936667e-10	0.05550773	0.05550773	0	61405.004	61404.785	-2.808626e-05	674755.6	182219.94	-9.912053e-05	182223.03	674755.75	-0.000338812
0	0.61171657	0.61171436	-1.6456587e-10	0.05515451	0.055154506	0	61363.766	61363.547	-1.6528926e-05	674968.2	181431.9	-2.5681229e-05	181434.98	674968.3	-0.00020274654
0	0.6113032	0.61130106	-1.3491824e-10	0.05480091	0.05480091	0	61322.305	61322.086	-1.4010847e-05	675180.44	180641	-0.00019643886	180644.06	675180.5	-3.379109e-06
0	0.61088777	0.61088556	-1.9851028e-10	0.05444718	0.05444718	0	61280.625	61280.414	-1.8046228e-05	675392.44	179847.36	-8.109862e-05	179850.42	675392.5	-0.00018517517
0	0.6104701	0.610468	-2.2987662e-10	0.0540936	0.0540936	0	61238.734	61238.508	-2.1565083e-05	675604.2	179050.86	-0.0002937572	179053.92	675604.25	-5.0686634e-05
0	0.61004966	0.6100476	-4.6405e-10	0.053740222	0.053740222	0	61196.55	61196.34	-4.7391528e-05	675816	178250.4	-0.00030321872	178253.5	675816.06	-0.0003559328
0	0.60962695	0.6096248	-5.766251e-10	0.05338663	0.05338663	0	61154.15	61153.94	-5.7722107e-05	676027.56	177447.12	-0.0006073385	177450.17	676027.7	-0.00020792783
0	0.60920215	0.6092001	-5.585787e-10	0.05303294	0.05303293	0	61111.55	61111.33	-5.5720557e-05	676238.7	176641.34	-0.00049380044	176644.39	676238.75	-0.00032552084
0	0.6087748	0.6087727	-1.7874519e-10	0.052679352	0.052679356	0	61068.66	61068.457	-1.8401342e-05	676449.94	175831.78	-0.00017841696	175834.81	676449.94	-8.492827e-05
