# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6242881	0.6242904	-4.0542558e-10	0.070710704	0.070710704	0	130827.375	130827.875	-8.671425e-05	650531.2	223475.08	-0.00030624928	223472.12	650531.56	-0.00028773746
0	0.6240114	0.62401354	-2.8034045e-10	0.07035722	0.07035722	0	130769.38	130769.84	-6.241152e-05	650691.1	222927.61	-0.00023065365	222924.95	650691.3	-0.00018492526
0	0.6237315	0.6237336	-2.9480315e-10	0.07000352	0.07000352	0	130710.73	130711.18	-5.668578e-05	650852.1	222374.61	-0.0002385136	222371.92	650852.5	-0.00015770015
0	0.6234502	0.6234523	-3.2769365e-10	0.06965005	0.06965005	0	130651.79	130652.23	-6.9632435e-05	651013.4	221819.62	-0.00021011633	221816.94	651013.7	-0.00025204194
0	0.6231674	0.6231695	-2.581677e-10	0.06929643	0.06929643	0	130592.52	130592.97	-5.57878e-05	651174.6	221262.52	-0.0002011764	221259.83	651174.8	-0.00016407033
0	0.6228835	0.6228856	-3.1338804e-10	0.068942994	0.068942994	0	130533.016	130533.45	-6.4215514e-05	651335.75	220703.8	-0.00022667041	220701.11	651336.06	-0.00020425016
0	0.62259823	0.6226004	-2.7108782e-10	0.06858929	0.06858929	0	130473.24	130473.69	-5.5969154e-05	651496.94	220143.38	-0.00023717672	220140.67	651497.2	-0.00014705627
0	0.62231183	0.6223139	-2.98098e-10	0.06823583	0.06823583	0	130413.2	130413.66	-6.2222214e-05	651658.06	219581.16	-0.00022102229	219578.45	651658.25	-0.00020514871
0	0.6220237	0.6220258	-2.8631686e-10	0.067882195	0.067882195	0	130352.86	130353.28	-6.060388e-05	651819.3	219016.66	-0.00020630175	219013.94	651819.5	-0.00019275803
0	0.62173444	0.62173665	-3.1580114e-10	0.06752872	0.06752872	0	130292.234	130292.66	-7.3547e-05	651980.44	218450.55	-0.00020753934	218447.81	651980.56	-0.0002677611
0	0.62144405	0.6214462	-3.2170708e-10	0.06717502	0.06717502	0	130231.37	130231.81	-6.555705e-05	652141.4	217883.05	-0.0002451068	217880.33	652141.6	-0.00019158205
0	0.621152	0.62115407	-3.2507155e-10	0.066821605	0.066821605	0	130170.16	130170.61	-6.872064e-05	652302.5	217312.97	-0.00024136521	217310.22	652302.75	-0.00021118391
0	0.6208576	0.6208597	-2.71942e-10	0.066468135	0.066468135	0	130108.47	130108.92	-5.3957607e-05	652464.25	216739.16	-0.00020792155	216736.4	652464.5	-0.00016006085
0	0.6205641	0.6205661	-2.862113e-10	0.06611443	0.06611443	0	130046.96	130047.39	-6.0242608e-05	652624.6	216167.83	-0.00024002967	216165.08	652624.75	-0.00017285132
0	0.6202679	0.62027	-2.389523e-10	0.065760985	0.065760985	0	129984.914	129985.34	-5.1960415e-05	652785.6	215592.28	-0.00022660635	215589.52	652785.8	-0.00011422857
0	0.6199699	0.61997205	-2.604564e-10	0.06540732	0.06540732	0	129922.445	129922.88	-5.5794775e-05	652947	215013.67	-0.00024135088	215010.92	652947.1	-0.0001295292
0	0.6196718	0.61967385	-2.8521496e-10	0.0650539	0.0650539	0	129859.96	129860.414	-6.104254e-05	653107.5	214435.73	-0.00020464415	214432.97	653107.6	-0.00020703959
0	0.61937153	0.6193737	-2.4826613e-10	0.064700216	0.064700216	0	129797.055	129797.49	-4.8892318e-05	653268.44	213854.58	-0.00017520391	213851.8	653268.5	-0.00013896528
0	0.61907005	0.61907214	-2.7941396e-10	0.06434676	0.06434676	0	129733.87	129734.305	-5.9336544e-05	653429.2	213271.61	-0.00022678266	213268.81	653429.5	-0.00019189535
0	0.618767	0.61876917	-3.046931e-10	0.0639931	0.0639931	0	129670.37	129670.805	-6.244868e-05	653590	212686.61	-0.00025246482	212683.84	653590.1	-0.00019020839
0	0.6184626	0.6184647	-3.2372802e-10	0.06363964	0.06363964	0	129606.58	129607.016	-7.241121e-05	653750.7	212099.73	-0.00024837517	212096.94	653750.9	-0.00021706101
0	0.6181567	0.6181588	-3.667027e-10	0.06328595	0.06328595	0	129542.46	129542.9	-7.960357e-05	653911.5	211510.62	-0.00024642955	211507.83	653911.6	-0.00027043396
0	0.6178495	0.61785173	-3.488392e-10	0.0629325	0.0629325	0	129478.11	129478.55	-7.298128e-05	654072	210920.22	-0.00019018132	210917.4	654072.06	-0.00028862455
0	0.6175409	0.617543	-3.96846e-10	0.06257904	0.06257904	0	129413.41	129413.84	-8.716651e-05	654232.6	210327.33	-0.00030893285	210324.55	654232.75	-0.00026694962
0	0.6172308	0.6172328	-3.636308e-10	0.062225346	0.062225346	0	129348.41	129348.85	-7.86354e-05	654393.06	209732.7	-0.00031074954	209729.89	654393.3	-0.00021496361
0	0.61691916	0.61692125	-2.8607616e-10	0.06187191	0.06187191	0	129283.11	129283.555	-5.733856e-05	654553.5	209136.05	-0.00020995735	209133.22	654553.7	-0.00018395932
0	0.61660624	0.61660826	-3.1184294e-10	0.061518222	0.061518222	0	129217.54	129217.97	-6.157109e-05	654713.9	208537.58	-0.00022380665	208534.75	654714	-0.00018361371
0	0.6162917	0.6162938	-2.3175406e-10	0.061164826	0.061164826	0	129151.64	129152.06	-5.141718e-05	654874.25	207937.06	-0.0002596908	207934.25	654874.25	-6.7012144e-05
0	0.6159758	0.6159778	-2.19544e-10	0.060811136	0.060811136	0	129085.42	129085.86	-4.0097853e-05	655034.4	207334.53	-0.00019824806	207331.73	655034.44	-8.134172e-05
0	0.61565834	0.61566037	-3.8343761e-10	0.060457677	0.060457677	0	129018.91	129019.336	-7.532812e-05	655194.56	206729.98	-0.00031998838	206727.14	655194.56	-0.00020285924
0	0.6153394	0.6153414	-3.374476e-10	0.06010401	0.06010401	0	128952.055	128952.51	-6.9942194e-05	655354.56	206123.4	-0.0002466042	206120.56	655354.6	-0.00023003401
0	0.6150191	0.61502105	-3.685468e-10	0.05975055	0.05975055	0	128884.93	128885.36	-7.918941e-05	655514.5	205515.02	-0.00030094603	205512.17	655514.5	-0.00022511388
0	0.6146972	0.61469924	-1.8278067e-10	0.059396874	0.059396874	0	128817.48	128817.91	-3.6455123e-05	655674.4	204904.5	-0.00017081766	204901.67	655674.4	-7.5218304e-05
0	0.6143738	0.61437595	-3.592413e-10	0.059043404	0.059043404	0	128749.71	128750.14	-7.541301e-05	655834.06	204292.17	-0.00028716165	204289.34	655834.06	-0.00020518669
0	0.6140489	0.614051	-3.267577e-10	0.05868994	0.05868994	0	128681.65	128682.07	-6.58285e-05	655993.6	203677.73	-0.00021934883	203674.89	655993.7	-0.00023974986
0	0.61372256	0.61372465	-1.6667408e-10	0.05833627	0.05833627	0	128613.24	128613.664	-3.4731005e-05	656153.25	203061.25	-0.00014819707	203058.4	656153.25	-8.330213e-05
0	0.6133945	0.6133966	-2.2317231e-10	0.057982814	0.057982814	0	128544.51	128544.914	-4.556359e-05	656312.75	202442.48	-0.00016511942	202439.66	656312.75	-0.00016788908
0	0.61306405	0.613066	-3.725531e-10	0.057629142	0.057629142	0	128475.234	128475.65	-7.7923025e-05	656472.56	201819.84	-0.00026098586	201817	656472.56	-0.0002451178
0	0.6127343	0.61273634	-2.3970403e-10	0.057275668	0.057275668	0	128406.14	128406.55	-4.530481e-05	656631.1	201199.7	-0.00016234901	201196.86	656631.1	-0.00015356754
0	0.6124018	0.61240375	-3.1589062e-10	0.056922063	0.056922063	0	128336.445	128336.87	-6.763706e-05	656790.3	200575.05	-0.00026136593	200572.22	656790.2	-0.00018666402
0	0.6120677	0.6120697	-4.2894807e-10	0.0565686	0.0565686	0	128266.42	128266.85	-9.089816e-05	656949.25	199948.4	-0.0003548103	199945.55	656949.1	-0.00025783855
0	0.61173207	0.6117339	-2.6567723e-10	0.056214936	0.056214936	0	128196.08	128196.51	-5.5639106e-05	657108.06	199319.58	-0.00024513685	199316.73	657108	-0.00013695916
0	0.61139476	0.61139673	-3.797218e-10	0.05586146	0.05586146	0	128125.414	128125.82	-7.699477e-05	657266.8	198688.69	-0.0002677127	198685.86	657266.75	-0.00026726341
0	0.611056	0.611058	-3.0640018e-10	0.055507805	0.055507805	0	128054.42	128054.84	-6.0160735e-05	657425.4	198055.92	-0.00020980064	198053.08	657425.25	-0.00021043677
