# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.64672846	0.64672637	-2.5847557e-10	0.070710704	0.070710704	0	155619.03	155618.53	-6.192594e-05	624687.3	280730.6	-0.000117735515	280732.38	624686.4	-0.0002493584
0	0.6465051	0.64650387	-2.8305533e-10	0.07035722	0.07035722	0	155565.3	155564.98	-6.737118e-05	624855.8	280250.28	-0.00020459112	280251.4	624855.25	-0.00018928641
0	0.646277	0.64627594	-2.2758005e-10	0.07000352	0.07000352	0	155510.42	155510.14	-5.4861433e-05	625029.56	279757.2	-0.00013033881	279758.22	625029.2	-0.00019316343
0	0.64604795	0.64604676	-2.2372248e-10	0.06965005	0.06965005	0	155455.28	155455.03	-5.7113968e-05	625203.56	279262.5	-0.00018731793	279263.56	625203	-0.00014066308
0	0.645816	0.6458149	-1.5181767e-10	0.06929643	0.06929643	0	155399.45	155399.22	-4.0066065e-05	625379.25	278762.06	-8.3314524e-05	278763.16	625378.6	-0.0001589583
0	0.6455863	0.64558524	-2.208063e-10	0.068942994	0.068942994	0	155344.2	155343.94	-5.157847e-05	625552.4	278267.4	-0.0001478988	278268.5	625551.8	-0.00018568746
0	0.645353	0.6453518	-3.3445058e-10	0.06858929	0.06858929	0	155288.08	155287.8	-7.790097e-05	625726.9	277766.25	-0.00018648335	277767.34	625726.44	-0.00028952298
0	0.6451199	0.6451187	-1.6939936e-10	0.06823583	0.06823583	0	155231.98	155231.72	-3.603531e-05	625901.9	277264.94	-5.655727e-05	277266	625901.3	-0.00017466766
0	0.6448847	0.6448836	-1.7485298e-10	0.067882195	0.067882195	0	155175.38	155175.11	-4.352035e-05	626076.56	276760.84	-0.00012995908	276761.94	626076.1	-0.000118985656
0	0.6446491	0.6446479	-1.4198225e-10	0.06752872	0.06752872	0	155118.7	155118.42	-3.417877e-05	626251.75	276255.84	-0.00010771231	276256.97	626251.2	-7.874648e-05
0	0.6444118	0.64441067	-4.2023782e-10	0.06717502	0.06717502	0	155061.61	155061.31	-9.903251e-05	626427.06	275748.44	-0.0003031465	275749.53	626426.5	-0.00028459696
0	0.6441729	0.6441717	-1.8130694e-10	0.066821605	0.066821605	0	155004.1	155003.81	-4.2438503e-05	626603.06	275237.88	-0.0001221673	275239	626602.56	-0.00014348641
0	0.6439332	0.643932	-1.3441864e-11	0.066468135	0.066468135	0	154946.42	154946.12	-4.6492464e-06	626778.4	274726.94	2.7832375e-06	274728.06	626777.9	-2.6740008e-05
0	0.6436913	0.64369005	-2.7081065e-10	0.06611443	0.06611443	0	154888.2	154887.94	-6.2276704e-05	626954.5	274212.16	-0.00018427809	274213.28	626953.94	-0.00018608168
0	0.6434501	0.6434489	-2.8191095e-11	0.065760985	0.065760985	0	154830.14	154829.89	-7.9660085e-06	627130.75	273698.22	-2.2803957e-05	273699.3	627130.2	-1.8055114e-05
0	0.64320636	0.6432053	-6.760552e-11	0.06540732	0.06540732	0	154771.55	154771.27	-1.6573802e-05	627307.1	273180.8	-6.885961e-05	273181.94	627306.56	-1.879756e-05
0	0.64296144	0.64296025	7.3722174e-11	0.0650539	0.0650539	0	154712.6	154712.31	1.8443565e-05	627483.44	272661.47	0.00013692334	272662.56	627482.9	-3.4484678e-05
0	0.6427154	0.64271426	-2.7694755e-10	0.064700216	0.064700216	0	154653.39	154653.12	-6.337811e-05	627660.44	272140.06	-0.00022232767	272141.16	627659.9	-0.00017557816
0	0.64246553	0.6424644	6.170055e-11	0.06434676	0.06434676	0	154593.28	154592.98	1.3260313e-05	627839	271611.6	8.1250124e-05	271612.75	627838.56	1.4543577e-05
0	0.6422199	0.64221877	-1.512581e-10	0.0639931	0.0639931	0	154534.17	154533.89	-4.212233e-05	628014.06	271092.66	-1.1803865e-05	271093.75	628013.6	-0.00022425105
0	0.6419703	0.64196914	-1.5457319e-10	0.06363964	0.06363964	0	154474.11	154473.83	-3.5147557e-05	628191.25	270566.12	-9.088605e-05	270567.25	628190.7	-0.00010538841
0	0.6417189	0.6417177	-1.6032935e-10	0.06328595	0.06328595	0	154413.61	154413.31	-4.0486826e-05	628369	270036.34	-6.787845e-05	270037.47	628368.5	-0.00017150192
0	0.6414638	0.6414627	-2.3520158e-10	0.0629325	0.0629325	0	154352.23	154351.95	-5.6865967e-05	628547.2	269501.03	-0.00017381096	269502.2	628546.7	-0.00015989746
0	0.6412105	0.64120936	-3.575196e-10	0.06257904	0.06257904	0	154291.28	154290.98	-8.1789636e-05	628725.9	268967.84	-0.0002442982	268969	628725.3	-0.00025491905
0	0.6409578	0.6409566	-3.0931982e-10	0.062225346	0.062225346	0	154230.47	154230.17	-7.533034e-05	628902.1	268437.7	-0.00016437432	268438.84	628901.56	-0.0002896224
0	0.6407012	0.6406999	-1.9091828e-10	0.06187191	0.06187191	0	154168.72	154168.42	-4.7718175e-05	629080.3	267900.1	-0.0001480707	267901.22	629079.9	-0.00012326689
0	0.64044094	0.6404398	1.0530499e-10	0.061518222	0.061518222	0	154106.12	154105.84	2.4795358e-05	629260.3	267355.97	5.6470763e-05	267357.12	629259.75	0.00010363636
0	0.64018464	0.6401834	-2.0890399e-10	0.061164826	0.061164826	0	154044.44	154044.11	-4.7667418e-05	629437.06	266820.25	-0.00010928013	266821.38	629436.56	-0.00019724542
0	0.63992447	0.6399233	-1.3629942e-10	0.060811136	0.060811136	0	153981.83	153981.55	-3.4196324e-05	629615.5	266277.53	-6.8037334e-05	266278.7	629615.06	-0.00013682198
0	0.63966185	0.6396607	-4.741554e-10	0.060457677	0.060457677	0	153918.62	153918.36	-0.000117018266	629794.4	265731.03	-0.00047533208	265732.25	629793.9	-0.00020030941
0	0.6393979	0.6393968	-9.6892286e-11	0.06010401	0.06010401	0	153855.12	153854.84	-2.4872355e-05	629973.56	265182.44	-0.00015440633	265183.56	629973	-1.990145e-07
0	0.6391326	0.6391313	-2.1105416e-10	0.05975055	0.05975055	0	153791.25	153790.97	-5.0715837e-05	630153.94	264630.38	-0.0001959918	264631.56	630153.4	-0.00012882425
0	0.63886935	0.63886803	-1.7181973e-10	0.059396874	0.059396874	0	153727.9	153727.62	-4.0058574e-05	630331.56	264084.22	-6.907022e-05	264085.4	630331	-0.0001778606
0	0.63859916	0.6385979	-7.650658e-11	0.059043404	0.059043404	0	153662.92	153662.62	-1.663736e-05	630512.8	263524.88	-4.100546e-05	263526.06	630512.25	-4.5149238e-05
0	0.63833344	0.6383323	-2.1399317e-10	0.05868994	0.05868994	0	153598.98	153598.69	-5.2392177e-05	630690.56	262975.12	-0.000118931435	262976.28	630690	-0.00020179707
0	0.63806367	0.6380625	-1.8719877e-10	0.05833627	0.05833627	0	153534.08	153533.78	-4.1658066e-05	630870.1	262417.94	-0.0001352396	262419.06	630869.56	-0.00011440764
0	0.6377922	0.63779104	-3.3269912e-10	0.057982814	0.057982814	0	153468.75	153468.47	-8.149164e-05	631049.94	261858.03	-0.00027365115	261859.17	631049.4	-0.00020268773
0	0.6375188	0.6375177	-1.317986e-10	0.057629142	0.057629142	0	153402.95	153402.69	-3.0152996e-05	631230.25	261294.97	-0.00012543373	261296.12	631229.75	-7.5338714e-05
0	0.637245	0.6372438	-2.0933032e-10	0.057275668	0.057275668	0	153337.1	153336.8	-5.1177456e-05	631409.9	260731.97	-0.00014025012	260733.14	631409.4	-0.00015712551
