# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.64741355	0.6474125	-2.4433093e-11	0.070710704	0.070710704	0	152809.84	152809.56	-5.2437035e-06	624673.6	281704.5	-4.5130804e-05	281705.3	624673	2.7072374e-05
0	0.6471906	0.64719015	-1.8312794e-10	0.07035722	0.07035722	0	152757.22	152757.1	-4.2004824e-05	624841.8	281224.62	-0.00010640804	281225.03	624841.56	-0.00015769528
0	0.6469614	0.64696085	-3.2245603e-10	0.07000352	0.07000352	0	152703.12	152702.98	-7.000356e-05	625014.56	280730.97	-0.00027012444	280731.34	625014.3	-0.00018597665
0	0.64673257	0.64673215	-1.9182611e-10	0.06965005	0.06965005	0	152649.11	152648.98	-4.5125125e-05	625187.9	280237.3	-0.00020312326	280237.75	625187.7	-5.632852e-05
0	0.64650476	0.6465043	-1.177577e-10	0.06929643	0.06929643	0	152595.33	152595.22	-2.9830062e-05	625360.9	279745.44	-9.075827e-06	279745.8	625360.56	-0.00016770102
0	0.646274	0.64627343	-2.843583e-10	0.068942994	0.068942994	0	152540.81	152540.72	-6.894773e-05	625534	279249.06	-0.00021497539	279249.44	625533.7	-0.00020004206
0	0.6460417	0.6460413	3.90534e-11	0.06858929	0.06858929	0	152486.03	152485.92	5.6020813e-06	625707.3	278750.7	2.5052406e-05	278751.06	625707.06	3.0861906e-05
0	0.6458073	0.64580685	-3.1940603e-10	0.06823583	0.06823583	0	152430.7	152430.61	-7.676125e-05	625881.3	278248.56	-0.00023419029	278249	625881	-0.00021968545
0	0.6455715	0.64557093	-2.467621e-10	0.067882195	0.067882195	0	152375.03	152374.9	-6.0554798e-05	626055.9	277743.66	-0.00014804731	277744.1	626055.6	-0.00020812568
0	0.6453386	0.6453381	-3.5568543e-10	0.06752872	0.06752872	0	152320.08	152319.98	-8.460024e-05	626229.4	277244.3	-0.00019008912	277244.7	626229.06	-0.00033251732
