# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.64083415	0.64083195	-1.6811642e-10	0.070710704	0.070710704	0	131771.53	131771.06	-3.2619366e-05	653600	243565.56	-0.000110416055	243567.77	653599.1	-0.00011480395
0	0.64055973	0.64055735	-1.1248656e-10	0.07035722	0.07035722	0	131715.1	131714.6	-2.5754596e-05	653824.3	242956.9	-9.942225e-05	242959.31	653823.4	-8.5786356e-05
0	0.64028156	0.6402792	-2.369062e-10	0.07000352	0.07000352	0	131657.89	131657.39	-5.1268933e-05	654051.4	242340.33	-0.00015912662	242342.73	654050.5	-0.0001747768
0	0.64000136	0.63999885	-2.6452085e-10	0.06965005	0.06965005	0	131600.28	131599.78	-5.50159e-05	654278.8	241720.64	-0.00016470016	241723.08	654277.8	-0.00020500175
0	0.63971937	0.63971686	-3.576098e-10	0.06929643	0.06929643	0	131542.3	131541.78	-7.4406285e-05	654506.8	241097.86	-0.00021886884	241100.31	654505.75	-0.0002931534
0	0.63943493	0.6394324	-2.6184277e-10	0.068942994	0.068942994	0	131483.8	131483.3	-5.3245803e-05	654735.56	240470.84	-0.0001828405	240473.3	654734.5	-0.0001728064
0	0.6391499	0.63914746	-3.559359e-10	0.06858929	0.06858929	0	131425.2	131424.7	-7.636901e-05	654963.94	239843.6	-0.0003546028	239846.02	654962.8	-0.00014955169
0	0.6388626	0.6388602	-2.2835037e-10	0.06823583	0.06823583	0	131366.14	131365.62	-4.6006517e-05	655192.9	239212.31	-0.00015850096	239214.73	655191.94	-0.00016354436
0	0.63857496	0.6385725	-3.149718e-11	0.067882195	0.067882195	0	131306.97	131306.47	-6.9059765e-06	655421.3	238581.16	-2.8728842e-05	238583.61	655420.4	-6.6744647e-06
0	0.6382844	0.6382819	-3.398277e-10	0.06752872	0.06752872	0	131247.22	131246.72	-6.877175e-05	655650.9	237944.7	-0.0002275495	237947.17	655649.9	-0.0002513143
0	0.6379902	0.6379877	-8.3702845e-12	0.06717502	0.06717502	0	131186.72	131186.22	5.3429744e-08	655881.94	237301.78	-1.7585417e-05	237304.27	655880.94	3.539983e-05
0	0.63769895	0.6376964	-2.6553287e-10	0.066821605	0.066821605	0	131126.84	131126.31	-5.4591415e-05	656110.3	236665.66	-0.00018441216	236668.16	656109.4	-0.00019251287
0	0.6374039	0.6374014	-3.6209144e-10	0.066468135	0.066468135	0	131066.18	131065.664	-7.444297e-05	656340.2	236022.73	-0.0002438383	236025.25	656339.25	-0.0002800528
