# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.65680856	0.66405964	8.1917766e-05	0.070710704	0.070710704	0	127764.664	129175.18	15.934931	606793.9	318104.94	-2.9068236	312738	611578.5	117.591705
0	0.6567163	0.6639848	8.197518e-05	0.07056914	0.07056914	0	127746.695	129160.6	15.946096	606869.3	317915.2	-2.9091167	312533.38	611663.5	117.67433
0	0.6566199	0.6639105	8.203801e-05	0.07042789	0.07042789	0	127727.97	129146.16	15.958314	606945.94	317722.75	-2.9124107	312321.97	611751.94	117.76558
0	0.65652347	0.6638359	8.210008e-05	0.0702864	0.0702864	0	127709.195	129131.65	15.970387	607022.5	317530.03	-2.9155943	312110.3	611840.25	117.85572
0	0.6564267	0.6637611	8.216185e-05	0.07014501	0.07014501	0	127690.39	129117.1	15.982412	607099.1	317336.88	-2.9187732	311898.3	611928.6	117.94535
0	0.6563298	0.66368616	8.222347e-05	0.07000352	0.07000352	0	127671.52	129102.51	15.994397	607175.75	317143.4	-2.9218895	311685.84	612017.2	118.034805
0	0.6562326	0.66361105	8.228452e-05	0.069862254	0.069862254	0	127652.61	129087.89	16.006264	607252.5	316949.72	-2.925225	311473.06	612105.75	118.12349
0	0.6561351	0.6635357	8.234543e-05	0.0697207	0.0697207	0	127633.66	129073.24	16.018122	607329.4	316755.5	-2.9282274	311259.84	612194.44	118.211876
0	0.6560374	0.66346014	8.2406266e-05	0.06957923	0.06957923	0	127614.65	129058.55	16.029947	607406.2	316561	-2.9312637	311046.1	612283.2	118.30006
0	0.65593946	0.66338444	8.2466235e-05	0.06943795	0.06943795	0	127595.59	129043.81	16.041622	607483.06	316366.12	-2.9347224	310832.03	612372.06	118.38746
0	0.65584123	0.6633086	8.252634e-05	0.06929643	0.06929643	0	127576.484	129029.055	16.05331	607560.06	316171.03	-2.937808	310617.56	612460.94	118.474686
0	0.65574265	0.6632325	8.258659e-05	0.06915509	0.06915509	0	127557.33	129014.266	16.06503	607637.2	315975.44	-2.9406495	310402.62	612550	118.561905
0	0.65564394	0.6631563	8.264594e-05	0.0690136	0.0690136	0	127538.12	128999.43	16.076578	607714.3	315779.62	-2.9438593	310187.28	612639.06	118.64823
0	0.6555451	0.6630799	8.270476e-05	0.068872124	0.068872124	0	127518.89	128984.57	16.08801	607791.3	315583.66	-2.9471817	309971.78	612728.1	118.73385
0	0.6554459	0.66300315	8.276336e-05	0.06873078	0.06873078	0	127499.586	128969.664	16.099411	607868.56	315387.06	-2.9503927	309755.72	612817.44	118.81906
0	0.65534633	0.6629264	8.282226e-05	0.06858929	0.06858929	0	127480.234	128954.71	16.110876	607945.8	315190.12	-2.953309	309539.1	612906.8	118.904495
0	0.6552467	0.66284937	8.288094e-05	0.06844799	0.06844799	0	127460.805	128939.75	16.122286	608023.2	314992.94	-2.95617	309322.12	612996.3	118.98952
0	0.6551467	0.6627723	8.293862e-05	0.0683065	0.0683065	0	127441.4	128924.734	16.13351	608100.44	314795.53	-2.9594212	309104.94	613085.7	119.07352
0	0.6550465	0.66269493	8.299649e-05	0.06816516	0.06816516	0	127421.89	128909.69	16.144768	608178	314597.5	-2.9624643	308887.1	613175.4	119.15753
0	0.65494597	0.6626174	8.305412e-05	0.068023674	0.068023674	0	127402.34	128894.62	16.155975	608255.44	314399.3	-2.96532	308668.94	613265.06	119.24112
0	0.6548452	0.66253966	8.311108e-05	0.067882195	0.067882195	0	127382.74	128879.484	16.167059	608332.94	314200.75	-2.968577	308450.4	613354.75	119.32412
0	0.65474415	0.6624617	8.316784e-05	0.067740865	0.067740865	0	127363.09	128864.336	16.178091	608410.5	314001.8	-2.9717247	308231.4	613444.56	119.406715
0	0.6546428	0.6623836	8.3224615e-05	0.06759933	0.06759933	0	127343.37	128849.14	16.189142	608488.25	313802.4	-2.9746714	308011.78	613534.6	119.48922
