# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.646568	0.6436696	-2.023741e-10	0.07071081	0.07071081	0	118468.625	117937.57	-4.0532934e-05	629873.2	272380.88	-0.0001726122	276457.06	627615.7	-0.00014292248
0	0.6463366	0.6434297	-1.9690453e-10	0.07035724	0.07035724	0	118426.24	117893.62	-3.9031715e-05	630056.06	271863.6	-0.00010932106	275952.47	627794.9	-0.00014292248
0	0.64609975	0.64318585	-7.1104414e-11	0.07000352	0.07000352	0	118382.836	117848.93	-1.3510978e-05	630243.9	271334.9	-5.75374e-05	275435.34	627979.8	-5.7168992e-05
0	0.6458615	0.6429408	-2.8988723e-10	0.069649965	0.069649965	0	118339.19	117804.016	-5.404391e-05	630432.25	270803.8	-0.00016685846	274915.75	628165.5	-0.00029156185
0	0.64561975	0.64269197	-2.0784369e-10	0.069296524	0.069296524	0	118294.89	117758.44	-4.0532934e-05	630622.56	270265.7	-0.00015535098	274389.22	628353.06	-0.00014863937
0	0.6453814	0.6424468	-3.2817422e-11	0.068943	0.068943	0	118251.22	117713.54	-1.0508538e-05	630809.06	269736.34	-8.055236e-05	273871.34	628536.8	-2.0009147e-05
0	0.64513975	0.6421982	-1.2580012e-10	0.068589285	0.06858928	0	118206.94	117667.98	-2.1017077e-05	630997.8	269200.06	-7.479862e-05	273346.62	628722.75	-9.432884e-05
0	0.64489573	0.64194727	-1.1486098e-10	0.06823572	0.068235725	0	118162.234	117622.01	-2.2518296e-05	631187.2	268659.7	-0.00010932106	272817.9	628909.56	-9.432884e-05
0	0.64465207	0.64169675	-1.5861755e-10	0.06788227	0.06788227	0	118117.59	117576.086	-2.2518296e-05	631376.06	268120.3	-0.00013808976	272290.2	629095.75	-7.431969e-05
0	0.6444057	0.6414434	-2.6253938e-10	0.06752872	0.06752872	0	118072.45	117529.67	-4.9540253e-05	631565.56	267576.4	-0.00015535098	271758.06	629282.6	-0.00025154356
0	0.6441578	0.6411884	-1.0939141e-10	0.067175	0.067175	0	118027.016	117482.93	-1.6513417e-05	631757.1	267028.3	-8.055236e-05	271221.78	629471.4	-6.860279e-05
0	0.6439106	0.6409343	-2.570698e-10	0.06682171	0.06682171	0	117981.72	117436.37	-4.9540253e-05	631945.8	266484.1	-0.0001150748	270689.34	629657.44	-0.00022867597
0	0.643661	0.6406777	-1.3673926e-10	0.06646815	0.06646815	0	117936.01	117389.375	-3.1525615e-05	632135.7	265935.38	-0.00013808976	270152.4	629844.6	-0.00010862108
0	0.6434084	0.640418	-2.7347852e-10	0.06611443	0.06611443	0	117889.72	117341.77	-5.854757e-05	632327.9	265379.84	-0.00027042578	269608.94	630034.2	-0.00018008232
0	0.64315784	0.6401604	-1.4220883e-10	0.065760896	0.065760896	0	117843.8	117294.586	-1.6513417e-05	632516.75	264830.53	-6.904488e-05	269071.5	630220.44	-0.00012291333
0	0.6429035	0.639899	-1.4220883e-10	0.06540742	0.06540742	0	117797.2	117246.71	-2.7021955e-05	632707.9	264273.78	-0.0001438435	268526.72	630408.94	-9.718729e-05
0	0.642649	0.6396375	-2.5160024e-10	0.06505392	0.06505392	0	117750.57	117198.77	-4.803903e-05	632899.1	263716.6	-0.0001726122	267981.56	630597.56	-0.00020009147
0	0.6423925	0.639374	-2.5160024e-10	0.0647002	0.0647002	0	117703.56	117150.49	-4.9540253e-05	633090.2	263156.75	-0.0002589183	267433.78	630785.94	-0.00011147953
0	0.64213496	0.63910925	-2.0784369e-10	0.064346656	0.064346656	0	117656.375	117102	-3.3026834e-05	633282.2	262594.38	-0.0002013809	266883.56	630975.4	-8.861194e-05
0	0.641875	0.63884217	-2.2972196e-10	0.06399317	0.06399317	0	117608.76	117053.06	-4.653781e-05	633473.75	262029.08	-0.00028193326	266330.38	631164.44	-7.717814e-05
0	0.64161545	0.6385756	-1.5314798e-10	0.06363963	0.06363963	0	117561.2	117004.2	-2.8523174e-05	633665.9	261463.78	-9.781358e-05	265777.38	631354	-0.00010290418
0	0.6413539	0.6383069	-3.6646122e-10	0.063285924	0.063285924	0	117513.266	116954.98	-7.2058545e-05	633857.9	260895.73	-0.000287687	265221.53	631543.44	-0.00026297735
0	0.64109015	0.63803595	-2.6800895e-10	0.062932596	0.062932596	0	117464.94	116905.33	-4.9540253e-05	634050.6	260323.89	-0.0002301496	264662	631733.56	-0.00013720558
0	0.64082414	0.63776284	-3.9380907e-10	0.062579066	0.062579066	0	117416.23	116855.3	-6.9431415e-05	634243.56	259748.67	-0.00029344074	264099.12	631924	-0.00029727875
0	0.64055866	0.63749015	-2.7347852e-10	0.062225346	0.062225346	0	117367.56	116805.32	-4.3535372e-05	634437.6	259172.88	-0.0001438435	263535.8	632115.5	-0.00019723302
0	0.6402921	0.6372164	-3.0629596e-10	0.061871834	0.061871834	0	117318.73	116755.17	-5.554513e-05	634629.5	258597.78	-0.00027042578	262973.1	632304.94	-0.00018579922
0	0.6400207	0.63693774	-1.4220883e-10	0.061518308	0.061518308	0	117269.01	116704.12	-2.2518296e-05	634824.8	258012.45	-9.781358e-05	262400.38	632497.7	-9.432884e-05
0	0.63975286	0.63666284	-1.476784e-10	0.06116483	0.06116483	0	117219.914	116653.734	-3.4528053e-05	635016.3	257435.98	-0.00018987342	261836.27	632686.7	-8.2895036e-05
0	0.63948065	0.6363834	-3.2817424e-10	0.06081113	0.06081113	0	117170.04	116602.54	-6.305123e-05	635210.44	256850.64	-0.0003164557	261263.47	632878.4	-0.00019723302
0	0.6392078	0.6361032	-1.7502626e-10	0.06045759	0.060457602	0	117120.04	116551.195	-3.115031e-05	635403.9	256264.98	-0.00013233602	260690.42	633069.4	-0.00013148868
0	0.6389326	0.63582087	-1.5861755e-10	0.060104072	0.060104072	0	117069.62	116499.47	-3.3026834e-05	635598.3	255675.14	-0.0001150748	260113.28	633261.4	-0.00010862108
0	0.6386567	0.63553774	-2.0784369e-10	0.059750557	0.05975055	0	117019.06	116447.586	-4.503659e-05	635792.7	255084.3	-0.0002013809	259535.12	633453.3	-0.00013148868
0	0.63837886	0.63525265	-3.0629596e-10	0.059396844	0.059396844	0	116968.17	116395.37	-6.004879e-05	635987.4	254490.47	-0.00018987342	258954.03	633645.56	-0.00022295906
0	0.6380988	0.6349653	-3.1176553e-10	0.059043493	0.059043493	0	116916.85	116342.71	-6.155001e-05	636182.1	253893.27	-0.00021864212	258369.6	633837.94	-0.00022581752
0	0.6378191	0.63467836	-3.336438e-10	0.058689974	0.058689974	0	116865.6	116290.13	-6.305123e-05	636376.9	253296.69	-0.00024741082	257785.86	634030.2	-0.00022867597
0	0.63753444	0.63438636	-1.6408711e-11	0.05833627	0.05833627	0	116813.44	116236.625	-3.0024394e-06	636574.3	252690.19	-6.904488e-05	257192.39	634225.25	5.7168992e-05
0	0.63725203	0.6340967	-3.6099165e-10	0.057982758	0.057982758	0	116761.69	116183.56	-6.605367e-05	636768.75	252090.05	-0.00027042578	256605.11	634417.4	-0.00022010061
0	0.6369677	0.6338051	-1.6955669e-10	0.057629205	0.057629205	0	116709.6	116130.125	-3.3026834e-05	636963.1	251487.22	-0.00012658228	256015.2	634609.5	-0.00013720558
0	0.63667893	0.63350886	-1.8049583e-10	0.057275698	0.057275698	0	116656.67	116075.85	-3.0024396e-05	637160.6	250874.75	-0.00019562716	255415.86	634804.6	-6.860279e-05
0	0.63639146	0.6332142	-1.2033055e-10	0.05692204	0.05692204	0	116604.02	116021.87	-2.1017077e-05	637356	250266.56	-8.055236e-05	254820.7	634997.7	-0.000105762636
