# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.62791646	0.6279138	-2.1706081e-10	0.070710965	0.070710965	0	49341.17	49340.965	-1.63e-05	665469.94	213609.69	-0.00022626853	213613.16	665469.44	-7.972848e-05
0	0.6275895	0.627587	-9.8548156e-11	0.07035704	0.07035704	0	49315.484	49315.285	-6.65e-06	665685.8	212936.23	-0.00019063569	212939.47	665685.56	6.235747e-05
0	0.62725765	0.6272551	-3.1263553e-10	0.07000352	0.07000352	0	49289.402	49289.2	-2.53e-05	665904.06	212253.28	-0.00020845211	212256.5	665903.8	-0.00023161345
0	0.62692374	0.62692124	-2.0983962e-10	0.06965008	0.06965008	0	49263.164	49262.97	-1.615e-05	666122.5	211567.47	-0.0002209236	211570.72	666122.25	-9.843572e-05
0	0.62658733	0.6265848	-3.4491857e-10	0.069296435	0.069296435	0	49236.73	49236.535	-2.575e-05	666341.44	210877.6	-0.00027526368	210880.83	666341.06	-0.00020600235
0	0.6262504	0.62624794	-4.545109e-10	0.06894301	0.06894301	0	49210.254	49210.062	-3.54e-05	666559.44	210187.84	-0.00034029363	210191.11	666559.25	-0.00028639895
0	0.6259113	0.6259088	-6.584037e-11	0.068589464	0.068589464	0	49183.61	49183.41	-5.15e-06	666777.8	209494.8	-1.9598061e-05	209498.03	666777.7	-9.2199974e-05
0	0.6255699	0.62556744	-2.7228175e-10	0.06823557	0.06823557	0	49156.785	49156.59	-2.325e-05	666996.5	208798.12	-8.90821e-06	208801.38	666996.25	-0.00038349844
0	0.62522656	0.62522405	-1.7076017e-10	0.0678824	0.0678824	0	49129.805	49129.605	-1.31e-05	667215.25	208098.6	-0.0001656927	208101.84	667215.06	-8.4627995e-05
0	0.62488216	0.62487966	-3.168833e-10	0.06752851	0.06752851	0	49102.742	49102.543	-2.425e-05	667433.5	207398.3	-0.00029040765	207401.53	667433.25	-0.00013629561
0	0.62453544	0.62453294	-6.456603e-11	0.06717496	0.06717496	0	49075.492	49075.297	-5.65e-06	667652	206694.27	-6.592075e-05	206697.52	667651.9	-4.2313997e-05
0	0.6241871	0.6241846	-4.3412163e-10	0.066821866	0.066821866	0	49048.117	49047.926	-3.45e-05	667870.44	205988.22	-0.0003687999	205991.47	667870.2	-0.0002507661
0	0.6238363	0.6238338	-3.0414002e-10	0.066467986	0.066467986	0	49020.547	49020.36	-2.315e-05	668089.25	205278.25	-0.00022448688	205281.5	668089	-0.00019687144
0	0.6234839	0.6234814	-3.7167946e-10	0.06611443	0.06611443	0	48992.867	48992.676	-2.97e-05	668307.7	204566.53	-0.00037948973	204569.8	668307.5	-0.00015967966
0	0.6231296	0.6231272	-4.273252e-10	0.065760955	0.06576096	0	48965.027	48964.84	-3.235e-05	668526.2	203852.11	-0.0002895168	203855.34	668526	-0.00030777865
0	0.622773	0.6227706	-5.963863e-10	0.06540739	0.06540739	0	48937.004	48936.812	-4.57e-05	668744.94	203134.1	-0.00039196122	203137.3	668744.75	-0.00043739312
0	0.6224146	0.6224121	-2.3872443e-10	0.065053925	0.065053925	0	48908.84	48908.652	-1.895e-05	668963.5	202413.8	-0.00022359607	202417.05	668963.25	-0.00010890287
0	0.6220548	0.6220524	-1.6268942e-10	0.06470034	0.064700335	0	48880.574	48880.38	-1.09e-05	669181.75	201691.83	-0.00015856614	201695.08	669181.56	-6.547534e-05
0	0.621693	0.6216906	-2.8290117e-10	0.06434651	0.06434651	0	48852.137	48851.945	-2.2e-05	669399.94	200966.97	-0.0002333951	200970.19	669399.75	-0.000161684
0	0.62132865	0.62132627	-3.0498956e-10	0.063993305	0.063993305	0	48823.508	48823.312	-2.415e-05	669618.44	200238.39	-0.00029129846	200241.62	669618.4	-0.00014809899
0	0.6209625	0.6209601	-1.5376911e-10	0.06363947	0.06363947	0	48794.734	48794.543	-1.31e-05	669836.8	199507.42	-0.00015856614	199510.64	669836.6	-6.903863e-05
0	0.6205948	0.62059236	-2.2258291e-10	0.06328587	0.06328587	0	48765.844	48765.66	-1.775e-05	670054.9	198774.62	-0.00026546465	198777.84	670054.7	-6.0130416e-05
0	0.6202242	0.62022173	-1.975211e-10	0.06293277	0.06293277	0	48736.723	48736.53	-1.47e-05	670273.4	198037.23	-0.0001656927	198040.47	670273.25	-0.000105562285
0	0.61985236	0.61985	-2.7950298e-10	0.06257895	0.06257895	0	48707.504	48707.316	-2.175e-05	670491.4	197298.72	-0.00023072264	197301.92	670491.3	-0.00018083667
0	0.61947805	0.6194756	-1.4952134e-10	0.062225346	0.062225346	0	48678.086	48677.9	-1.15e-05	670709.6	196556.45	-0.00016034777	196559.62	670709.44	-7.482896e-05
0	0.61910164	0.61909926	-2.7185698e-10	0.061871838	0.061871838	0	48648.51	48648.33	-2.07e-05	670927.75	195811.4	-0.00025655644	195814.61	670927.6	-0.00011625214
0	0.6187235	0.6187211	-2.786534e-10	0.061518345	0.061518338	0	48618.8	48618.61	-2.18e-05	671145.6	195064.08	-0.0001737101	195067.27	671145.5	-0.00022003279
0	0.61834323	0.6183409	-2.701579e-10	0.061164845	0.061164845	0	48588.918	48588.73	-2.22e-05	671363.4	194313.98	-0.00018350912	194317.19	671363.25	-0.00019687144
0	0.6179603	0.6179579	-2.2937933e-11	0.060811218	0.060811218	0	48558.816	48558.633	-1.25e-06	671581.5	193559.66	-8.9082096e-05	193562.86	671581.44	0.00010511687
0	0.6175756	0.61757314	-3.5256453e-10	0.060457423	0.060457423	0	48528.594	48528.41	-2.78e-05	671799.3	192803.33	-0.00025388398	192806.53	671799.1	-0.00021914196
0	0.6171895	0.61718714	-2.7780386e-10	0.060104214	0.060104214	0	48498.258	48498.074	-2.13e-05	672016.44	192045.72	-0.00027259122	192048.89	672016.4	-0.00014609464
