# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6455998	0.6455974	-2.4905425e-10	0.070710875	0.07071087	0	91362.55	91362.21	-3.3610944e-05	630446.5	273391.28	-0.0002118644	273393.2	630445.1	-0.00017949623
0	0.6453575	0.64535695	-1.9082466e-10	0.07035726	0.07035726	0	91328.26	91328.18	-2.9000596e-05	630630.9	272869.25	-0.00012064501	272869.53	630630.5	-0.00013535781
0	0.64511174	0.6451114	-2.0204964e-10	0.07000352	0.07000352	0	91293.5	91293.43	-2.6323616e-05	630821.1	272335.16	-0.00022951978	272335.4	630820.8	-5.29661e-05
0	0.64486325	0.64486283	-4.8477883e-10	0.06964991	0.069649905	0	91258.31	91258.266	-7.168352e-05	631013.3	271795.03	-0.00028248588	271795.28	631012.94	-0.00035016477
0	0.64461464	0.6446143	-3.9568054e-10	0.06929659	0.06929658	0	91223.14	91223.08	-5.0118975e-05	631203.75	271256.53	-0.00028248588	271256.8	631203.44	-0.00027071562
0	0.6443647	0.64436424	-2.7431046e-10	0.068943	0.068943	0	91187.76	91187.7	-3.9262344e-05	631395.56	270714.75	-0.0002501177	270714.94	631395.25	-0.0001971516
0	0.64411306	0.64411265	-2.5887611e-10	0.06858926	0.06858926	0	91152.164	91152.09	-3.2123735e-05	631587.5	270170.62	-0.00023540489	270170.88	631587.1	-0.000117702446
0	0.6438601	0.6438597	-2.427402e-10	0.06823566	0.06823566	0	91116.36	91116.29	-3.0933967e-05	631779.44	269624.47	-0.00014124294	269624.72	631779.06	-0.00022216338
0	0.64360607	0.6436056	-2.027512e-10	0.06788233	0.06788233	0	91080.4	91080.336	-3.2123735e-05	631971.44	269076.72	-0.0002589454	269077	631971.06	-6.473635e-05
0	0.6433499	0.64334947	-1.6697158e-10	0.067528725	0.067528725	0	91044.16	91044.09	-2.8554432e-05	632164.06	268525.56	-0.0001294727	268525.8	632163.75	-6.473635e-05
0	0.64309186	0.6430914	-3.058807e-10	0.067174986	0.067174986	0	91007.63	91007.56	-3.9262344e-05	632356.56	267971.75	-0.00028248588	267972.03	632356.2	-0.00017066854
0	0.6428334	0.642833	-2.5256205e-11	0.066821784	0.06682178	0	90971.07	90971.01	-8.328376e-06	632549.3	267417.28	8.827684e-06	267417.53	632549	-5.29661e-05
0	0.64257497	0.64257455	-2.280074e-10	0.06646817	0.06646817	0	90934.484	90934.43	-3.3313503e-05	632742.75	266861.97	-0.00017066854	266862.25	632742.4	-0.0001824388
0	0.64231163	0.64231116	-3.83754e-10	0.06611443	0.06611443	0	90897.23	90897.16	-4.9524093e-05	632936.25	266299.72	-0.00027071562	266299.97	632935.94	-0.00020597929
0	0.64205116	0.6420508	-1.4662631e-10	0.065760836	0.065760836	0	90860.36	90860.31	-1.6656752e-05	633129.56	265741.9	-2.9425612e-06	265742.16	633129.2	-0.00012800141
0	0.6417844	0.64178395	-4.2093677e-12	0.065407485	0.065407485	0	90822.62	90822.555	-7.138608e-06	633323.94	265174	2.354049e-05	265174.3	633323.56	-0.0001221163
0	0.64152205	0.64152145	-3.3254005e-10	0.06505392	0.06505392	0	90785.48	90785.414	-5.205235e-05	633516.75	264613.8	-0.00027071562	264614.1	633516.4	-0.00015007063
0	0.64125514	0.64125466	-3.185088e-10	0.06470018	0.06470018	0	90747.71	90747.66	-4.6400954e-05	633711.2	264045.75	-0.0002589454	264046.03	633710.8	-0.00020303672
0	0.64098567	0.64098525	-2.4765112e-10	0.06434658	0.06434658	0	90709.586	90709.51	-3.747769e-05	633906.4	263473.3	-0.00014712806	263473.6	633906	-0.00013535781
0	0.6407172	0.64071673	-3.8796338e-10	0.06399323	0.06399323	0	90671.6	90671.52	-5.353956e-05	634100.1	262903.72	-0.00028248588	262904.03	634099.75	-0.0002663018
0	0.6404454	0.64044493	-4.0129305e-10	0.06363964	0.06363964	0	90633.13	90633.055	-5.5919096e-05	634295.25	262328.03	-0.000288371	262328.34	634294.94	-0.00027660077
0	0.640173	0.64017254	-3.9778522e-10	0.0632859	0.0632859	0	90594.57	90594.516	-5.5919096e-05	634489.5	261752.44	-0.000288371	261752.72	634489.06	-0.0002736582
0	0.6398964	0.63989586	-2.371277e-10	0.06293268	0.06293268	0	90555.42	90555.35	-3.3313503e-05	634686.8	261167.8	-0.00015301318	261168.1	634686.44	-0.0002118644
0	0.639624	0.6396236	-2.6168234e-10	0.06257908	0.06257908	0	90516.88	90516.81	-3.866746e-05	634880.2	260593.16	-0.00026188794	260593.44	634879.8	-0.00018538136
0	0.6393445	0.63934404	-1.7819655e-10	0.062225346	0.062225346	0	90477.33	90477.27	-2.5877454e-05	635076.44	260005.67	-0.00013535781	260005.97	635076	-0.0001059322
0	0.63906837	0.6390679	-3.4306347e-10	0.06187177	0.06187177	0	90438.25	90438.18	-4.9375372e-05	635270.9	259424.52	-0.00022363465	259424.81	635270.44	-0.00025600282
0	0.63878864	0.63878816	-2.7781827e-10	0.061518386	0.061518386	0	90398.68	90398.586	-4.283165e-05	635467	258836.83	-8.8276836e-05	258837.14	635466.6	-0.00028248588
0	0.6385044	0.6385038	2.4765112e-10	0.061164837	0.06116483	0	90358.42	90358.34	3.286734e-05	635663.75	258241.98	0.00014124294	258242.3	635663.3	0.00022363465
0	0.6382245	0.6382239	-2.715042e-10	0.060811106	0.060811106	0	90318.81	90318.74	-3.8072576e-05	635859.2	257654.69	-0.00020009416	257654.98	635858.75	-0.00017361112
0	0.6379391	0.6379386	6.173739e-11	0.06045752	0.06045752	0	90278.45	90278.375	1.18976795e-05	636056.3	257058.14	2.354049e-05	257058.45	636055.94	4.56097e-05
0	0.6376534	0.637653	-1.213701e-10	0.060104135	0.060104135	0	90238.016	90237.945	-1.8292683e-05	636252.6	256461.89	-0.00016184087	256462.2	636252.25	-1.1770245e-05
0	0.63736546	0.6373649	-1.9152623e-10	0.059750553	0.059750553	0	90197.266	90197.195	-2.4985127e-05	636449.75	255861.6	-0.0002589454	255861.92	636449.3	2.9425612e-06
0	0.6370759	0.6370754	-3.0517916e-10	0.059396826	0.059396822	0	90156.29	90156.21	-4.312909e-05	636646.8	255259.1	-0.00027071562	255259.4	636646.44	-0.0001294727
0	0.6367856	0.63678515	-1.8451062e-10	0.059043575	0.059043575	0	90115.2	90115.125	-2.1936348e-05	636843.75	254655.77	-3.5310735e-05	254656.14	636843.3	-0.00017655367
0	0.6364931	0.6364926	-2.244996e-11	0.058689997	0.058689997	0	90073.81	90073.73	-2.1564545e-06	637041.2	254048.86	2.354049e-05	254049.19	637040.75	-1.1770245e-05
0	0.6361996	0.6361992	-2.8693856e-10	0.05833626	0.05833626	0	90032.27	90032.2	-3.7775135e-05	637238.1	253441.02	-0.00023246233	253441.38	637237.7	-0.0001294727
0	0.63590384	0.6359033	-4.34968e-11	0.057982698	0.057982698	0	89990.42	89990.34	-4.759072e-06	637436.1	252828.97	5.8851224e-06	252829.31	637435.7	-5.4437383e-05
0	0.6356055	0.6356049	-2.9325262e-10	0.057629284	0.057629284	0	89948.195	89948.12	-3.9262344e-05	637634.5	252212.81	-0.0002589454	252213.17	637634.1	-0.00013830038
0	0.6353071	0.63530654	-3.423619e-10	0.057275716	0.057275716	0	89905.97	89905.9	-4.9970255e-05	637832.44	251597.16	-0.00030602637	251597.5	637832	-0.00016772599
0	0.63500667	0.635006	-4.0409928e-10	0.056922022	0.056922022	0	89863.445	89863.37	-5.4729328e-05	638030.56	250978.33	-0.00022951978	250978.66	638030.06	-0.00028248588
0	0.6347045	0.6347039	-3.767384e-10	0.05656846	0.05656846	0	89820.69	89820.59	-5.6365257e-05	638229	250356.84	-0.00032956686	250357.2	638228.56	-0.00023540489
0	0.6344006	0.6344001	-2.2029023e-10	0.056215025	0.056215033	0	89777.7	89777.62	-3.0933967e-05	638426.56	249733.98	-0.00011475989	249734.31	638426.1	-0.00020597929
0	0.6340942	0.6340936	-1.6206066e-10	0.055861466	0.055861466	0	89734.32	89734.234	-2.3795359e-05	638626.56	249104.95	-4.708098e-05	249105.27	638626.06	-0.00017802496
0	0.6337886	0.63378793	-4.5320858e-10	0.055507746	0.055507746	0	89691.06	89690.984	-6.491672e-05	638824.5	248479.14	-0.00027071562	248479.5	638823.94	-0.00037370526
0	0.63347644	0.63347584	-1.3189352e-10	0.05515446	0.05515446	0	89646.91	89646.81	-1.9036288e-05	639025.25	247841.36	-0.00015301318	247841.77	639024.75	-7.944915e-05
0	0.63316905	0.63316846	-7.717174e-11	0.054800905	0.054800905	0	89603.41	89603.31	-9.592504e-06	639222.6	247213.66	-0.000117702446	247214.05	639222.2	5.002354e-05
0	0.63285697	0.6328563	-1.7468875e-10	0.054447185	0.054447185	0	89559.234	89559.16	-2.3795359e-05	639421.7	246577.66	-0.00020009416	246578.05	639421.25	-7.062147e-05
0	0.6325403	0.6325397	-3.220166e-10	0.054093633	0.054093633	0	89514.414	89514.33	-4.4021417e-05	639621.25	245934.73	-0.00027660077	245935.12	639620.75	-0.00016772599
