# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6319018	0.6319028	-1.7079546e-10	0.070709854	0.070709854	0	20248.318	20248.348	-9.909936e-06	646651.5	238011.69	-0.00021075491	238010.94	646652.2	-0.0002222168
0	0.63161844	0.6316185	-2.2570687e-10	0.070357755	0.070357755	0	20239.238	20239.238	-6.004642e-06	646839.44	237426.34	-0.00016300599	237426.47	646839.5	-9.934082e-05
0	0.63133115	0.63133097	-1.8111673e-10	0.0700046	0.0700046	0	20230.031	20230.027	-2.9367861e-06	647031.2	236832.14	-8.64563e-05	236832.3	647031.2	-4.185384e-05
0	0.6310422	0.6310422	-2.654279e-10	0.069649294	0.069649294	0	20220.775	20220.771	-7.4117183e-06	647223.2	236235.88	-0.00013629849	236236	647223.2	-0.00018752442
0	0.6307503	0.6307503	-1.2060344e-10	0.069297224	0.069297224	0	20211.424	20211.422	-6.160649e-06	647416.8	235633.52	-0.00014098088	235633.66	647416.94	-0.00012818197
0	0.6304595	0.6304595	-1.6418035e-10	0.06894197	0.06894197	0	20202.104	20202.102	-3.0761853e-06	647607.8	235035.38	-0.0001725679	235035.52	647607.8	3.8167316e-05
0	0.6301648	0.6301648	-3.9662837e-10	0.068588786	0.068588786	0	20192.66	20192.656	-7.658727e-06	647801.75	234428.9	-0.00015295796	234429.05	647801.75	-0.0001816569
0	0.6298703	0.6298702	-3.853606e-10	0.06823664	0.06823664	0	20183.22	20183.223	-9.765017e-06	647993.94	233824.36	-0.00013277619	233824.5	647993.94	-0.00029386394
0	0.6295746	0.6295745	-1.9448407e-10	0.067881495	0.067881495	0	20173.746	20173.744	-5.2339133e-06	648185.6	233218.61	-8.028448e-05	233218.73	648185.75	-0.00014838867
0	0.62927574	0.62927556	-2.0216434e-10	0.06752796	0.06752796	0	20164.168	20164.168	-7.797418e-06	648378.75	232607	-0.00022634336	232607.11	648378.9	-0.00011433106
0	0.62897694	0.628977	-3.4853473e-10	0.06717612	0.06717612	0	20154.598	20154.596	-8.343422e-06	648571.6	231995.95	-0.00021800463	231996.11	648571.7	-0.00014652507
0	0.6286751	0.6286751	-2.7403294e-10	0.066821046	0.066821046	0	20144.926	20144.926	-8.294464e-06	648765.2	231380.03	-0.00017261201	231380.17	648765.2	-0.00018977864
0	0.6283728	0.6283728	-2.3718263e-10	0.06646746	0.06646746	0	20135.232	20135.232	-3.437118e-06	648959.2	230762.5	-0.00015578521	230762.61	648959.3	5.6152344e-06
0	0.62806857	0.6280685	-3.535285e-10	0.06611561	0.06611561	0	20125.488	20125.486	-1.1132028e-05	649152.8	230143.06	-0.00012747088	230143.19	649152.9	-0.00035889485
0	0.62776273	0.6277627	-2.1830078e-10	0.06576051	0.06576051	0	20115.688	20115.688	-9.207094e-06	649346.6	229521.19	-0.00019158701	229521.27	649346.7	-0.00021067708
