# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6650565	0.66505486	1.2546629e-10	0.070710704	0.070710704	0	101254.86	101254.61	1.8356553e-05	607323.06	323754.88	0.00012960407	323756.12	607321.8	5.541211e-05
0	0.66486675	0.66486615	-2.6350774e-10	0.07035722	0.07035722	0	101225.96	101225.875	-3.896401e-05	607530.5	323282.7	-0.00021773529	323282.97	607529.8	-0.00014916001
0	0.66467154	0.66467094	-3.2514363e-10	0.07000352	0.07000352	0	101196.24	101196.16	-4.786715e-05	607745	322795.03	-0.0002880474	322795.25	607744.4	-0.00017813852
0	0.6644752	0.66447467	-3.6175268e-10	0.06965005	0.06965005	0	101166.34	101166.266	-5.390378e-05	607961.06	322303.97	-0.00035636083	322304.2	607960.56	-0.0001570481
0	0.6642781	0.66427743	-1.6111182e-10	0.06929643	0.06929643	0	101136.34	101136.26	-2.452407e-05	608176.6	321812.44	-0.00019261995	321812.72	608176.06	-2.3624814e-05
0	0.6640785	0.6640777	-6.5790856e-10	0.068942994	0.068942994	0	101105.945	101105.84	-9.714522e-05	608394.06	321315.47	-0.00043103524	321315.72	608393.5	-0.0004849194
0	0.663879	0.66387844	-1.7679316e-10	0.06858929	0.06858929	0	101075.58	101075.484	-2.6853495e-05	608610.75	320819.66	-0.00014915323	320819.88	608610.2	-9.01312e-05
0	0.663677	0.6636764	-2.937592e-10	0.06823583	0.06823583	0	101044.82	101044.734	-4.5362667e-05	608829.06	320318.53	-0.000308849	320318.72	608828.44	-0.00013706033
0	0.66347474	0.6634741	-5.484284e-10	0.067882195	0.067882195	0	101014.04	101013.94	-8.19738e-05	609047	319817.4	-0.00041980998	319817.62	609046.4	-0.00038705976
0	0.6632701	0.6632695	-4.094266e-10	0.06752872	0.06752872	0	100982.88	100982.78	-5.9574275e-05	609266.25	319311.62	-0.00028702116	319311.88	609265.6	-0.00028286618
0	0.6630638	0.6630632	-6.0236965e-10	0.06717502	0.06717502	0	100951.47	100951.375	-9.15024e-05	609486.44	318802.66	-0.00048639343	318802.84	609485.9	-0.0003978568
0	0.6628577	0.6628571	-1.8749476e-10	0.066821605	0.066821605	0	100920.086	100919.984	-2.9615223e-05	609706.4	318294.2	-0.00010294715	318294.4	609705.7	-0.00013893959
0	0.66264987	0.66264915	-1.1484488e-10	0.066468135	0.066468135	0	100888.44	100888.32	-1.5095175e-05	609927.06	317782.4	2.4627132e-05	317782.66	609926.3	-0.00015369087
0	0.66244113	0.6624405	-7.2801243e-10	0.06611443	0.06611443	0	100856.65	100856.56	-0.000113948256	610147.2	317270.06	-0.00057532225	317270.3	610146.56	-0.00051357254
0	0.6622307	0.66223	-1.4379752e-11	0.065760985	0.065760985	0	100824.62	100824.52	3.1653792e-07	610368.25	316754.44	-8.056582e-05	316754.7	610367.6	8.488325e-05
0	0.6620185	0.66201776	-6.078284e-10	0.06540732	0.06540732	0	100792.3	100792.2	-8.99934e-05	610591	316234.6	-0.00037985726	316234.84	610590.3	-0.0004637667
0	0.66180474	0.6618041	3.3946915e-10	0.0650539	0.0650539	0	100759.77	100759.68	5.413778e-05	610813.4	315713.03	0.0002600058	315713.25	610812.75	0.00023961492
0	0.66158986	0.66158926	-3.022281e-10	0.064700216	0.064700216	0	100727.05	100726.95	-4.368011e-05	611037.2	315188.34	-0.00013261348	315188.62	611036.56	-0.00027273127
0	0.6613733	0.66137266	-2.6917651e-10	0.06434676	0.06434676	0	100694.11	100694	-3.8429276e-05	611261.25	314661.22	-0.0002724381	314661.53	611260.6	-0.00010415199
0	0.6611562	0.6611555	-2.4422264e-10	0.0639931	0.0639931	0	100661.03	100660.93	-3.8985498e-05	611485.2	314133.22	-0.00024966898	314133.53	611484.5	-0.00012000854
0	0.66093713	0.6609365	-4.736917e-10	0.06363964	0.06363964	0	100627.68	100627.57	-7.1993665e-05	611710.2	313601.6	-0.00035224133	313601.9	611709.44	-0.0003365185
0	0.6607168	0.660716	-3.4970832e-10	0.06328595	0.06328595	0	100594.125	100594.016	-5.17677e-05	611935.5	313067.62	-0.00027199162	313067.97	611934.75	-0.00022839713
0	0.6604948	0.6604941	-1.7512596e-10	0.0629325	0.0629325	0	100560.33	100560.23	-2.4477844e-05	612161	312531.4	-0.00013888447	312531.72	612160.3	-8.925703e-05
0	0.6602705	0.66026974	-4.115325e-10	0.06257904	0.06257904	0	100526.18	100526.08	-6.0465984e-05	612387.7	311990.7	-0.00026686184	311991	612387	-0.0003320246
0	0.6600471	0.6600464	-3.0778677e-10	0.062225346	0.062225346	0	100492.16	100492.055	-4.697375e-05	612613.94	311451.62	-0.00029766513	311451.9	612613.25	-0.00014257006
0	0.6598202	0.6598195	-3.1639386e-10	0.06187191	0.06187191	0	100457.63	100457.52	-5.0724266e-05	612842.5	310905.5	-0.00021280328	310905.78	612841.8	-0.0002558417
0	0.659593	0.6595923	-1.1075277e-09	0.061518222	0.061518222	0	100423.03	100422.92	-0.00016902435	613069.9	310359.97	-0.0008209966	310360.28	613069.1	-0.00079924596
0	0.6593632	0.6593625	-3.3554742e-10	0.061164826	0.061164826	0	100388.055	100387.94	-4.9842674e-05	613299.06	309809.12	-0.00027664163	309809.47	613298.3	-0.00021259552
0	0.6591322	0.65913147	-3.149315e-10	0.060811136	0.060811136	0	100352.88	100352.76	-4.7838774e-05	613528.7	309256.06	-0.0002873707	309256.34	613527.94	-0.0001690667
0	0.65889955	0.65889865	-5.3960064e-10	0.060457677	0.060457677	0	100317.445	100317.33	-8.2172024e-05	613758.3	308700.7	-0.00038500872	308700.97	613757.5	-0.00040175888
0	0.6586664	0.6586656	-6.543681e-10	0.06010401	0.06010401	0	100281.95	100281.83	-9.944766e-05	613988.44	308144.2	-0.00057831267	308144.5	613987.7	-0.00037861912
0	0.6584319	0.6584311	-5.209791e-10	0.05975055	0.05975055	0	100246.26	100246.14	-8.100119e-05	614218.06	307586.25	-0.0003103892	307586.6	614217.25	-0.00046846393
0	0.6581945	0.6581937	-5.822464e-10	0.059396874	0.059396874	0	100210.1	100209.984	-8.8766865e-05	614449.7	307022.28	-0.00047239498	307022.6	614448.9	-0.00035696646
0	0.6579558	0.65795505	-3.0972855e-10	0.059043404	0.059043404	0	100173.766	100173.64	-4.4090582e-05	614682.2	306455.66	-0.00025852918	306455.94	614681.44	-0.00016981857
0	0.6577161	0.65771526	-1.4720877e-10	0.05868994	0.05868994	0	100137.28	100137.15	-2.3528173e-05	614914.06	305888.06	-0.00022267734	305888.44	614913.3	1.6685464e-05
0	0.6574743	0.6574735	-6.384168e-10	0.05833627	0.05833627	0	100100.46	100100.34	-9.450926e-05	615147.1	305316.5	-0.00038887316	305316.8	615146.44	-0.0005224664
0	0.6572305	0.65722966	-6.3391514e-10	0.057982814	0.057982814	0	100063.34	100063.22	-9.771165e-05	615381.1	304741.22	-0.0005214013	304741.56	615380.4	-0.00041767495
0	0.65698683	0.656986	-7.7351775e-10	0.057629142	0.057629142	0	100026.24	100026.11	-0.0001189726	615614.2	304166.94	-0.0005500458	304167.3	615613.4	-0.00057148025
0	0.65673995	0.6567391	-2.679308e-10	0.057275668	0.057275668	0	99988.65	99988.54	-3.9381437e-05	615849.2	303586.44	-0.0001539912	303586.78	615848.4	-0.00020457759
0	0.6564918	0.656491	-7.058831e-10	0.056922063	0.056922063	0	99950.875	99950.74	-0.00010700895	616084.4	303003.7	-0.00049056223	303004.03	616083.7	-0.00054013234
0	0.6562423	0.6562414	-5.47206e-10	0.0565686	0.0565686	0	99912.88	99912.75	-8.7248605e-05	616319.75	302419	-0.00049626816	302419.4	616319.06	-0.00034072535
0	0.6559913	0.6559904	-4.2981702e-10	0.056214936	0.056214936	0	99874.67	99874.555	-6.6598805e-05	616555.4	301832.06	-0.00028125287	301832.44	616554.5	-0.0003443531
0	0.6557362	0.6557353	-2.3882404e-10	0.05586146	0.05586146	0	99835.83	99835.7	-3.640479e-05	616791.94	301238.3	-0.00032681137	301238.72	616791.1	-4.0434763e-05
0	0.65548307	0.65548223	-8.190883e-10	0.055507805	0.055507805	0	99797.3	99797.17	-0.0001229175	617029.8	300646.16	-0.0006489035	300646.5	617028.94	-0.0005064497
0	0.6552266	0.65522575	-3.0869662e-10	0.055154327	0.055154327	0	99758.25	99758.11	-4.6398483e-05	617267.5	300049.28	-0.00037238927	300049.72	617266.7	-0.00010025261
0	0.65496856	0.6549677	-6.313204e-10	0.054800846	0.054800846	0	99718.96	99718.82	-9.782483e-05	617504.9	299450.72	-0.00041460682	299451.16	617504.06	-0.00050996686
0	0.6547083	0.65470743	-6.765297e-10	0.05444718	0.05444718	0	99679.35	99679.22	-0.00010134191	617744.56	298846.75	-0.00064937776	298847.16	617743.75	-0.000343231
0	0.65444773	0.6544467	3.479714e-11	0.054093722	0.054093722	0	99639.66	99639.52	4.813882e-06	617982.8	298243.5	9.828506e-05	298243.94	617982	-7.2352705e-05
0	0.6541839	0.65418303	-6.3455347e-10	0.053740054	0.053740054	0	99599.51	99599.37	-9.4126386e-05	618223.25	297633.88	-0.00043106117	297634.3	618222.44	-0.00047406578
0	0.6539183	0.6539175	-6.7988076e-10	0.053386588	0.053386588	0	99559.07	99558.94	-0.000100494086	618464	297021.3	-0.00051813707	297021.75	618463.1	-0.0004243711
