# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6333517	0.63335	-3.7223155e-10	0.070710704	0.070710704	0	120673.28	120672.945	-7.2295465e-05	661417.5	225272.5	-0.00026706132	225274.75	661417.4	-0.0002801635
0	0.63305837	0.63305604	-2.715901e-10	0.07035722	0.07035722	0	120617.41	120616.945	-5.351964e-05	661628.6	224650.2	-0.00023271235	224653.14	661628.1	-0.0001465263
0	0.63276005	0.63275754	-3.4768535e-11	0.07000352	0.07000352	0	120560.56	120560.08	-8.369532e-06	661842.2	224018.89	-1.5081282e-05	224021.86	661841.75	-3.4492947e-05
0	0.6324596	0.6324572	-2.0372068e-10	0.06965005	0.06965005	0	120503.32	120502.85	-4.070337e-05	662056.06	223384.33	-0.00016345647	223387.22	662055.75	-0.00013742699
0	0.6321579	0.63215554	-2.3741292e-10	0.06929643	0.06929643	0	120445.85	120445.4	-4.8886868e-05	662269.8	222748.36	-0.00014501724	222751.27	662269.5	-0.00019885141
0	0.6318545	0.63185215	-3.6738504e-10	0.068942994	0.068942994	0	120388.03	120387.586	-6.858265e-05	662483.9	222109.5	-0.00025587215	222112.44	662483.5	-0.00025558498
0	0.6315493	0.6315469	-6.376839e-11	0.06858929	0.06858929	0	120329.91	120329.42	-1.26263685e-05	662698.2	221468.06	-6.327629e-05	221471.02	662697.6	-1.4724917e-05
0	0.6312428	0.6312405	-6.4643534e-11	0.06823583	0.06823583	0	120271.484	120271.03	-9.51197e-06	662912.2	220824.83	-4.327667e-05	220827.78	662911.75	-3.177701e-05
0	0.6309345	0.63093215	-3.550692e-10	0.067882195	0.067882195	0	120212.734	120212.27	-6.864092e-05	663126.5	220178.81	-0.00028639022	220181.75	663126.2	-0.00022180335
0	0.6306248	0.6306223	-3.461195e-10	0.06752872	0.06752872	0	120153.7	120153.25	-6.5758184e-05	663340.94	219530.75	-0.00024869034	219533.72	663340.44	-0.00024064329
0	0.6303132	0.6303108	-2.2201108e-10	0.06717502	0.06717502	0	120094.37	120093.91	-4.1366886e-05	663555.3	218880.22	-0.00010353068	218883.19	663554.9	-0.00020433286
0	0.6299999	0.62999743	-3.997631e-10	0.066821605	0.066821605	0	120034.65	120034.195	-7.663379e-05	663769.94	218226.84	-0.00026295698	218229.75	663769.5	-0.0003121339
0	0.6296848	0.6296825	-4.334693e-10	0.066468135	0.066468135	0	119974.65	119974.18	-8.1891565e-05	663984.6	217571.14	-0.00033814445	217574.08	663984.4	-0.0002787532
0	0.6293682	0.62936574	-1.3264187e-10	0.06611443	0.06611443	0	119914.305	119913.85	-2.6945892e-05	664199.56	216912.97	-7.2668314e-05	216915.92	664199.06	-0.00013733175
0	0.62904996	0.62904745	-7.0049896e-11	0.065760985	0.065760985	0	119853.65	119853.2	-1.3368828e-05	664414.25	216252.58	-3.136462e-05	216255.55	664414	-5.0114642e-05
0	0.62872976	0.62872744	-2.7044061e-10	0.06540732	0.06540732	0	119792.66	119792.21	-5.36534e-05	664629.1	215589.5	-0.000205174	215592.44	664628.9	-0.00017171566
0	0.6284084	0.628406	-1.7419492e-10	0.0650539	0.0650539	0	119731.44	119730.98	-3.529303e-05	664843.94	214924.77	-0.00011279884	214927.69	664843.56	-0.00013962222
0	0.6280848	0.62808245	1.3911684e-10	0.064700216	0.064700216	0	119669.79	119669.33	2.8043527e-05	665059.06	214256.78	0.00010340838	214259.7	665058.7	0.0001002785
0	0.6277595	0.62775713	-3.4972109e-10	0.06434676	0.06434676	0	119607.82	119607.36	-6.722134e-05	665274.25	213586.23	-0.00031630846	213589.19	665273.8	-0.00018114422
0	0.6274327	0.6274303	-3.3135608e-10	0.0639931	0.0639931	0	119545.516	119545.08	-6.5143075e-05	665489.3	212913.52	-0.00021711731	212916.47	665488.8	-0.0002444915
0	0.6271032	0.62710077	-3.2286465e-10	0.06363964	0.06363964	0	119482.75	119482.305	-5.9901387e-05	665704.9	212236.62	-0.00025535314	212239.53	665704.6	-0.0001999192
0	0.6267734	0.62677103	-1.6711023e-10	0.06328595	0.06328595	0	119419.94	119419.47	-3.342862e-05	665919.7	211560.14	-0.00010368813	211563.11	665919.3	-0.00014956773
0	0.6264408	0.6264385	-2.9203187e-10	0.0629325	0.0629325	0	119356.555	119356.12	-5.4255248e-05	666135.2	210879.06	-0.00018086932	210882	666134.8	-0.00024204854
0	0.62610686	0.6261046	-5.4569526e-11	0.06257904	0.06257904	0	119292.92	119292.46	-1.109631e-05	666350.5	210196.19	-4.289054e-05	210199.12	666350.1	-3.431001e-05
0	0.625771	0.6257687	-1.4333025e-10	0.062225346	0.062225346	0	119228.945	119228.484	-2.7954742e-05	666565.75	209510.77	-1.9310208e-05	209513.69	666565.44	-0.00020289599
0	0.6254335	0.6254311	1.7208057e-10	0.06187191	0.06187191	0	119164.63	119164.17	3.3673892e-05	666780.94	208822.88	8.858487e-05	208825.84	666780.7	0.000159741
0	0.6250938	0.62509143	3.5931515e-11	0.061518222	0.061518222	0	119099.91	119099.45	7.851701e-06	666996.5	208131.83	0.00010623108	208134.77	666996.25	-4.9877795e-05
0	0.6247521	0.62474984	-2.616428e-10	0.061164826	0.061164826	0	119034.82	119034.38	-5.0136256e-05	667212.1	207438	-0.00028111585	207440.92	667211.8	-0.00010017243
0	0.6244093	0.624407	-3.9510555e-11	0.060811136	0.060811136	0	118969.49	118969.03	-7.324921e-06	667427.3	206742.67	-3.4174496e-05	206745.62	667427.06	-1.893528e-05
0	0.62406415	0.62406176	-2.599797e-10	0.060457677	0.060457677	0	118903.73	118903.28	-5.1981697e-05	667642.94	206043.97	-0.0002860344	206046.9	667642.5	-8.135991e-05
0	0.623717	0.62371475	-2.099209e-10	0.06010401	0.06010401	0	118837.59	118837.14	-4.040257e-05	667858.44	205342.47	-0.00023587087	205345.42	667858.1	-6.337682e-05
0	0.6233682	0.62336594	-1.9578333e-10	0.05975055	0.05975055	0	118771.12	118770.69	-3.8183127e-05	668073.9	204638.67	-1.5572052e-05	204641.61	668073.56	-0.00024245051
0	0.6230172	0.6230148	-2.5612804e-10	0.059396874	0.059396874	0	118704.234	118703.78	-4.919963e-05	668289.56	203931.48	-0.00024521144	203934.45	668289.3	-0.00012113683
0	0.6226643	0.6226619	-1.932641e-11	0.059043404	0.059043404	0	118636.99	118636.555	-1.7496421e-06	668505.2	203221.89	-1.0001563e-05	203224.83	668504.9	-8.434366e-06
0	0.62230986	0.62230754	-3.433329e-10	0.05868994	0.05868994	0	118569.47	118569.05	-6.3551175e-05	668720.5	202510.4	-0.00029535958	202513.34	668720.25	-0.00016711446
0	0.6219477	0.6219454	-2.1548888e-10	0.05833627	0.05833627	0	118500.45	118500.03	-4.492742e-05	668939.25	201784.58	-0.000108752596	201787.5	668938.94	-0.00020232888
0	0.62159485	0.62159264	-7.2152825e-11	0.057982814	0.057982814	0	118433.24	118432.8	-1.245151e-05	669151.3	201078.52	-4.7234545e-05	201081.45	669151.1	-4.4228353e-05
0	0.62123466	0.62123233	-3.7744463e-10	0.057629142	0.057629142	0	118364.61	118364.17	-7.1681585e-05	669366.56	200359	-0.0003283537	200361.92	669366.4	-0.0001919224
0	0.6208718	0.62086964	1.0220935e-10	0.057275668	0.057275668	0	118295.51	118295.06	1.9209785e-05	669582.2	199635.56	9.532445e-05	199638.53	669581.8	5.2049356e-05
0	0.62050724	0.620505	-1.6848983e-10	0.056922063	0.056922063	0	118226.03	118225.59	-3.317604e-05	669797.56	198909.64	-5.853176e-05	198912.56	669797.3	-0.00018478656
0	0.6201411	0.6201388	-2.0045579e-10	0.0565686	0.0565686	0	118156.26	118155.82	-3.724327e-05	670012.75	198181.81	-0.00015050366	198184.77	670012.56	-0.00012028711
0	0.61977243	0.61977005	3.8609674e-11	0.056214936	0.056214936	0	118085.99	118085.57	8.756448e-06	670228.1	197450.19	-3.369595e-05	197453.1	670227.9	0.00011359617
0	0.619402	0.61939967	-7.594752e-11	0.05586146	0.05586146	0	118015.42	118014.984	-1.356297e-05	670443.3	196716.45	-1.0624025e-05	196719.36	670443.06	-6.838103e-05
0	0.6190295	0.6190273	-2.375658e-10	0.055507805	0.055507805	0	117944.46	117944.04	-4.8737715e-05	670658.44	195979.97	-0.00025695513	195982.9	670658.25	-9.042498e-05
0	0.6186549	0.6186527	1.5961985e-11	0.055154327	0.055154327	0	117873.1	117872.67	5.1293823e-06	670873.5	195240.48	0.00017486162	195243.4	670873.3	-0.000115811
0	0.6182782	0.61827594	-3.0328087e-10	0.054800846	0.054800846	0	117801.31	117800.88	-5.8986894e-05	671088.56	194497.98	-0.00030992832	194500.88	671088.3	-0.00013573669
0	0.61789936	0.61789703	-2.7342234e-10	0.05444718	0.05444718	0	117729.125	117728.695	-5.380762e-05	671303.7	193752.5	-0.00027548688	193755.42	671303.5	-0.0001358615
0	0.617519	0.6175168	-2.4009159e-10	0.054093722	0.054093722	0	117656.67	117656.26	-4.760771e-05	671518.1	193005.56	-0.00017808775	193008.48	671517.9	-0.00018563711
0	0.617136	0.6171338	-3.6229017e-10	0.053740054	0.053740054	0	117583.69	117583.27	-6.9241396e-05	671732.94	192254.44	-0.00025568836	192257.36	671732.8	-0.00028061762
0	0.6167508	0.6167486	-5.154859e-10	0.053386588	0.053386588	0	117510.29	117509.875	-9.750369e-05	671947.75	191500.36	-0.0003133613	191503.28	671947.7	-0.00041990264
0	0.6163632	0.61636114	-4.11117e-10	0.053032987	0.053032987	0	117436.47	117436.055	-7.959981e-05	672162.56	190743.14	-0.00024857948	190746.06	672162.44	-0.0003330619
0	0.6159742	0.615972	-2.3048198e-10	0.05267951	0.05267951	0	117362.35	117361.91	-4.4156688e-05	672376.94	189984.12	-0.00016892006	189987.02	672376.75	-0.00016082797
0	0.61558175	0.61557955	-8.0581423e-11	0.05232584	0.05232584	0	117287.57	117287.14	-1.3864368e-05	672591.7	189219.92	-0.00013008893	189222.84	672591.5	1.2797631e-05
0	0.6151888	0.61518663	-3.3210512e-10	0.05197238	0.05197238	0	117212.68	117212.266	-6.218786e-05	672805.6	188455.73	-0.00030892753	188458.62	672805.5	-0.00017803918
0	0.61479276	0.6147906	-4.1448822e-10	0.051618718	0.051618718	0	117137.23	117136.81	-7.955104e-05	673019.9	187687.1	-0.00033930206	187690.02	673019.6	-0.00025323624
0	0.61439496	0.61439276	-1.9330834e-10	0.05126525	0.05126525	0	117061.43	117061.016	-3.7606234e-05	673233.9	186916.14	-8.681037e-05	186919.03	673233.75	-0.00018627901
0	0.61399484	0.6139926	-3.095814e-10	0.05091175	0.05091175	0	116985.2	116984.79	-5.8387635e-05	673447.56	186142.23	-0.00017526596	186145.12	673447.5	-0.00026307983
0	0.6135922	0.61359	-3.5816303e-10	0.0505581	0.0505581	0	116908.51	116908.08	-7.188354e-05	673661.3	185364.88	-0.00034675797	185367.77	673661.2	-0.00017238835
0	0.61318743	0.6131852	-1.4076415e-10	0.050204627	0.050204627	0	116831.35	116830.96	-2.5160927e-05	673875	184584.44	-0.0002544518	184587.33	673874.8	5.2481555e-05
0	0.61278045	0.61277825	-3.3650804e-10	0.049850974	0.049850974	0	116753.805	116753.41	-6.28954e-05	674088.4	183801.3	-0.00027925134	183804.19	674088.25	-0.0002032719
0	0.61237085	0.61236864	1.2978461e-10	0.049497493	0.049497493	0	116675.78	116675.37	2.510523e-05	674301.75	183014.5	-4.076584e-05	183017.4	674301.7	0.00022665468
0	0.6119593	0.6119572	-1.4184577e-10	0.049143914	0.049143914	0	116597.375	116596.96	-2.861452e-05	674514.9	182225.27	-0.00023677814	182228.17	674514.75	3.1187203e-05
0	0.61154246	0.6115404	-1.6858541e-10	0.04879043	0.04879043	0	116517.97	116517.555	-2.9443956e-05	674729.2	181427.38	-0.00019914068	181430.25	674729.06	-3.3138116e-05
0	0.61112905	0.6111269	-2.9958405e-10	0.04843677	0.04843677	0	116439.18	116438.766	-5.4657183e-05	674940.7	180637.06	-0.00028384815	180639.97	674940.56	-0.00012581829
0	0.6107102	0.61070806	-1.4637233e-10	0.04808329	0.04808329	0	116359.38	116358.96	-2.600849e-05	675153.4	179837.97	3.3279797e-05	179840.86	675153.25	-0.00023003788
