# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.64722574	0.64722437	-5.7774546e-10	0.070710704	0.070710704	0	153615.02	153614.67	-0.00013605056	624493.5	281621.44	-0.0004012056	281622.62	624492.75	-0.00043272573
0	0.64700264	0.64700204	-1.136716e-10	0.07035722	0.07035722	0	153562.02	153561.89	-2.928128e-05	624660.94	281142.22	-0.00012920155	281142.72	624660.7	-3.5830555e-05
0	0.64677525	0.6467747	-2.672215e-10	0.07000352	0.07000352	0	153508.06	153507.94	-6.239557e-05	624834.06	280650.88	-0.00018293978	280651.34	624833.75	-0.00019929069
0	0.64654404	0.6465435	-5.025054e-10	0.06965005	0.06965005	0	153453.2	153453.08	-0.00011882286	625007.25	280154	-0.0003508123	280154.44	625007.06	-0.00037753236
0	0.6463166	0.6463162	-1.8260732e-10	0.06929643	0.06929643	0	153399.23	153399.11	-4.4647604e-05	625179.44	279663.5	-0.00013008057	279664	625179.1	-0.0001242566
0	0.6460858	0.64608526	-2.9801886e-10	0.068942994	0.068942994	0	153344.45	153344.31	-7.06269e-05	625353	279166.6	-0.00023505013	279167.06	625352.8	-0.00019523669
0	0.6458521	0.6458516	-1.9436365e-10	0.06858929	0.06858929	0	153288.98	153288.84	-4.448468e-05	625526.2	278666.44	-0.00013401282	278666.9	625525.94	-0.00014989552
0	0.64562047	0.64562	-2.2770295e-10	0.06823583	0.06823583	0	153233.98	153233.84	-5.267542e-05	625699.8	278168.34	-0.00017412489	278168.84	625699.56	-0.00013381639
0	0.64538574	0.6453852	-6.36683e-11	0.067882195	0.067882195	0	153178.28	153178.16	-8.432949e-06	625873.75	277665.88	-9.4368545e-05	277666.4	625873.5	2.1566144e-05
0	0.6451502	0.6451497	-3.4430436e-10	0.06752872	0.06752872	0	153122.34	153122.22	-8.049899e-05	626047.4	277162.28	-0.00024292924	277162.75	626047.2	-0.00022787643
0	0.6449131	0.6449126	-2.629922e-10	0.06717502	0.06717502	0	153066.1	153065.97	-6.2342064e-05	626221.94	276655.9	-0.00011196514	276656.4	626221.56	-0.0002453183
0	0.64467514	0.64467466	-2.7135375e-10	0.066821605	0.066821605	0	153009.6	153009.48	-6.541009e-05	626395.9	276148.8	-0.00024732147	276149.3	626395.6	-0.00013349918
0	0.64443564	0.6444351	-1.6200115e-10	0.066468135	0.066468135	0	152952.78	152952.64	-3.2426058e-05	626570.6	275638.84	-0.00017549573	275639.38	626570.3	-5.8361693e-05
0	0.6441949	0.6441943	1.7167394e-11	0.06611443	0.06611443	0	152895.62	152895.48	-8.7922626e-07	626745	275127.34	1.2556166e-05	275127.78	626744.75	-5.470322e-06
0	0.643953	0.6439525	-2.6012562e-10	0.065760985	0.065760985	0	152838.22	152838.08	-6.461911e-05	626920	274613.72	-0.00020492057	274614.25	626919.7	-0.00017644108
0	0.64371	0.6437095	-4.800662e-11	0.06540732	0.06540732	0	152780.58	152780.44	-9.231026e-06	627095.06	274098.62	1.3765641e-05	274099.12	627094.75	-8.002381e-05
0	0.64346564	0.64346504	-2.267083e-10	0.0650539	0.0650539	0	152722.55	152722.42	-5.7637724e-05	627270.5	273580.94	-0.000116685456	273581.44	627270.1	-0.0002210462
0	0.64322007	0.64321953	-1.2216265e-10	0.064700216	0.064700216	0	152664.25	152664.12	-2.9775321e-05	627445.3	273062.3	-1.0714816e-05	273062.8	627444.94	-0.00015295784
0	0.6429733	0.6429727	-1.4099975e-10	0.06434676	0.06434676	0	152605.7	152605.55	-3.3545515e-05	627621	272541.12	-5.157361e-05	272541.62	627620.6	-0.0001373471
0	0.642725	0.6427244	-1.0304011e-10	0.0639931	0.0639931	0	152546.75	152546.62	-2.1292803e-05	627796.9	272017.6	-7.5566495e-05	272018.1	627796.7	-4.355158e-05
0	0.6424731	0.6424725	-1.1974195e-10	0.06363964	0.06363964	0	152486.95	152486.83	-2.562603e-05	627973.1	271488.56	-3.6866655e-05	271489.1	627972.94	-0.00011497443
0	0.6422251	0.64222455	-1.9524672e-10	0.06328595	0.06328595	0	152428.11	152427.97	-4.9812646e-05	628148.56	270966.03	-0.00013449155	270966.56	628148.3	-0.00016048505
0	0.64197284	0.6419722	-2.0469666e-10	0.0629325	0.0629325	0	152368.22	152368.08	-4.8286147e-05	628324.5	270436.78	-0.00014186301	270437.28	628324.25	-0.00014026594
0	0.6417196	0.6417189	-1.6577748e-10	0.06257904	0.06257904	0	152308.11	152307.98	-3.69082e-05	628500.7	269906.1	-6.277106e-05	269906.62	628500.44	-0.00016762101
0	0.641465	0.6414644	-1.3557022e-10	0.062225346	0.062225346	0	152247.72	152247.6	-3.3901608e-05	628677.4	269373.25	-8.60234e-05	269373.72	628676.94	-0.00010776858
0	0.6412092	0.6412086	-5.5767616e-11	0.06187191	0.06187191	0	152186.98	152186.86	-1.5613026e-05	628854	268838.34	-7.248422e-05	268838.88	628853.75	-2.7170488e-05
0	0.6409493	0.64094865	-3.9665307e-10	0.061518222	0.061518222	0	152125.3	152125.17	-9.2648705e-05	629031.4	268297.16	-0.0003631172	268297.7	629031.06	-0.00021110424
0	0.6406903	0.64068985	-1.7386065e-10	0.061164826	0.061164826	0	152063.86	152063.75	-4.3141372e-05	629208.3	267757.75	-0.00013556771	267758.25	629208	-0.00012863858
0	0.6404307	0.6404301	-7.870388e-11	0.060811136	0.060811136	0	152002.22	152002.08	-2.1067612e-05	629385.25	267217.12	3.0863495e-05	267217.66	629384.94	-0.00014181563
0	0.64017177	0.64017105	-3.2299635e-10	0.060457677	0.060457677	0	151940.75	151940.62	-7.24677e-05	629561.9	266678	-0.00024676436	266678.56	629561.5	-0.00020185643
0	0.63990647	0.63990587	-1.577989e-10	0.06010401	0.06010401	0	151877.8	151877.64	-4.206708e-05	629739.9	266128.62	-0.00010739221	266129.12	629739.56	-0.00014739779
0	0.63964534	0.6396447	-2.615403e-10	0.05975055	0.05975055	0	151815.81	151815.66	-5.926345e-05	629916.9	265585.94	-0.00017810143	265586.47	629916.6	-0.00018299307
0	0.63937885	0.63937825	5.6789945e-10	0.059396874	0.059396874	0	151752.56	151752.42	0.0001373387	630094.5	265035.22	0.00060579536	265035.78	630094.3	0.0002206337
0	0.63911283	0.6391123	-1.09684095e-10	0.059043404	0.059043404	0	151689.44	151689.31	-2.4004192e-05	630272.5	264485	-8.503989e-05	264485.6	630272.2	-3.873869e-05
0	0.63884443	0.63884383	-5.2293697e-10	0.05868994	0.05868994	0	151625.75	151625.58	-0.00012435456	630450.2	263931.53	-0.00027572562	263932.06	630449.9	-0.00047421284
0	0.63857514	0.6385746	-6.8058004e-11	0.05833627	0.05833627	0	151561.83	151561.69	-2.0012285e-05	630628.1	263376.56	-1.775724e-05	263377.06	630627.75	-9.0305446e-05
0	0.6383032	0.63830256	-5.727279e-10	0.057982814	0.057982814	0	151497.28	151497.14	-0.00013038446	630806.25	262817.75	-0.0004084145	262818.25	630805.9	-0.00039158965
0	0.6380316	0.638031	-1.1713883e-10	0.057629142	0.057629142	0	151432.83	151432.69	-3.1079984e-05	630984.75	262259.16	-0.00016705394	262259.7	630984.44	-2.3912735e-05
0	0.6377578	0.6377572	-3.0628475e-10	0.057275668	0.057275668	0	151367.84	151367.69	-7.033463e-05	631163	261697.36	-0.00019537144	261697.92	631162.75	-0.00024138227
0	0.63748276	0.6374822	-2.1643665e-10	0.056922063	0.056922063	0	151302.56	151302.42	-5.2178173e-05	631341.1	261134.28	-0.00013560664	261134.81	631340.8	-0.00018327511
0	0.63720566	0.63720506	-2.4006025e-10	0.0565686	0.0565686	0	151236.78	151236.62	-5.709536e-05	631520.1	260567.23	-0.00023947617	260567.77	631519.75	-0.00011941363
0	0.63692456	0.63692385	-3.5306694e-10	0.056214936	0.056214936	0	151170.05	151169.92	-8.5967484e-05	631700.44	259993.44	-0.0002520224	259993.98	631700.1	-0.0002495513
0	0.63664776	0.6366472	-2.5338037e-10	0.05586146	0.05586146	0	151104.36	151104.22	-6.2914165e-05	631877.9	259428.42	-0.00017026042	259428.98	631877.56	-0.00019501398
0	0.63636667	0.63636607	-3.1813166e-10	0.055507805	0.055507805	0	151037.66	151037.5	-7.808116e-05	632056.8	258856	-0.00024941226	258856.56	632056.5	-0.00022552477
0	0.63608414	0.6360835	-2.5505872e-10	0.055154327	0.055154327	0	150970.6	150970.45	-5.994704e-05	632235.75	258281.39	-8.820828e-05	258281.94	632235.56	-0.0002787295
0	0.63579977	0.6357991	-1.7024332e-10	0.054800846	0.054800846	0	150903.1	150902.94	-4.0595678e-05	632415.1	257703.89	-0.00011634794	257704.47	632414.9	-0.00012893761
0	0.6355133	0.63551265	-9.155081e-11	0.05444718	0.05444718	0	150835.11	150834.95	-2.2748172e-05	632594.4	257123.7	-6.404701e-05	257124.3	632594.06	-4.328299e-05
0	0.63522714	0.6352266	-2.558535e-10	0.054093722	0.054093722	0	150767.2	150767.06	-6.206616e-05	632773.75	256543.66	-0.00024007024	256544.25	632773.44	-0.00015588563
0	0.63493764	0.634937	-1.8657022e-10	0.053740054	0.053740054	0	150698.47	150698.31	-4.3929722e-05	632953.2	255958.95	-8.1800834e-05	255959.53	632952.8	-0.0001738648
0	0.63464516	0.6346444	-2.398706e-10	0.053386588	0.053386588	0	150629.06	150628.89	-5.4811208e-05	633133.56	255368.98	-0.00016778347	255369.61	633133.25	-0.00016555226
0	0.6343559	0.63435525	-1.4657818e-10	0.053032987	0.053032987	0	150560.42	150560.27	-3.8452785e-05	633312.44	254785.23	-0.00013822259	254785.83	633312.1	-7.236052e-05
0	0.63406104	0.6340605	-1.69317e-10	0.05267951	0.05267951	0	150490.44	150490.27	-3.9256593e-05	633492.6	254192.38	-7.730952e-05	254192.95	633492.25	-0.00015553513
0	0.63376814	0.63376755	-9.772369e-12	0.05232584	0.05232584	0	150420.9	150420.75	1.648331e-06	633672.3	253602.5	2.5267853e-05	253603.08	633672	-3.584629e-05
0	0.63347095	0.6334704	-1.3166532e-10	0.05197238	0.05197238	0	150350.39	150350.22	-3.0920746e-05	633852.25	253006.56	-9.050186e-05	253007.19	633851.9	-0.00010102896
0	0.63317335	0.6331727	-8.214639e-11	0.051618718	0.051618718	0	150279.73	150279.58	-2.2950806e-05	634032.2	252409.81	-7.592632e-05	252410.36	634031.94	-4.9104536e-05
0	0.63287324	0.63287246	-1.9475385e-10	0.05126525	0.05126525	0	150208.5	150208.34	-4.1658826e-05	634212.6	251809.3	-0.00012571349	251809.9	634212.25	-0.00014786114
0	0.6325732	0.63257253	-3.3569786e-11	0.05091175	0.05091175	0	150137.3	150137.14	-8.929242e-06	634392.4	251209.55	-3.7948525e-05	251210.14	634392	-1.68576e-05
0	0.63226694	0.6322663	-3.1240452e-10	0.0505581	0.0505581	0	150064.6	150064.44	-7.153022e-05	634573.44	250599.53	-0.00026330125	250600.1	634573.2	-0.00017366321
