# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6314393	0.63143665	2.023218e-10	0.0707108	0.07071081	0	101279.734	101279.31	3.395062e-05	662827.4	221184.5	0.00024582434	221187.67	662826.7	4.7144396e-05
0	0.63132006	0.63131756	-5.5879357e-10	0.07056912	0.07056912	0	101260.63	101260.22	-8.9506175e-05	662910.7	220934.52	-0.00037042025	220937.48	662910	-0.00043103448
0	0.63119733	0.63119483	-4.0143214e-10	0.070427895	0.070427895	0	101240.93	101240.53	-6.558642e-05	662996.56	220676.77	-0.00030643857	220679.72	662996	-0.0002828664
0	0.6310738	0.6310713	-1.0276663e-10	0.070286475	0.070286475	0	101221.125	101220.72	-1.697531e-05	663082.8	220417.56	-6.0614224e-05	220420.52	663082.25	-6.734914e-05
0	0.6309508	0.6309483	-3.9822068e-10	0.07014494	0.07014494	0	101201.38	101200.99	-6.1728395e-05	663168.56	220159.55	-0.00034684807	220162.52	663168	-0.00023572198
0	0.6308269	0.6308245	-2.986655e-10	0.07000352	0.07000352	0	101181.52	101181.13	-4.861111e-05	663254.6	219900.08	-0.00019026131	219903.03	663254.2	-0.00025592672
0	0.6307025	0.6307001	-3.4683736e-10	0.06986228	0.069862284	0	101161.58	101161.18	-5.2469135e-05	663341	219639.62	-0.0001414332	219642.6	663340.5	-0.00035021553
0	0.6305787	0.63057625	-3.757405e-10	0.06972061	0.0697206	0	101141.72	101141.32	-6.0185186e-05	663426.9	219380.42	-0.00029717808	219383.36	663426.3	-0.00022898708
0	0.63045377	0.63045126	-2.3764782e-10	0.06957921	0.06957921	0	101121.67	101121.28	-3.6265432e-05	663513.25	219119.12	-9.007947e-05	219122.05	663512.7	-0.00023572198
0	0.6303292	0.6303268	-2.8581967e-10	0.069437966	0.06943796	0	101101.695	101101.3	-4.7839505e-05	663599.25	218858.77	-0.00024582434	218861.7	663598.7	-0.00018857759
0	0.63020396	0.6302016	-3.5326028e-10	0.06929652	0.06929652	0	101081.61	101081.21	-5.941358e-05	663685.44	218597.16	-0.0003249596	218600.12	663684.94	-0.00020878232
0	0.63007885	0.63007647	-4.0143214e-10	0.069155015	0.06915502	0	101061.55	101061.14	-6.481481e-05	663771.5	218335.98	-0.00023993131	218338.92	663771.06	-0.00032327586
0	0.6299533	0.62995094	-1.4130412e-10	0.0690136	0.0690136	0	101041.414	101041.016	-2.5462963e-05	663857.56	218074.16	-0.00017342404	218077.11	663857.2	-3.367457e-05
0	0.62982714	0.6298247	-2.5691657e-10	0.06887218	0.06887218	0	101021.164	101020.76	-3.858025e-05	663944	217811.03	-0.00015490301	217814	663943.5	-0.00018857759
0	0.6297015	0.62969905	-5.4594773e-10	0.0687307	0.0687307	0	101001.016	101000.61	-8.564815e-05	664029.9	217549.31	-0.0003510574	217552.27	664029.44	-0.0004377694
0	0.6295747	0.62957233	-3.6610612e-10	0.06858927	0.06858927	0	100980.68	100980.27	-6.095679e-05	664116.3	217285.33	-0.00027949893	217288.28	664115.9	-0.00025592672
0	0.6294482	0.62944573	1.2845829e-10	0.06844799	0.06844799	0	100960.4	100959.984	2.0061729e-05	664202.5	217022.06	0.00012796336	217025.03	664202	4.0409483e-05
0	0.629321	0.62931854	-5.1704463e-10	0.06830659	0.068306595	0	100939.97	100939.57	-8.1790124e-05	664288.8	216757.5	-0.0003931506	216760.45	664288.4	-0.00035021553
0	0.62919414	0.62919164	-5.7485083e-10	0.06816509	0.068165086	0	100919.625	100919.234	-9.259259e-05	664374.9	216493.88	-0.00045123923	216496.84	664374.4	-0.00039735992
0	0.6290664	0.629064	-3.3399156e-10	0.06802368	0.06802368	0	100899.16	100898.76	-5.5555556e-05	664461.25	216228.83	-0.00028118264	216231.78	664460.75	-0.00022225216
0	0.62893856	0.6289361	-6.0375394e-10	0.06788226	0.06788226	0	100878.64	100878.25	-9.490741e-05	664547.56	215963.5	-0.00044450432	215966.47	664547.1	-0.00041756465
0	0.62881047	0.62880814	-1.798416e-10	0.06774077	0.06774077	0	100858.11	100857.72	-3.0864197e-05	664633.94	215697.84	-0.00016163793	215700.81	664633.44	-0.00012122845
0	0.628682	0.6286796	-1.2845829e-10	0.06759932	0.06759932	0	100837.5	100837.1	-2.0061729e-05	664720.3	215431.6	-0.00011954472	215434.55	664719.9	-4.0409483e-05
0	0.6285538	0.6285514	-1.7341868e-10	0.067458086	0.067458086	0	100816.94	100816.53	-2.7777778e-05	664806.4	215166.05	-9.260506e-05	215169	664805.94	-0.00015490301
0	0.6284247	0.62842226	-4.49604e-11	0.06731665	0.06731665	0	100796.21	100795.81	-8.487655e-06	664892.94	214898.64	-2.5255928e-05	214901.6	664892.5	-4.7144396e-05
0	0.62829566	0.6282933	-2.0553326e-10	0.067175	0.067175	0	100775.52	100775.13	-3.2407406e-05	664979.06	214631.92	-0.0001035493	214634.88	664978.6	-0.00016837285
0	0.6281662	0.62816375	-6.422914e-11	0.06703376	0.06703376	0	100754.76	100754.36	-1.2345679e-05	665065.56	214364.11	3.3674569e-06	214367.1	665065.1	-0.00012122845
0	0.6280366	0.62803406	-1.348812e-10	0.06689233	0.06689233	0	100733.97	100733.57	-1.7746914e-05	665151.75	214096.34	-0.00010439116	214099.33	665151.44	-5.387931e-05
0	0.6279063	0.6279039	-4.7529564e-10	0.06675082	0.06675082	0	100713.07	100712.69	-7.79321e-05	665238.4	213827.52	-0.00027613147	213830.5	665237.9	-0.00040409484
0	0.6277765	0.62777406	-2.2801346e-10	0.0666094	0.0666094	0	100692.24	100691.86	-3.0864197e-05	665324.5	213559.62	-0.0001717403	213562.6	665324	-0.00012122845
0	0.62764585	0.62764347	-3.3399156e-10	0.06646816	0.06646815	0	100671.3	100670.91	-5.4012347e-05	665410.9	213290.38	-0.0003199084	213293.33	665410.44	-0.00016163793
0	0.62751526	0.62751275	-2.472822e-10	0.06632651	0.0663265	0	100650.35	100649.96	-4.1666666e-05	665497.2	213021.19	-0.00026771284	213024.17	665496.7	-0.00010102371
0	0.62738365	0.62738115	-2.5691657e-11	0.06618508	0.06618509	0	100629.24	100628.86	-4.6296295e-06	665583.9	212750.27	5.1353716e-05	212753.22	665583.44	-6.734914e-05
0	0.6272527	0.62725025	-2.2159054e-10	0.06604384	0.06604384	0	100608.234	100607.84	-3.9351853e-05	665670.06	212480.72	-0.00014816811	212483.67	665669.7	-0.00016163793
0	0.6271207	0.6271182	-1.8626452e-10	0.06590237	0.06590237	0	100587.055	100586.664	-3.2407406e-05	665756.7	212209.16	-0.00015490301	212212.14	665756.25	-0.00013469828
