# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6574272	0.6574243	-9.1672225e-10	0.07071067	0.07071067	0	158158.2	158157.5	-0.00021986607	617814.7	302581.1	-0.0006708358	302583.4	617812.9	-0.00062351546
0	0.65734905	0.6573485	-2.8669692e-10	0.07056918	0.07056918	0	158139.4	158139.28	-7.1109695e-05	617884.4	302404.06	-0.00031361342	302404.25	617883.94	-0.000118764845
0	0.65726805	0.6572679	-2.9532438e-10	0.07042789	0.07042789	0	158119.92	158119.88	-6.696428e-05	617960.5	302214.9	-0.00018093082	302214.8	617960.2	-0.00021990054
0	0.65718573	0.6571856	-2.229865e-10	0.070286386	0.070286386	0	158100.12	158100.08	-5.2614796e-05	618037.25	302022.9	-0.00018185868	302022.8	618036.94	-0.00013732185
0	0.657104	0.6571039	-6.017096e-11	0.07014501	0.07014502	0	158080.45	158080.45	-1.434949e-05	618113.6	301832.2	4.0825416e-05	301832.1	618113.3	-0.00014474466
0	0.65702194	0.6570219	-2.389141e-10	0.07000352	0.07000352	0	158060.7	158060.69	-5.3571428e-05	618190.1	301640.6	-0.00010206354	301640.5	618189.9	-0.00021526129
0	0.6569398	0.6569397	-3.6102576e-10	0.06986222	0.06986222	0	158040.94	158040.92	-8.609694e-05	618267	301448.84	-0.00020041567	301448.72	618266.75	-0.00029320072
0	0.6568576	0.65685743	-4.9552557e-11	0.069720745	0.069720745	0	158021.17	158021.16	-9.247449e-06	618343.25	301257.53	-3.5258312e-05	301257.44	618342.94	-5.9382422e-05
0	0.6567745	0.65677446	-4.3889406e-10	0.06957926	0.06957926	0	158001.17	158001.12	-0.000107142856	618420.75	301063.66	-0.00029691213	301063.56	618420.44	-0.00034516034
0	0.65669125	0.6566912	-3.2563108e-10	0.06943794	0.06943794	0	157981.16	157981.12	-7.77264e-05	618497.5	300870.44	-0.00024866388	300870.28	618497.1	-0.00022268409
0	0.6566085	0.6566084	-2.309503e-10	0.0692964	0.0692964	0	157961.23	157961.22	-5.9311224e-05	618574.2	300677.8	-0.0002820665	300677.72	618573.94	-6.680522e-05
0	0.6565254	0.6565252	-5.238413e-10	0.0691551	0.0691551	0	157941.25	157941.23	-0.00012882653	618651.5	300484.16	-0.00035907808	300484.06	618651.25	-0.00036742873
0	0.6564414	0.6564413	-1.5396687e-10	0.0690136	0.0690136	0	157921.03	157921.02	-3.8743623e-05	618728.7	300289.22	-0.00022453979	300289.2	618728.44	1.4845606e-05
0	0.65635836	0.6563583	-2.3714436e-10	0.068872124	0.068872124	0	157901.08	157901.05	-5.3571428e-05	618805.75	300096.03	-0.00016701306	300095.97	618805.56	-0.00013361045
0	0.6562746	0.6562745	-2.6899957e-10	0.06873082	0.06873082	0	157880.92	157880.89	-6.951531e-05	618883	299901.6	-0.0001623738	299901.5	618882.75	-0.00023010689
0	0.656191	0.6561909	-1.5927606e-10	0.06858932	0.06858932	0	157860.8	157860.77	-4.40051e-05	618959.75	299707.7	-0.00017629156	299707.6	618959.5	-3.7114016e-05
0	0.65610653	0.65610635	-5.5215704e-10	0.068447955	0.068447955	0	157840.48	157840.45	-0.00013169643	619037.06	299512.12	-0.00029691213	299512.06	619036.75	-0.00046021378
0	0.6560231	0.65602297	-5.910912e-10	0.06830648	0.06830648	0	157820.4	157820.39	-0.00014285714	619113.56	299318.78	-0.0003887693	299318.72	619113.3	-0.0004787708
0	0.65593797	0.6559378	-4.0703885e-11	0.06816515	0.068165146	0	157799.92	157799.92	-8.290816e-06	619191.6	299121.62	5.474317e-05	299121.53	619191.3	-9.2785034e-05
0	0.6558529	0.65585274	-5.3092024e-11	0.068023674	0.068023674	0	157779.48	157779.45	-1.3711735e-05	619269.1	298925.1	1.9484858e-05	298925	619268.9	-8.536223e-05
0	0.65576786	0.65576786	1.2498746e-10	0.06788219	0.06788219	0	157759.02	157759	3.125e-05	619346.9	298728.34	5.195962e-05	298728.22	619346.56	0.00015587886
0	0.65568256	0.6556824	-8.8486704e-11	0.06774088	0.06774088	0	157738.48	157738.47	-2.0248724e-05	619424.06	298531.6	-0.00014335288	298531.53	619423.75	-7.422803e-06
0	0.65559703	0.6555968	-4.1588752e-10	0.067599334	0.067599334	0	157717.89	157717.86	-0.00010331633	619501.94	298333.84	-0.00025515884	298333.75	619501.7	-0.00033402612
0	0.65551233	0.6555122	-2.3006544e-10	0.06745803	0.06745803	0	157697.55	157697.5	-5.8035715e-05	619579.5	298137.84	-9.0001486e-05	298137.75	619579.25	-0.0002449525
0	0.65542686	0.65542674	-4.1234804e-10	0.06731653	0.06731653	0	157676.97	157676.95	-9.741709e-05	619656.9	297940.8	-0.00038366613	297940.72	619656.56	-0.00019670428
0	0.65534043	0.6553403	-9.202617e-11	0.06717506	0.06717506	0	157656.17	157656.12	-2.1922831e-05	619735.3	297741.34	8.9537556e-05	297741.25	619735.06	-0.00021897268
0	0.6552542	0.655254	-5.7958793e-10	0.06703376	0.06703376	0	157635.42	157635.39	-0.00013839286	619812.56	297543.38	-0.0004551106	297543.28	619812.3	-0.00036742873
0	0.6551679	0.6551677	-5.840123e-11	0.066892266	0.066892266	0	157614.67	157614.62	-1.0522959e-05	619890.7	297344.44	6.170205e-05	297344.3	619890.4	-7.793943e-05
0	0.6550819	0.6550818	-5.840123e-10	0.066750884	0.066750884	0	157594	157593.97	-0.00013775511	619968.4	297146.44	-0.00048758535	297146.3	619968.1	-0.00029691213
0	0.65499425	0.6549941	-3.1235808e-10	0.06660941	0.06660941	0	157572.9	157572.88	-7.270408e-05	620046.75	296945.22	-0.00017629156	296945.16	620046.56	-0.0002412411
0	0.65490884	0.6549087	-5.3092024e-11	0.06646809	0.06646809	0	157552.34	157552.31	-1.4987245e-05	620124.1	296748.34	-4.036149e-05	296748.25	620123.8	-2.9691211e-05
0	0.6548205	0.6548204	1.8228262e-10	0.06632662	0.06632662	0	157531.1	157531.06	4.2729593e-05	620202.7	296546.16	0.00014381681	296546.06	620202.3	0.00015216746
0	0.65473413	0.65473396	-4.937558e-10	0.06618514	0.06618514	0	157510.31	157510.3	-0.00012157207	620280.6	296347.22	-0.0004142852	296347.1	620280.3	-0.00034144893
0	0.6546466	0.6546464	-3.4509814e-10	0.066043824	0.066043824	0	157489.27	157489.23	-8.354592e-05	620358.56	296146.72	-0.00024634428	296146.62	620358.25	-0.0002560867
0	0.6545594	0.65455925	-2.7607852e-10	0.06590227	0.06590227	0	157468.28	157468.25	-6.760204e-05	620436.7	295946.6	-0.00019995176	295946.47	620436.3	-0.00020041567
