# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6365695	0.63657135	-2.5757577e-10	0.07071087	0.07071087	0	131986.33	131986.7	-4.5625e-05	639345.44	251853.44	-0.00013082377	251851.89	639346.44	-0.0002152262
0	0.63647324	0.6364732	-1.6098486e-10	0.07056911	0.07056911	0	131966.36	131966.34	-2.875e-05	639409.4	251653.05	-8.440243e-06	251653.11	639409.4	-0.00016880487
0	0.63637114	0.63637084	-1.6098486e-10	0.07042788	0.07042789	0	131945.19	131945.14	-3e-05	639476.75	251442.7	-6.752194e-05	251442.89	639476.56	-0.00014770425
0	0.63626957	0.63626933	-2.5757577e-10	0.07028653	0.07028653	0	131924.12	131924.1	-4.8125e-05	639544.06	251233.16	-0.00012238353	251233.36	639543.94	-0.00020256583
0	0.6361675	0.6361672	-1.126894e-10	0.070144884	0.070144884	0	131902.95	131902.92	-2e-05	639611.1	251023.08	-5.486158e-05	251023.27	639611	-0.000101282916
0	0.6360654	0.6360652	-1.2878788e-10	0.07000352	0.07000352	0	131881.8	131881.77	-3.1875e-05	639678.56	250812.8	-0.000101282916	250812.97	639678.44	-0.000120273464
0	0.63596326	0.63596296	-4.8295458e-11	0.06986229	0.06986229	0	131860.62	131860.58	-1.25e-05	639745.9	250602.5	-2.954085e-05	250602.69	639745.7	-3.7981095e-05
0	0.6358607	0.63586044	-1.9318183e-10	0.069720544	0.069720544	0	131839.36	131839.3	-4.125e-05	639813.4	250391.33	-0.0001181634	250391.53	639813.3	-0.00021311613
0	0.6357589	0.6357586	-6.439394e-11	0.06957919	0.069579184	0	131818.23	131818.17	-1.5e-05	639880.3	250181.81	4.2201216e-05	250182.03	639880.2	-0.00015403444
0	0.6356554	0.63565516	-3.8636366e-10	0.069437966	0.069437966	0	131796.78	131796.75	-7e-05	639947.75	249969.62	-0.0002363268	249969.83	639947.56	-0.0002743079
0	0.63555187	0.63555163	-1.126894e-10	0.069296576	0.069296576	0	131775.33	131775.28	-2.8125e-05	640015.44	249757.02	-9.7062795e-05	249757.23	640015.25	-0.00010972316
0	0.6354489	0.63544863	-1.9318183e-10	0.06915496	0.06915496	0	131753.97	131753.92	-3.5e-05	640082.8	249545.33	-0.00013504388	249545.53	640082.75	-9.917286e-05
0	0.6353462	0.6353459	8.049243e-11	0.069013596	0.069013596	0	131732.66	131732.61	1.5e-05	640149.75	249334.6	3.7981095e-05	249334.8	640149.6	6.330182e-05
0	0.6352415	0.6352413	-1.6098486e-10	0.068872236	0.068872236	0	131710.98	131710.94	-4.375e-05	640217.5	249120.44	-0.00011394328	249120.62	640217.4	-0.00017513505
0	0.6351381	0.6351379	-1.126894e-10	0.06873064	0.06873064	0	131689.53	131689.48	-2.4375e-05	640284.94	248908.22	-8.440243e-05	248908.42	640284.8	-9.495273e-05
0	0.63503325	0.6350331	-1.2878788e-10	0.06858927	0.06858927	0	131667.8	131667.77	-2.5e-05	640352.2	248694.22	-7.596219e-05	248694.44	640352.06	-0.00014770425
0	0.63493	0.63492966	-2.253788e-10	0.068448015	0.068448015	0	131646.38	131646.34	-5.375e-05	640419.56	248482.2	-0.00013504388	248482.39	640419.4	-0.00020045578
