# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.65395516	0.6539528	-3.6636424e-10	0.07071087	0.07071087	0	77454.445	77454.17	-4.125e-05	623990.4	291545.03	-0.00028073287	291546.84	623988.9	-0.00023455969
0	0.6538679	0.6538672	-3.1000053e-10	0.070569105	0.07056911	0	77444.125	77444.03	-3.4375e-05	624067.8	291346.94	-0.00029550827	291347.38	624067.1	-0.00013667258
0	0.6537752	0.65377456	-4.0863704e-10	0.07042788	0.07042789	0	77433.13	77433.055	-4.5e-05	624152.25	291132.66	-0.00023640662	291132.97	624151.75	-0.00028073287
0	0.65368193	0.65368134	-3.6636424e-10	0.07028652	0.07028653	0	77422.09	77422.016	-3.6875e-05	624238.1	290916.22	-0.00031397754	290916.53	624237.7	-0.00018838652
0	0.6535908	0.65359014	-1.2681839e-10	0.070144884	0.070144884	0	77411.29	77411.22	-2.125e-05	624322.56	290704.16	-0.00019208038	290704.53	624321.94	-3.509161e-05
0	0.653497	0.6534963	-3.5227332e-10	0.07000352	0.07000352	0	77400.18	77400.11	-3.5e-05	624407.94	290487.5	-0.00021793736	290487.8	624407.4	-0.00017730496
0	0.6534051	0.6534045	-1.1272746e-10	0.06986229	0.06986229	0	77389.29	77389.22	-3.75e-06	624492.56	290274.3	-0.00012559102	290274.66	624491.94	-3.6938534e-06
0	0.6533116	0.653311	-1.6909119e-10	0.069720544	0.069720544	0	77378.234	77378.15	-1.875e-05	624577.8	290058.2	-0.00021054964	290058.53	624577.2	-8.126478e-05
0	0.65321803	0.6532174	-3.8045517e-10	0.069579184	0.069579184	0	77367.15	77367.07	-4.5e-05	624663.25	289841.7	-0.0002068558	289842	624662.7	-0.0003324468
0	0.65312403	0.65312344	-5.213645e-10	0.069437966	0.069437966	0	77356.01	77355.94	-6.4375e-05	624748.5	289624.8	-0.00032875297	289625.12	624747.94	-0.0005319149
