# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6574157	0.6574123	-5.63999e-10	0.07071067	0.07071067	0	154586.61	154585.8	-0.00013392857	623593.5	296785.8	-0.00042479875	296788.53	623591.4	-0.00038730254
0	0.65733576	0.6573352	-2.2451324e-10	0.07056918	0.07056918	0	154567.8	154567.69	-5.189732e-05	623669.75	296600.06	-0.00020504252	296600.25	623669.25	-0.00010252126
0	0.65725166	0.6572515	-4.6170062e-10	0.07042789	0.07042789	0	154548.03	154547.98	-0.000107780616	623752.6	296399.78	-0.0002449119	296399.7	623752.25	-0.00038350548
0	0.65716773	0.6571676	-1.937332e-10	0.070286386	0.070286386	0	154528.3	154528.25	-4.1214924e-05	623836.4	296198.53	-4.485305e-05	296198.4	623836.06	-0.00020883961
0	0.6570834	0.6570833	-4.0014053e-10	0.07014502	0.07014501	0	154508.45	154508.44	-9.183674e-05	623920.7	295996.16	-0.0002301982	295996	623920.44	-0.00033414338
0	0.65700054	0.6570005	-4.236782e-10	0.07000352	0.07000352	0	154488.98	154488.95	-9.66199e-05	624003.56	295797.3	-0.00014761163	295797.16	624003.3	-0.00043666465
0	0.6569149	0.65691483	-2.4986152e-10	0.06986222	0.06986222	0	154468.86	154468.83	-6.202168e-05	624088.56	295592.47	-0.00016303729	295592.34	624088.3	-0.00019365127
0	0.6568313	0.6568312	-5.757678e-10	0.069720745	0.069720745	0	154449.19	154449.17	-0.00014158164	624171.94	295392.06	-0.0004468693	295391.9	624171.7	-0.00042907047
0	0.6567455	0.6567453	-1.7019552e-10	0.06957926	0.06957926	0	154429.02	154428.98	-3.4279336e-05	624256.5	295187.28	-0.00017846294	295187.1	624256.25	-4.936209e-05
0	0.6566621	0.65666205	-4.417841e-10	0.06943794	0.06943794	0	154409.4	154409.38	-9.821429e-05	624339.3	294987.75	-0.00029617254	294987.6	624339.06	-0.00033414338
0	0.65657604	0.65657586	-3.874664e-10	0.0692964	0.0692964	0	154389.16	154389.12	-9.3431125e-05	624424.2	294782.3	-0.00022782503	294782.16	624423.94	-0.00034173756
0	0.65649074	0.6564906	-2.317556e-10	0.0691551	0.0691551	0	154369.12	154369.11	-5.947066e-05	624508.2	294579.1	-0.00015401922	294578.94	624507.8	-0.00017466585
0	0.65640473	0.6564047	-1.0501426e-10	0.0690136	0.0690136	0	154348.9	154348.84	-2.3636798e-05	624593.2	294373.56	-0.00012530376	294373.44	624592.9	-2.2782502e-05
0	0.6563199	0.6563198	-3.8022405e-10	0.068872124	0.068872124	0	154328.92	154328.9	-8.8329085e-05	624677.06	294170.88	-0.0001832093	294170.72	624676.8	-0.00034173756
0	0.65623325	0.6562332	-1.3760489e-10	0.06873082	0.06873082	0	154308.56	154308.56	-3.0293368e-05	624761.6	293965.1	3.7970838e-06	293964.97	624761.3	-0.0001860571
