# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6504306	0.6504278	-2.0730284e-10	0.07071097	0.07071097	0	44629.773	44629.58	-1.6432274e-05	639720.2	270880.47	-0.00024716978	270882.8	639718.56	-8.810591e-05
0	0.6503276	0.65032625	-1.6193635e-10	0.070569366	0.070569366	0	44622.7	44622.6	-1.0697306e-05	639819	270638.6	-4.217534e-05	270639.66	639818.06	-0.00017608699
0	0.65022045	0.65021914	-5.4525967e-10	0.07042761	0.07042761	0	44615.34	44615.258	-3.553749e-05	639924.1	270383.62	-0.00037846493	270384.53	639923.2	-0.0003466238
0	0.65011394	0.6501126	-1.3270883e-10	0.07028633	0.07028633	0	44608.04	44607.95	-8.872668e-06	640028.4	270130.3	-0.00012931477	270131.2	640027.44	-5.17186e-05
0	0.6500067	0.6500054	-4.2680207e-10	0.07014479	0.07014479	0	44600.68	44600.59	-2.6887701e-05	640133	269875.3	-0.00024778716	269876.25	640132.25	-0.0003008157
0	0.64989924	0.64989793	-4.228604e-10	0.07000352	0.07000352	0	44593.305	44593.22	-3.2658525e-05	640237.94	269620.03	-0.00034477	269621	640237.06	-0.0003215778
0	0.6497914	0.6497901	-9.652562e-11	0.06986232	0.06986232	0	44585.914	44585.82	-1.0272981e-05	640342.56	269364.53	-0.00014242796	269365.47	640341.7	-6.7176676e-05
0	0.6496837	0.6496824	-4.799724e-10	0.0697207	0.0697207	0	44578.516	44578.43	-2.9848161e-05	640447.75	269108.47	-0.00030944834	269109.4	640446.9	-0.00029955825
0	0.6495756	0.6495742	-3.4041217e-10	0.06957944	0.06957944	0	44571.094	44571.004	-2.4981524e-05	640552.75	268852.03	-0.00029748143	268852.97	640551.94	-0.00021222876
0	0.6494664	0.64946514	-3.973973e-10	0.0694377	0.0694377	0	44563.605	44563.51	-2.4562945e-05	640658.44	268593.6	-0.00022512102	268594.56	640657.56	-0.0002760487
0	0.64935833	0.64935696	-1.9260028e-10	0.069296405	0.069296405	0	44556.188	44556.098	-1.5905995e-05	640763.06	268337.6	-0.00015253908	268338.53	640762.25	-0.00017199866
0	0.6492489	0.64924765	-2.4273242e-10	0.06915487	0.06915487	0	44548.68	44548.594	-2.0315325e-05	640868.6	268078.94	-0.00020795494	268079.8	640867.75	-0.00020654852
0	0.6491391	0.6491377	-4.0378856e-10	0.0690136	0.0690136	0	44541.145	44541.055	-2.5738647e-05	640974.2	267819.56	-0.00032678727	267820.5	640973.25	-0.00019837091
0	0.64902943	0.64902806	-3.6837502e-10	0.06887232	0.06887232	0	44533.62	44533.535	-2.2481796e-05	641080.4	267559.9	-0.00025211432	267560.88	641079.44	-0.0002065927
0	0.64892006	0.64891875	-9.268068e-11	0.06873079	0.06873079	0	44526.117	44526.027	-4.554416e-06	641185.4	267301.72	-4.032733e-05	267302.7	641184.44	-5.2598643e-05
0	0.6488097	0.64880836	-3.3795175e-10	0.0685895	0.0685895	0	44518.55	44518.453	-1.9644473e-05	641291.3	267041.34	-0.00023086552	267042.3	641290.25	-0.00016995023
0	0.6486991	0.6486977	-2.8047123e-10	0.068447776	0.068447776	0	44510.953	44510.867	-2.2192045e-05	641397.3	266780.38	-0.000212358	266781.34	641396.4	-0.00024043709
0	0.64858824	0.648587	-2.8548341e-10	0.0683065	0.0683065	0	44503.355	44503.266	-2.5764457e-05	641503.3	266519.34	-0.0002792487	266520.28	641502.4	-0.0002464361
0	0.648475	0.6484736	-2.3657387e-10	0.06816496	0.06816496	0	44495.574	44495.492	-1.8908699e-05	641611.6	266252.4	-0.0001853717	266253.4	641610.75	-0.0002004317
0	0.64836556	0.6483643	-4.7814314e-10	0.068023674	0.068023674	0	44488.074	44487.98	-3.2908425e-05	641715.5	265995.34	-0.00031399383	265996.34	641714.7	-0.0003574528
0	0.6482522	0.6482508	-4.601538e-10	0.067882404	0.067882404	0	44480.293	44480.195	-3.614417e-05	641823.75	265728.3	-0.00028733158	265729.3	641822.8	-0.00045013547
0	0.64814204	0.6481407	-3.3920558e-10	0.067740865	0.067740865	0	44472.73	44472.637	-2.525713e-05	641928.1	265469.6	-0.00029389322	265470.6	641927.3	-0.00022144032
0	0.64802873	0.6480274	-4.2336085e-10	0.06759956	0.06759956	0	44464.957	44464.863	-2.9838873e-05	642034.94	265204.22	-0.0003247122	265205.22	642034.06	-0.00028410493
0	0.6479154	0.64791405	-1.455783e-10	0.06745787	0.06745787	0	44457.188	44457.086	-9.145168e-06	642143.2	264937.4	-0.000117982934	264938.4	642142.25	-6.8610396e-05
0	0.64780396	0.64780253	-4.0132783e-10	0.067316584	0.067316584	0	44449.535	44449.44	-2.7249369e-05	642248.25	264676.2	-0.00025808837	264677.22	642247.3	-0.00029789377
0	0.6476912	0.6476898	-2.3125861e-10	0.067174956	0.067174956	0	44441.8	44441.707	-1.6313603e-05	642354.56	264412.2	-0.00018306613	264413.22	642353.7	-0.00014978826
0	0.64757645	0.64757514	-1.3900929e-10	0.06703376	0.06703376	0	44433.93	44433.836	-1.275827e-05	642462.4	264143.7	-0.00017262765	264144.7	642461.5	-8.768554e-05
0	0.647463	0.6474616	-2.6797717e-10	0.06689248	0.06689248	0	44426.145	44426.05	-1.5387423e-05	642569.4	263877.84	-0.00019520256	263878.88	642568.44	-0.000118754484
