# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6450137	0.64197785	-3.5005251e-10	0.070710905	0.070710905	0	82448.164	82060.1	-4.817536e-05	632660.1	267265.22	-0.00028193326	271518.94	630337.56	-0.00026297735
0	0.6447712	0.6417247	0	0.07035724	0.07035724	0	82417.16	82027.75	0	632852.3	266720.94	-8.055236e-05	270989.62	630525.25	4.5735193e-05
0	0.6445209	0.6414669	-2.8441766e-10	0.070003524	0.070003524	0	82385.164	81994.805	-3.7702455e-05	633049.44	266163.34	-0.00018411968	270444.38	630719.5	-0.00020580836
0	0.6442723	0.6412113	-2.0784369e-10	0.06964989	0.06964989	0	82353.41	81962.11	-2.8276841e-05	633245.8	265609.3	-0.00015822785	269902.53	630913.2	-0.000114337985
0	0.6440206	0.64095217	-1.7502626e-10	0.069296606	0.069296606	0	82321.21	81929	-2.0945809e-05	633443.4	265049.34	-8.918297e-05	269354.84	631108	-0.00013720558
0	0.64376587	0.64069015	-4.1568737e-10	0.068943	0.068943	0	82288.66	81895.5	-5.026994e-05	633642.5	264483.6	-0.0003452244	268801.47	631304.44	-0.00020580836
0	0.64351267	0.6404296	-2.8441766e-10	0.06858925	0.06858925	0	82256.29	81862.21	-3.5607874e-05	633839.6	263922.1	-0.00025316456	268252.28	631498.9	-0.000114337985
0	0.643258	0.6401678	-3.0629596e-10	0.06823563	0.06823563	0	82223.734	81828.734	-4.0844327e-05	634036.25	263359	-0.00019562716	267701.5	631692.8	-0.00027441117
0	0.6430001	0.6399025	-1.7502626e-10	0.06788235	0.06788235	0	82190.77	81794.83	-2.304039e-05	634235.9	262788.25	-0.00020713464	267143.25	631889.9	-9.1470385e-05
0	0.6427417	0.6396368	-2.8441766e-10	0.06752872	0.06752872	0	82157.74	81760.86	-3.9797036e-05	634434.3	262217.97	-0.000287687	266585.53	632085.7	-0.00016007318
0	0.6424829	0.63937074	-2.8441766e-10	0.06717497	0.06717497	0	82124.664	81726.85	-3.9797036e-05	634631.8	261648.12	-0.0002013809	266028.12	632280.56	-0.00020580836
0	0.64222014	0.6391006	-1.7502626e-10	0.06682181	0.06682181	0	82091.07	81692.31	-1.4662066e-05	634832.4	261069.52	-6.904488e-05	265462.2	632478.44	-0.00013720558
0	0.64195824	0.6388313	-3.719308e-10	0.06646817	0.06646817	0	82057.59	81657.91	-4.608078e-05	635031.3	260493.72	-0.00023878021	264899	632674.75	-0.00025154356
0	0.6416953	0.638561	-4.047482e-10	0.066114426	0.066114426	0	82023.984	81623.36	-5.236452e-05	635229.44	259917.36	-0.00029919448	264335.22	632870.25	-0.00029727875
0	0.6414279	0.6382861	-3.2817422e-11	0.06576081	0.06576081	0	81989.805	81588.22	-7.331033e-06	635431.1	259330.84	-7.479862e-05	263761.56	633069.4	4.5735193e-05
0	0.6411632	0.63801414	-1.5314798e-10	0.06540752	0.06540752	0	81955.97	81553.445	-2.1993099e-05	635629	258752.17	-0.00013233602	263195.5	633264.75	-0.00018294077
0	0.6408933	0.63773674	-2.406611e-10	0.06505392	0.06505392	0	81921.48	81518	-3.2466003e-05	635831.1	258161.9	-0.00018411968	262618.2	633464.25	-0.00013720558
0	0.640624	0.63746005	-4.047482e-10	0.06470018	0.06470017	0	81887.055	81482.63	-5.341181e-05	636031.3	257574.39	-0.0004027618	262043.5	633661.8	-0.00024010976
0	0.6403528	0.6371814	-2.2972196e-10	0.06434655	0.06434655	0	81852.38	81447.01	-2.9324132e-05	636232.06	256983.47	-0.0002301496	261465.52	633860.2	-0.00013720558
0	0.64008015	0.63690144	-2.7347852e-10	0.06399326	0.06399326	0	81817.55	81411.22	-3.3513294e-05	636433	256390.42	-0.00015535098	260885.44	634058.56	-0.00025154356
0	0.63980716	0.636621	-2.7347852e-10	0.06363963	0.06363963	0	81782.63	81375.37	-3.3513294e-05	636632.8	255797.94	-0.00025316456	260305.86	634255.9	-0.00013720558
0	0.63953125	0.6363376	-3.8286993e-10	0.063285895	0.063285895	0	81747.375	81339.15	-5.026994e-05	636834.56	255199.42	-0.00032220944	259720.4	634455.2	-0.00027441117
0	0.63925195	0.63605076	-3.0629596e-10	0.06293271	0.06293271	0	81711.67	81302.48	-3.8749746e-05	637038.2	254594.11	-0.00029919448	259128.3	634656.25	-0.00017150698
0	0.63897556	0.635767	-1.0939141e-10	0.062579095	0.062579095	0	81676.34	81266.2	-1.6756647e-05	637237.94	253997.02	-0.00017405063	258544.22	634853.56	-6.860279e-05
0	0.63869506	0.6354788	-3.2817424e-10	0.06222535	0.06222535	0	81640.484	81229.38	-4.3986198e-05	637440.2	253391.31	-0.0002301496	257951.69	635053.4	-0.00027441117
0	0.6384123	0.63518864	-3.6099165e-10	0.06187174	0.06187174	0	81604.34	81192.28	-5.026994e-05	637643.06	252781.81	-0.00025316456	257355.5	635253.8	-0.00027441117
0	0.63813007	0.6348989	-1.7502626e-10	0.061518423	0.061518423	0	81568.27	81155.25	-2.513497e-05	637845.7	252173.47	-0.00025172613	256760.38	635454	-4.5735193e-05
0	0.6378443	0.6346055	-5.032005e-10	0.061164837	0.061164837	0	81531.74	81117.76	-6.0742845e-05	638049.9	251558.31	-0.00032220944	256158.69	635655.8	-0.00036588154
0	0.63755924	0.63431305	-1.9690453e-10	0.06081109	0.06081109	0	81495.31	81080.35	-2.9324132e-05	638251.4	250947.03	-0.00013521289	255560.69	635854.94	-0.00027441117
0	0.63727	0.6340161	-3.2817424e-10	0.06045749	0.06045749	0	81458.33	81042.41	-3.7702455e-05	638456.56	250325.89	-0.00021144994	254953.1	636057.8	-0.00030871257
0	0.6369804	0.63371897	-1.7502626e-10	0.06010417	0.060104165	0	81421.31	81004.42	-2.0945809e-05	638660.1	249706.14	-0.00020713464	254346.84	636258.94	-2.2867596e-05
0	0.63668925	0.6334202	-4.1568737e-10	0.05975055	0.05975055	0	81384.09	80966.23	-4.817536e-05	638864	249083.61	-0.00029919448	253737.83	636460.5	-0.00025154356
0	0.6363976	0.63312113	-3.0629596e-10	0.05939681	0.059396815	0	81346.83	80928	-3.7702455e-05	639066.4	248462.19	-0.00027617952	253129.89	636660.56	-0.00016007318
0	0.6361011	0.6328169	-2.2972196e-10	0.059043616	0.059043616	0	81308.914	80889.12	-2.9324132e-05	639272.7	247829.5	-0.00027617952	252510.98	636864.75	-9.1470385e-05
0	0.6358071	0.6325153	-3.5005251e-10	0.058690008	0.058690008	0	81271.33	80850.56	-5.026994e-05	639475.56	247204.11	-0.00032220944	251899.12	637065.2	-0.00027441117
0	0.6355073	0.6322078	-5.2507876e-10	0.058336258	0.058336258	0	81233.016	80811.26	-5.9695554e-05	639682.2	246566.55	-0.0003711162	251275.45	637269.56	-0.00032014636
0	0.6352101	0.6319031	-3.719308e-10	0.057982672	0.057982672	0	81195.02	80772.31	-5.026994e-05	639885.25	245936.52	-0.00039125432	250659.06	637470.4	-0.00018294077
0	0.63490814	0.6315934	-2.1878283e-10	0.057629313	0.057629313	0	81156.42	80732.734	-3.5607874e-05	640091.9	245295.81	-0.00018411968	250032.25	637674.8	-0.00014863937
0	0.6346056	0.6312832	-3.9380907e-10	0.057275724	0.057275724	0	81117.74	80693.08	-3.7702455e-05	640297.06	244655.8	-0.00025028767	249406.12	637877.9	-0.00016007318
0	0.6343022	0.63097227	-2.406611e-10	0.05692202	0.05692202	0	81078.97	80653.33	-2.7229551e-05	640501.44	244015.53	-0.00013808976	248779.73	638080	-0.00016007318
0	0.6339941	0.6306564	-2.1878283e-10	0.05656842	0.056568418	0	81039.59	80612.95	-2.304039e-05	640709.06	243365.19	-6.904488e-05	248143.48	638285.4	-0.00013720558
0	0.6336884	0.63034314	-3.9380907e-10	0.05621506	0.05621506	0	81000.51	80572.914	-4.608078e-05	640913.3	242721.7	-0.00029919448	247513.94	638487.6	-0.00020580836
