# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6427707	0.6427691	-4.5516274e-10	0.070710965	0.070710965	0	63351.48	63351.324	-4.48e-05	632641.8	267235.7	-0.0005568182	267237.2	632641.1	-0.00013174716
0	0.6425134	0.64251304	-2.60093e-10	0.07035703	0.07035703	0	63326.12	63326.086	-2.16e-05	632838	266680.34	-0.00010227273	266680.78	632837.94	-0.00023295454
0	0.6422547	0.64225435	-1.192093e-10	0.07000352	0.07000352	0	63300.62	63300.586	-1.52e-05	633036.8	266119.3	-0.00019318181	266119.72	633036.75	-2.4147726e-05
0	0.6419917	0.64199144	-3.6846506e-10	0.06965008	0.06965008	0	63274.707	63274.68	-3.8e-05	633238.1	265549.8	-0.00030681817	265550.22	633238.1	-0.00027272728
0	0.6417301	0.64172983	-2.1674416e-10	0.069296435	0.069296435	0	63248.926	63248.89	-2e-05	633438.4	264983.44	-0.00015909091	264983.84	633438.4	-0.00010617898
0	0.64146537	0.64146507	-3.3595346e-10	0.06894301	0.06894301	0	63222.83	63222.8	-3.36e-05	633640.1	264411.03	-0.0002840909	264411.4	633640.1	-0.00022088068
0	0.6411972	0.64119697	2.1674416e-11	0.068589464	0.068589464	0	63196.4	63196.37	4.8e-06	633843.7	263832.1	-4.5454544e-05	263832.47	633843.7	0.00010227273
0	0.64093226	0.640932	-1.6255812e-10	0.068235576	0.06823557	0	63170.29	63170.26	-1.68e-05	634043.5	263261.38	-8.522727e-05	263261.75	634043.5	-0.00013636364
0	0.64066315	0.64066285	-2.2758137e-10	0.0678824	0.0678824	0	63143.754	63143.727	-2.72e-05	634245.4	262682.62	-0.00015909091	262683.03	634245.4	-0.00019602272
0	0.6403923	0.64039207	-4.226511e-10	0.06752851	0.06752851	0	63117.066	63117.035	-4.12e-05	634449.44	262099.45	-0.00030681817	262099.86	634449.4	-0.00032954547
0	0.64012146	0.64012116	-3.5762787e-10	0.06717496	0.06717496	0	63090.38	63090.348	-3.28e-05	634650.7	261519.08	-0.00025	261519.45	634650.7	-0.00020490057
0	0.63984656	0.63984627	-4.226511e-10	0.066821866	0.066821866	0	63063.273	63063.25	-3.96e-05	634855.5	260929.42	-0.00029545455	260929.8	634855.4	-0.00030681817
0	0.6395739	0.6395736	-2.1674416e-10	0.066467986	0.066467986	0	63036.4	63036.37	-1.92e-05	635056.94	260346.1	-0.00011931818	260346.42	635056.94	-0.00015767045
0	0.63929564	0.6392953	-1.300465e-10	0.06611443	0.06611443	0	63008.973	63008.945	-1.04e-05	635262.2	259751.23	-3.9772727e-05	259751.61	635262.25	-0.00012322442
0	0.6390201	0.6390198	-2.1674416e-10	0.06576096	0.06576096	0	62981.82	62981.793	-2.68e-05	635464.1	259163.64	-0.00025	259163.97	635464.1	-8.8423294e-05
0	0.63874066	0.63874036	-2.2758137e-10	0.06540739	0.06540739	0	62954.273	62954.254	-2.16e-05	635668.2	258568.28	-0.0003125	258568.66	635668.3	-5.681818e-06
0	0.6384594	0.63845915	-3.2511624e-10	0.065053925	0.065053925	0	62926.56	62926.535	-2.8e-05	635873.6	257969.06	-0.00026704546	257969.44	635873.6	-0.00015127841
0	0.63817704	0.63817674	-2.709302e-10	0.064700335	0.06470035	0	62898.727	62898.7	-2.32e-05	636078.3	257369.2	-0.00023863636	257369.55	636078.25	-0.00012926136
0	0.63789463	0.63789433	-5.418604e-11	0.06434651	0.06434651	0	62870.895	62870.875	-6.8e-06	636281.4	256770.75	-0.000125	256771.12	636281.4	3.409091e-05
0	0.6376074	0.63760716	-1.300465e-10	0.063993305	0.063993305	0	62842.59	62842.57	-1.52e-05	636488.44	256161.67	-0.00013636364	256162.05	636488.4	-4.474432e-05
