# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6438542	0.6438525	-6.800901e-10	0.070710965	0.070710965	0	62189.11	62188.945	-6.72e-05	631492.94	269901.6	-0.00053339516	269903.06	631491.9	-0.00047215619
0	0.6436031	0.64360213	-4.976269e-10	0.07035703	0.07035703	0	62164.848	62164.758	-4.76e-05	631681.3	269362.28	-0.00025510203	269363	631680.7	-0.00045222635
0	0.64334536	0.6433444	-2.5434263e-10	0.07000352	0.07000352	0	62139.957	62139.87	-2.48e-05	631876.1	268806.66	-0.00020871985	268807.38	631875.56	-0.00013588532
0	0.64309084	0.6430899	-2.8198857e-10	0.06965008	0.06965008	0	62115.375	62115.29	-3.28e-05	632069.5	268256.97	-0.00020871985	268257.7	632068.94	-0.00026343635
0	0.64283323	0.6428323	-3.4280964e-10	0.06929643	0.069296435	0	62090.484	62090.4	-3.56e-05	632263.56	267702.25	-0.0002435065	267702.94	632262.94	-0.00026053746
0	0.6425734	0.6425726	-3.9257234e-10	0.06894301	0.06894301	0	62065.4	62065.316	-3.92e-05	632458.4	267143.66	-0.00027829313	267144.4	632457.9	-0.00031452923
0	0.64231247	0.6423115	-2.8751776e-10	0.068589464	0.068589464	0	62040.184	62040.094	-2.48e-05	632652.94	266583.72	-0.00014494434	266584.47	632652.44	-0.00022756262
0	0.64204985	0.642049	-3.4833883e-10	0.06823557	0.06823557	0	62014.824	62014.74	-3.28e-05	632848.5	266020.53	-0.00023191095	266021.28	632847.94	-0.00025800092
0	0.6417867	0.6417858	-3.3728045e-10	0.0678824	0.0678824	0	61989.402	61989.316	-3.52e-05	633043.1	265457.6	-0.00017393321	265458.38	633042.5	-0.00035511365
0	0.64151865	0.6415178	-2.1010914e-10	0.06752851	0.06752851	0	61963.516	61963.438	-2.24e-05	633239.9	264885.56	-0.00013914656	264886.3	633239.25	-0.00017465794
0	0.64125377	0.6412528	-5.252728e-10	0.067174956	0.06717496	0	61937.93	61937.832	-5.12e-05	633435.4	264319.1	-0.00035946196	264319.84	633434.8	-0.00038156597
0	0.6409858	0.64098483	-3.5386802e-10	0.066821866	0.066821866	0	61912.05	61911.957	-3.44e-05	633630.75	263748.5	-0.00032467532	263749.28	633630.25	-0.00018118042
0	0.6407148	0.6407139	-2.4051966e-10	0.066467986	0.066467986	0	61885.875	61885.78	-2.12e-05	633828.4	263171.62	-0.00017393321	263172.38	633827.8	-0.00015871406
0	0.64044553	0.6404445	-3.2622208e-10	0.06611443	0.06611443	0	61859.87	61859.785	-2.96e-05	634023.44	262599.53	-0.00018552876	262600.3	634022.94	-0.00021524234
0	0.64017326	0.6401723	-3.7598477e-10	0.065760955	0.06576096	0	61833.562	61833.473	-3.56e-05	634220.1	262021.66	-0.0002203154	262022.44	634219.5	-0.0003340967
0	0.6398995	0.63989854	-5.2250826e-10	0.06540739	0.06540739	0	61807.133	61807.035	-4.56e-05	634416.6	261441.9	-0.00032467532	261442.69	634416.06	-0.00040584416
0	0.6396242	0.63962317	-3.649264e-10	0.065053925	0.065053925	0	61780.53	61780.434	-3.28e-05	634613.44	260859.58	-0.00040584416	260860.34	634612.9	-0.00012972519
0	0.63934743	0.6393463	-1.8522779e-10	0.064700335	0.064700335	0	61753.793	61753.7	-1.8e-05	634810.8	260274.67	-0.00017393321	260275.48	634810.2	-0.00010218576
0	0.6390676	0.63906664	-4.146891e-10	0.06434651	0.06434651	0	61726.773	61726.68	-3.92e-05	635008.56	259685.33	-0.0003304731	259686.1	635007.94	-0.00026887175
0	0.63878816	0.63878715	-3.096345e-10	0.063993305	0.063993305	0	61699.785	61699.688	-3e-05	635205.94	259096.7	-0.00033627087	259097.5	635205.3	-0.00012392741
0	0.63850516	0.6385042	-2.3775507e-10	0.06363946	0.06363946	0	61672.457	61672.35	-2.36e-05	635405.44	258501.03	-0.0002203154	258501.84	635404.75	-0.0001369724
0	0.6382251	0.63822407	-3.7598477e-10	0.06328587	0.06328587	0	61645.39	61645.293	-3.56e-05	635601.4	257912.97	-0.00026669758	257913.8	635600.7	-0.00027829313
0	0.6379407	0.63793975	-7.298528e-10	0.06293276	0.06293277	0	61617.938	61617.84	-6.84e-05	635799.44	257316.78	-0.0005449907	257317.6	635798.9	-0.00053375756
0	0.63765484	0.63765377	-4.589226e-10	0.06257895	0.06257895	0	61590.312	61590.215	-4.2e-05	635997.94	256717.97	-0.00025510203	256718.77	635997.3	-0.000390625
0	0.63736695	0.6373659	5.529188e-11	0.062225346	0.062225346	0	61562.508	61562.406	3.6e-06	636196.75	256116.08	2.3191094e-05	256116.89	636196.1	3.9859693e-05
0	0.6370763	0.6370753	-4.6998094e-10	0.061871838	0.061871838	0	61534.438	61534.332	-4.52e-05	636395.75	255510.28	-0.00040004638	255511.08	636395.1	-0.00029496173
0	0.6367847	0.6367836	-4.589226e-10	0.061518345	0.061518338	0	61506.26	61506.164	-4.48e-05	636594.94	254902.67	-0.00034206864	254903.5	636594.44	-0.00034279336
0	0.636494	0.63649297	-6.303274e-10	0.061164845	0.061164845	0	61478.195	61478.09	-5.92e-05	636793.6	254297.1	-0.00020871985	254297.94	636793.06	-0.0007000812
0	0.63620114	0.6362	-3.7045558e-10	0.060811218	0.060811218	0	61449.902	61449.797	-3.72e-05	636992.75	253688	-0.00028988867	253688.83	636992.1	-0.00025872566
0	0.635906	0.6359049	-3.649264e-10	0.060457423	0.060457423	0	61421.402	61421.29	-3.6e-05	637192.25	253075.28	-0.00021451763	253076.11	637191.6	-0.00030655728
0	0.63560724	0.63560617	-3.7322018e-10	0.060104214	0.060104214	0	61392.54	61392.44	-3.84e-05	637393.25	252455.98	-0.00034786641	252456.83	637392.6	-0.00020437152
0	0.63531053	0.63530946	-3.3728045e-10	0.059750438	0.059750438	0	61363.88	61363.78	-3.32e-05	637591.5	251842.42	-0.00019132653	251843.3	637590.9	-0.00027177064
0	0.63500714	0.63500607	-3.151637e-10	0.0593968	0.0593968	0	61334.58	61334.473	-3e-05	637792.8	251216.39	-0.00014494434	251217.22	637792.1	-0.00030510785
0	0.63470566	0.6347046	-4.810393e-10	0.05904367	0.05904367	0	61305.46	61305.355	-4.76e-05	637993.7	250593.31	-0.0003710575	250594.22	637993.06	-0.00032648712
0	0.6344037	0.6344027	-3.096345e-10	0.05868992	0.05868991	0	61276.297	61276.19	-3.12e-05	638193.2	249971.25	-0.00017973098	249972.11	638192.5	-0.00027611898
0	0.63409954	0.63409853	-1.4652347e-10	0.05833626	0.05833626	0	61246.918	61246.812	-1.36e-05	638392.5	249346.11	-1.1595547e-05	249347	638391.75	-0.00020654568
0	0.6337922	0.63379115	-2.5987182e-10	0.057982706	0.057982706	0	61217.23	61217.117	-2.6e-05	638593.6	248714.52	-0.00021451763	248715.42	638593.06	-0.0001768321
0	0.6334839	0.6334827	-4.2021828e-10	0.057629295	0.057629295	0	61187.445	61187.34	-4.04e-05	638794.3	248082.27	-0.00034786641	248083.14	638793.56	-0.0002804673
0	0.6331716	0.6331705	-4.672164e-10	0.05727573	0.057275724	0	61157.29	61157.188	-4.12e-05	638996.7	247442.69	-0.00031307977	247443.56	638996.06	-0.00032974838
0	0.6328617	0.6328606	-2.3222589e-10	0.056922074	0.056922074	0	61127.348	61127.242	-1.84e-05	639196.25	246809.2	-0.00016813543	246810.08	639195.56	-0.00011378131
0	0.6325472	0.63254607	-2.65401e-10	0.05656836	0.056568358	0	61096.977	61096.867	-2.8e-05	639397.7	246167.48	-0.00016233766	246168.4	639397	-0.000223939
0	0.63223207	0.632231	-5.1421445e-10	0.05621511	0.05621511	0	61066.535	61066.426	-4.96e-05	639599.25	245524.75	-0.00046961967	245525.66	639598.5	-0.00026597286
0	0.63191324	0.63191205	-2.5987182e-10	0.055861417	0.055861413	0	61035.742	61035.63	-2.64e-05	639800.8	244876.8	-0.00013914656	244877.67	639800.25	-0.00022176484
0	0.6315958	0.63159466	-3.206929e-10	0.055507712	0.05550772	0	61005.08	61004.965	-2.84e-05	640002.2	244231.03	-0.0002435065	244231.98	640001.44	-0.0001750203
0	0.6312755	0.63127434	-4.920977e-10	0.055154573	0.055154573	0	60974.145	60974.03	-4.52e-05	640204.3	243580.48	-0.00043483303	243581.4	640203.56	-0.00022466373
0	0.63095224	0.63095105	-2.3775507e-10	0.054800887	0.054800887	0	60942.914	60942.805	-2.12e-05	640407.25	242924.89	-0.00014494434	242925.83	640406.56	-0.00018045571
0	0.6306288	0.63062763	-4.091599e-10	0.05444718	0.05444718	0	60911.68	60911.562	-4.04e-05	640608.44	242270.89	-0.00027829313	242271.84	640607.75	-0.00032177643
0	0.6303	0.6302988	-2.709302e-10	0.05409358	0.054093573	0	60879.92	60879.812	-2.48e-05	640811.5	241607.58	-0.00023191095	241608.5	640810.8	-0.00014856795
0	0.62997204	0.62997085	-2.764594e-12	0.053740256	0.053740256	0	60848.242	60848.133	-1.8e-06	641015	240944.97	-2.8988869e-05	240945.92	641014.2	1.0146104e-05
0	0.62964404	0.62964284	-2.1010914e-10	0.053386644	0.05338665	0	60816.57	60816.453	-2.2e-05	641216.8	240283.9	-0.0001971243	240284.88	641216.1	-0.0001101577
0	0.62931347	0.62931216	-1.327005e-10	0.05303294	0.05303293	0	60784.625	60784.508	-1.12e-05	641418.56	239619.25	-5.7977737e-05	239620.2	641417.9	-8.7691325e-05
0	0.62898064	0.62897944	-6.0821065e-10	0.05267929	0.05267929	0	60752.48	60752.37	-5.84e-05	641620.7	238951.2	-0.00033627087	238952.19	641619.94	-0.0005094794
0	0.62864524	0.628644	-4.920977e-10	0.052326012	0.052326012	0	60720.086	60719.97	-4.48e-05	641823.5	238278.77	-0.00038845083	238279.77	641822.75	-0.00031307977
0	0.62830555	0.6283043	-2.5434263e-10	0.05197239	0.05197239	0	60687.273	60687.16	-2.28e-05	642028.56	237598.2	-0.00020292208	237599.2	642027.8	-0.00014856795
0	0.6279694	0.62796813	-4.4233502e-11	0.051618636	0.051618636	0	60654.805	60654.688	-6.8e-06	642229.6	236926.53	-6.377551e-05	236927.53	642228.94	-8.69666e-06
0	0.62762547	0.62762415	1.9905076e-10	0.05126547	0.051265474	0	60621.58	60621.47	1.68e-05	642433.8	236240.8	0.0001101577	236241.78	642433.06	0.00016270002
0	0.6272846	0.62728333	-3.7598477e-10	0.050911848	0.050911848	0	60588.668	60588.543	-3.84e-05	642637.5	235559.89	-0.0002608998	235560.89	642636.8	-0.0002768437
0	0.6269409	0.6269396	-3.206929e-10	0.050558098	0.050558098	0	60555.47	60555.336	-3.16e-05	642839.94	234876.31	-0.0002435065	234877.31	642839.1	-0.0002036468
0	0.62659305	0.62659174	-2.3499047e-10	0.050204474	0.050204474	0	60521.875	60521.75	-2.28e-05	643044.75	234184.58	-0.00020292208	234185.55	643043.94	-0.00011378131
0	0.6262457	0.62624437	-5.1421445e-10	0.049851183	0.049851183	0	60488.32	60488.188	-5.2e-05	643246.9	233495.98	-0.0003942486	233497	643246.1	-0.0003703328
0	0.62589324	0.62589186	-3.4833883e-10	0.04949756	0.04949756	0	60454.273	60454.15	-3.6e-05	643450.94	232798.48	-0.00032467532	232799.52	643450.2	-0.00021669178
0	0.6255429	0.62554157	-2.8751776e-10	0.049143836	0.04914384	0	60420.43	60420.305	-2.8e-05	643654.5	232104.47	-0.00030148422	232105.52	643653.75	-9.856215e-05
0	0.6251887	0.6251874	-2.4328425e-10	0.048790224	0.048790224	0	60386.22	60386.1	-2.16e-05	643858.1	231404.94	-0.00016233766	231406	643857.44	-0.00015219155
0	0.62483096	0.62482965	-2.7645938e-10	0.048436914	0.048436914	0	60351.676	60351.547	-2.6e-05	644063.5	230698.7	-0.0002435065	230699.75	644062.8	-0.00015509044
0	0.6244724	0.62447107	-4.6445178e-10	0.0480833	0.0480833	0	60317.04	60316.91	-4.66e-05	644266.6	229993.67	-0.0002840909	229994.75	644265.8	-0.00041164193
0	0.6241112	0.62410986	-2.5157804e-10	0.047729563	0.047729563	0	60282.15	60282.023	-2.68e-05	644472	229282.58	-0.00016233766	229283.62	644471.25	-0.00017973098
0	0.6237501	0.6237487	-2.0457995e-10	0.04737637	0.04737637	0	60247.27	60247.14	-2.08e-05	644675.2	228573.88	-0.0001101577	228574.94	644674.4	-0.00016523655
0	0.6233847	0.62338334	-2.4881344e-10	0.047022752	0.047022756	0	60211.973	60211.855	-2.3e-05	644879.3	227858.19	-0.00015653989	227859.28	644878.5	-0.00017828154
0	0.62301695	0.62301564	-3.0410532e-10	0.04666901	0.04666901	0	60176.46	60176.336	-2.8e-05	645084.94	227137.75	-0.00022611317	227138.84	645084.1	-0.00021234345
0	0.6226495	0.62264824	-3.4280964e-10	0.046315406	0.046315406	0	60140.977	60140.84	-3.12e-05	645288.9	226419.4	-0.0001971243	226420.5	645288.06	-0.0002840909
0	0.62227947	0.6222781	-5.529188e-11	0.045962077	0.045962077	0	60105.227	60105.098	-5.6e-06	645492.5	225697.66	-9.276438e-05	225698.75	645491.6	-1.739332e-05
0	0.62190425	0.6219029	-2.2116751e-10	0.04560847	0.04560847	0	60068.99	60068.848	-2.08e-05	645698.56	224966.31	-9.856215e-05	224967.45	645697.75	-0.00022321429
0	0.6215318	0.62153035	-2.3775507e-10	0.045254763	0.045254763	0	60033.008	60032.87	-2.48e-05	645901.4	224241.98	-0.00012755101	224243.08	645900.5	-0.00023988288
0	0.62115175	0.62115043	-4.2574747e-10	0.044901155	0.04490116	0	59996.31	59996.164	-4.04e-05	646107.8	223503.56	-0.00031887754	223504.67	646107	-0.0002935123
0	0.62077576	0.6207744	-1.824632e-10	0.04454781	0.04454781	0	59959.99	59959.85	-1.8e-05	646310.3	222774.67	-0.00020292208	222775.78	646309.44	-0.00010291048
0	0.6203931	0.62039167	-1.354651e-10	0.044194214	0.044194214	0	59923.023	59922.887	-1.26e-05	646515.25	222033.95	-0.00012755101	222035.1	646514.44	-7.68205e-05
0	0.6200094	0.62000805	-1.8799239e-10	0.04384048	0.04384048	0	59885.973	59885.83	-1.8e-05	646721.2	221290.94	-0.0001971243	221292.08	646720.25	-6.1238985e-05
0	0.6196231	0.61962175	-2.7645938e-10	0.04348688	0.04348688	0	59848.66	59848.516	-2.76e-05	646925	220546.25	-0.00027249535	220547.42	646924.2	-0.00011378131
0	0.619237	0.61923563	-3.4833883e-10	0.04313366	0.04313366	0	59811.36	59811.22	-3.48e-05	647129.1	219801.55	-0.0002608998	219802.72	647128.3	-0.0002565515
0	0.61884415	0.6188426	-2.7645938e-10	0.04277993	0.042779934	0	59773.414	59773.27	-2.32e-05	647335.8	219044.81	-0.00024930426	219046	647334.9	-0.00012610157
0	0.61845285	0.61845136	-2.3499047e-10	0.042426337	0.042426333	0	59735.613	59735.473	-2.44e-05	647540.44	218292.36	-0.00027829313	218293.58	647539.5	-8.406772e-05
0	0.6180592	0.6180577	-1.5481726e-10	0.042072967	0.042072967	0	59697.6	59697.457	-2e-05	647743.94	217537.73	-0.00012175325	217538.92	647743.2	-0.00011088242
0	0.6176618	0.61766034	-3.8151396e-10	0.041719377	0.041719377	0	59659.21	59659.074	-4.2e-05	647948.4	216776.88	-0.00033627087	216778.1	647947.56	-0.0002416947
0	0.6172634	0.6172618	-1.8522779e-10	0.04136568	0.04136568	0	59620.727	59620.582	-1.96e-05	648153.5	216013.94	-0.00016233766	216015.17	648152.6	-0.00012900046
0	0.6168611	0.61685956	-1.824632e-10	0.0410121	0.041012097	0	59581.87	59581.727	-1.96e-05	648358.4	215245.98	-0.00024060761	215247.2	648357.44	-3.9497332e-05
