# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.64543	0.64419127	-2.194346e-10	0.07071092	0.07071092	0	72083.03	71944.67	-1.980437e-05	636293.7	265793.25	-0.00019408054	267910.7	635470.1	-7.556523e-05
0	0.64518225	0.64394474	-6.1210703e-10	0.07035718	0.07035718	0	72055.35	71917.14	-6.665861e-05	636489.44	265249	-0.00037603106	267369.25	635668.06	-0.0005939427
0	0.64493	0.64369255	-4.388692e-10	0.07000352	0.07000352	0	72027.17	71888.97	-5.1201547e-05	636693.06	264689.4	-0.0003275109	266813.62	635873.3	-0.00040276267
0	0.6446744	0.6434369	-4.6196758e-10	0.06964995	0.06964995	0	71998.64	71860.43	-4.637121e-05	636897.9	264123.97	-0.00026079573	266252.34	636079.6	-0.00042618788
0	0.6444216	0.64318395	-1.3859028e-10	0.069296554	0.069296554	0	71970.4	71832.17	-1.545707e-05	637099.44	263565.6	-0.00013343037	265698	636282.7	-0.00011485915
0	0.6441651	0.6429275	-2.223219e-10	0.06894301	0.06894301	0	71941.76	71803.54	-2.7049873e-05	637303.44	262999.75	-0.00013343037	265136.22	636488.1	-0.00020856003
0	0.6439068	0.64266926	-4.2732e-10	0.06858933	0.06858932	0	71912.914	71774.69	-4.8303344e-05	637507.8	262430.84	-0.00035177098	264571.4	636694.25	-0.00028563658
0	0.643647	0.6424092	-2.4253297e-10	0.06823561	0.06823561	0	71883.89	71745.66	-3.1397176e-05	637711.94	261860.03	-0.00021834062	264004.78	636899.75	-0.00016019828
0	0.6433874	0.64214975	-4.792914e-10	0.06788237	0.06788237	0	71854.89	71716.67	-5.2167612e-05	637916	261289.77	-0.0003153809	263438.53	637105.44	-0.00040805223
0	0.64312536	0.641888	3.464757e-11	0.06752866	0.06752866	0	71825.63	71687.44	3.3812341e-06	638121.2	260715.12	-3.63901e-05	262867.8	637312.44	7.254262e-05
0	0.6428595	0.6416224	-3.8689785e-10	0.06717498	0.06717498	0	71795.945	71657.78	-4.3956043e-05	638328.56	260132.8	-0.00021834062	262289.5	637521.56	-0.0004148531
0	0.6425967	0.64135987	-2.6563135e-10	0.06682182	0.06682182	0	71766.586	71628.47	-2.7532908e-05	638532.2	259558.56	-0.00021834062	261719.22	637726.94	-0.00017266655
0	0.6423287	0.6410922	-1.2704109e-10	0.066468135	0.066468135	0	71736.66	71598.56	-1.1592802e-05	638739.44	258973.38	-9.704027e-05	261138	637936.06	-7.556523e-05
0	0.6420625	0.64082617	-1.2704109e-10	0.06611443	0.06611443	0	71706.914	71568.86	-1.1592802e-05	638944.1	258393.33	-7.27802e-05	260561.9	638142.44	-4.7228266e-05
0	0.6417934	0.6405575	-3.6957407e-10	0.06576083	0.06576083	0	71676.875	71538.85	-4.492211e-05	639150.06	257808.02	-0.00023047064	259980.53	638350.44	-0.0003959618
0	0.64152235	0.64028686	4.6196758e-11	0.06540751	0.06540751	0	71646.6	71508.625	2.8982006e-06	639357	257219.11	6.671518e-05	259395.53	638559.1	-7.556523e-05
0	0.6412487	0.6400137	-1.7323784e-10	0.065053925	0.065053925	0	71616.04	71478.12	-2.2702572e-05	639564.94	256625.28	-0.00012130034	258805.6	638769.1	-0.00018135655
0	0.64097613	0.6397416	-3.6957407e-10	0.064700186	0.064700186	0	71585.59	71447.73	-3.960874e-05	639770.6	256035.42	-0.00024260068	258219.67	638976.7	-0.00025994438
0	0.6406991	0.6394649	-2.5408217e-10	0.064346544	0.064346544	0	71554.66	71416.83	-2.6083806e-05	639978.56	255436.97	-0.00018801553	257625.28	639186.56	-0.00025692178
0	0.64042133	0.63918793	-3.9267245e-10	0.063993275	0.06399328	0	71523.625	71385.9	-4.1782394e-05	640188	254836.23	-0.00030325085	257028.2	639398.25	-0.00025692178
0	0.6401457	0.6389131	-1.039427e-10	0.06363964	0.06363964	0	71492.85	71355.195	-1.0626736e-05	640393.44	254242.48	-6.065017e-05	256438.2	639605.8	-9.370088e-05
0	0.6398652	0.63863343	-3.4647568e-10	0.06328589	0.06328589	0	71461.54	71323.97	-3.6710542e-05	640602.3	253638.55	-0.00018801553	255838.02	639816.9	-0.00034155484
0	0.63958377	0.6383525	-2.6274405e-10	0.06293274	0.06293274	0	71430.1	71292.58	-2.8498973e-05	640809.8	253034.34	-0.00012130034	255237.84	640026.4	-0.00025767743
0	0.63929886	0.6380687	-4.157708e-10	0.062579095	0.062579095	0	71398.27	71260.88	-5.1201547e-05	641020.94	252422.11	-0.00025473072	254629.17	640239.94	-0.00044734616
0	0.63901556	0.63778627	-2.7718056e-10	0.062225346	0.062225346	0	71366.64	71229.35	-3.3812343e-05	641228.8	251815.22	-0.00027899077	254025.94	640450.2	-0.00014810785
0	0.6387301	0.6375018	-3.8112324e-10	0.061871726	0.061871726	0	71334.76	71197.58	-4.2989977e-05	641437.1	251205.02	-0.00025473072	253419.44	640660.75	-0.0003407992
0	0.638442	0.6372146	-8.0844324e-11	0.061518434	0.061518434	0	71302.586	71165.5	-1.25588695e-05	641646.6	250589.69	-0.00010917031	252807.83	640872.7	-3.627131e-05
0	0.6381506	0.6369241	-1.4436487e-10	0.061164834	0.061164834	0	71270.04	71133.05	-1.8355271e-05	641857.2	249968.69	-9.704027e-05	252190.69	641085.56	-0.00018740176
0	0.63786006	0.636635	-4.6196758e-10	0.060811095	0.060811095	0	71237.6	71100.77	-4.782031e-05	642068	249349.19	-0.00043668124	251574.48	641299.06	-0.00029886048
0	0.6375677	0.63634384	-5.1971355e-10	0.060457468	0.060457468	0	71204.93	71068.26	-5.989615e-05	642278.1	248727.48	-0.00035177098	250956.34	641511.75	-0.0004292105
0	0.6372743	0.63605165	-3.5802486e-10	0.06010418	0.06010418	0	71172.17	71035.62	-3.7676607e-05	642487.44	248105.27	-0.00027292577	250337.73	641723.5	-0.00028110264
0	0.6369766	0.6357553	-3.7534867e-10	0.059750553	0.059750553	0	71138.93	71002.53	-4.419756e-05	642699.94	247473.8	-0.00019408054	249709.77	641938.8	-0.0004133418
0	0.6366803	0.6354603	-2.194346e-10	0.059396803	0.059396803	0	71105.83	70969.586	-2.6083806e-05	642909.56	246847.2	-0.00016982047	249086.67	642151	-0.00019042437
0	0.6363798	0.6351614	-3.1471542e-10	0.059043635	0.059043635	0	71072.266	70936.195	-3.091414e-05	643122.2	246211.94	-0.00030325085	248454.73	642366.4	-0.0001329948
0	0.6360799	0.63486284	-4.215454e-10	0.058690008	0.058690008	0	71038.77	70902.86	-4.878638e-05	643332.3	245579.81	-0.00025473072	247826.17	642579.1	-0.00043185527
0	0.6357745	0.63455915	-6.352054e-11	0.058336258	0.058336254	0	71004.66	70868.945	-2.8982006e-06	643546.4	244936.23	-3.63901e-05	247185.92	642796.2	-6.347479e-05
0	0.63547236	0.6342586	-3.002789e-10	0.05798265	0.057982653	0	70970.93	70835.375	-3.2846274e-05	643756.4	244301.23	-0.00016982047	246554.31	643008.94	-0.0002901705
0	0.6351662	0.63395417	-1.8478703e-10	0.05762934	0.05762934	0	70936.734	70801.375	-1.8113755e-05	643968.56	243658.55	-0.00014859291	245914.94	643224.06	-9.181175e-05
0	0.63485587	0.6336455	-4.330946e-11	0.057275724	0.057275727	0	70902.08	70766.9	-4.8303345e-06	644182.1	243008.48	-2.4260067e-05	245268.36	643440.5	-3.32487e-05
0	0.6345481	0.6333398	-3.7823594e-10	0.05692201	0.05692201	0	70867.7	70732.766	-4.3956043e-05	644394.1	242363.95	-0.00035177098	244626.88	643655.75	-0.00031132874
0	0.634237	0.63303065	-3.7823594e-10	0.0565684	0.0565684	0	70832.95	70698.234	-3.960874e-05	644606.9	241713.94	-0.00024260068	243979.97	643871.56	-0.00028714788
0	0.6339236	0.63271934	-1.5591406e-10	0.056215074	0.056215074	0	70797.96	70663.47	-1.7872238e-05	644820.4	241059.94	-0.00012130034	243329.12	644088.2	-7.254262e-05
0	0.6336059	0.63240385	-2.7718056e-10	0.05586147	0.05586147	0	70762.48	70628.23	-3.091414e-05	645036.1	240397.69	-0.00012433284	242669.95	644307.3	-0.00028110264
0	0.63328904	0.63208926	-1.6746325e-10	0.055507727	0.055507727	0	70727.09	70593.09	-1.6423137e-05	645250	239738.62	-0.00020621058	242013.9	644524.56	-1.964696e-05
0	0.6329725	0.6317749	-4.6196758e-10	0.05515453	0.05515453	0	70691.74	70557.984	-4.9269413e-05	645462.2	239081.73	-0.00030325085	241360	644739.94	-0.0003627131
0	0.6326508	0.6314557	-4.475311e-10	0.05480092	0.05480092	0	70655.82	70522.336	-5.4099746e-05	645677.7	238414.48	-0.00025473072	240695.6	644958.9	-0.0004987305
0	0.6323292	0.63113624	-2.4253297e-10	0.05444718	0.05444718	0	70619.89	70486.66	-2.221954e-05	645890.6	237749.47	-0.00013343037	240033.83	645175.06	-0.00018589046
0	0.6320036	0.63081354	-1.8478703e-10	0.054093584	0.054093584	0	70583.53	70450.625	-1.9321338e-05	646107.3	237075.88	-0.00019408054	239362.77	645395.56	-2.7203481e-05
0	0.6316796	0.63049185	-4.5908027e-10	0.05374024	0.05374024	0	70547.336	70414.695	-4.9269413e-05	646320.06	236407.9	-0.0003214459	238697.83	645611.7	-0.00031737395
0	0.63135135	0.63016635	-2.8295513e-10	0.05338664	0.05338664	0	70510.68	70378.336	-3.091414e-05	646535.44	235731.62	-0.00020621058	238024.3	645830.8	-0.00022065047
0	0.6310217	0.6298394	-3.6957407e-10	0.053032927	0.053032927	0	70473.87	70341.836	-4.2506945e-05	646750.6	235053.61	-0.00025473072	237348.97	646049.7	-0.0002644783
0	0.6306876	0.62950814	-2.6563135e-10	0.052679334	0.052679338	0	70436.56	70304.83	-2.7049873e-05	646967.25	234367.98	-0.00012736536	236666.27	646269.94	-0.00024483135
0	0.630354	0.6291779	-2.078854e-10	0.05232597	0.05232597	0	70399.29	70267.95	-2.0287405e-05	647184.5	233682.9	-0.00015769045	235983.33	646491.3	-0.0001662435
0	0.63001823	0.6288454	-4.388692e-10	0.051972393	0.051972385	0	70361.81	70230.82	-4.5405144e-05	647400.7	232995.8	-0.00035177098	235298.64	646711.5	-0.00032039656
0	0.62968194	0.6285121	-2.078854e-10	0.051618647	0.051618647	0	70324.234	70193.586	-2.7049873e-05	647615.7	232308.78	-0.00023047064	234614.28	646930.25	-6.952001e-05
0	0.62934065	0.6281743	-4.3309462e-10	0.051265426	0.051265426	0	70286.125	70155.86	-4.782031e-05	647833.9	231611.95	-0.00035177098	233919.75	647152.6	-0.00033324264
0	0.6289994	0.62783647	-2.252092e-10	0.050911825	0.050911825	0	70248.01	70118.14	-2.7049873e-05	648050.5	230916.84	-0.00023047064	233226.86	647373.44	-6.952001e-05
