# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.64573413	0.64573485	-2.4956182e-10	0.070710875	0.070710875	0	88369.92	88370.02	-3.9262344e-05	637550	266478.66	-0.00024038462	266477.8	637550.25	-0.000155185
0	0.6454876	0.64548767	5.803763e-12	0.07035726	0.070357256	0	88336.18	88336.18	3.271862e-06	637755.56	265927.28	-4.868549e-05	265927.1	637755.4	9.280672e-05
0	0.64523566	0.6452356	-3.598333e-10	0.07000352	0.07000352	0	88301.7	88301.7	-4.4021417e-05	637967.4	265362.78	-0.00026472736	265362.62	637967.1	-0.00024342746
0	0.64498067	0.64498067	-2.3215052e-10	0.069649905	0.069649905	0	88266.805	88266.805	-3.569304e-05	638180.2	264792.88	-0.00017039922	264792.72	638180	-0.00014301363
0	0.644727	0.644727	-1.7991665e-10	0.06929659	0.06929658	0	88232.1	88232.086	-2.1415824e-05	638392.44	264225.53	-7.302824e-05	264225.34	638392.2	-0.00017344207
0	0.6444699	0.64446986	-4.2367468e-10	0.068943	0.068943	0	88196.91	88196.91	-5.5919096e-05	638606.56	263651.47	-0.00023734177	263651.28	638606.3	-0.00033319133
0	0.6442134	0.6442134	-3.3661823e-10	0.06858926	0.06858926	0	88161.82	88161.805	-4.5211185e-05	638818.25	263080.72	-0.00017039922	263080.6	638818.06	-0.00031037
0	0.6439543	0.6439543	-2.0893547e-10	0.06823566	0.06823566	0	88126.35	88126.336	-2.4985127e-05	639031.8	262504.34	-7.9113925e-05	262504.2	639031.56	-0.00017800633
0	0.64369255	0.64369243	-2.9018815e-11	0.06788233	0.06788233	0	88090.52	88090.52	2.97442e-07	639246.06	261923.62	0	261923.47	639245.8	-2.2821325e-05
0	0.64343125	0.64343125	-3.1920697e-10	0.067528725	0.067528725	0	88054.77	88054.76	-4.5211185e-05	639460	261343.89	-0.00012171373	261343.77	639459.75	-0.00031341286
0	0.64316815	0.6431681	-3.7144082e-10	0.067174986	0.067174986	0	88018.77	88018.766	-5.234979e-05	639674.9	260760.75	-0.00024342746	260760.61	639674.6	-0.0002601631
0	0.6429033	0.64290327	-3.0179567e-10	0.066821784	0.06682178	0	87982.53	87982.51	-4.0452112e-05	639889.8	260174.97	-0.00014909932	260174.81	639889.56	-0.00025559883
0	0.642637	0.642637	-3.6563705e-10	0.06646817	0.06646817	0	87946.086	87946.06	-5.1160023e-05	640105.1	259586.86	-0.0003316699	259586.72	640104.9	-0.00021908472
0	0.6423687	0.6423686	0	0.06611443	0.06611443	0	87909.36	87909.35	-5.94884e-07	640321.56	258994.75	0.00012171373	258994.61	640321.25	-7.607108e-05
0	0.6420987	0.64209867	-3.8304834e-10	0.065760836	0.065760836	0	87872.4	87872.4	-5.4729328e-05	640537.4	258400.92	-0.00025559883	258400.77	640537.2	-0.0002738559
0	0.6418266	0.64182657	-3.6563705e-10	0.065407485	0.065407485	0	87835.18	87835.17	-5.234979e-05	640754.3	257803.17	-0.00029211296	257803.05	640754	-0.0001901777
0	0.64155525	0.6415552	-9.8663966e-11	0.06505392	0.06505392	0	87798.05	87798.04	-7.43605e-06	640970.75	257206.8	-0.00023734177	257206.67	640970.5	9.737098e-05
0	0.64127976	0.64127964	-2.6116934e-10	0.06470018	0.06470018	0	87760.336	87760.33	-4.1046995e-05	641188.9	256602.86	-0.00023125608	256602.73	641188.6	-0.00020691333
0	0.64100695	0.6410068	-3.7144082e-10	0.06434658	0.06434658	0	87723	87722.984	-5.353956e-05	641405.1	256004.69	-0.00027994157	256004.53	641404.9	-0.00026472736
0	0.6407275	0.64072734	-1.7991665e-10	0.06399324	0.06399323	0	87684.75	87684.74	-2.2605593e-05	641624	255394.53	-0.00017039922	255394.42	641623.7	-7.607108e-05
0	0.64044935	0.6404493	-2.7858063e-10	0.06363963	0.06363964	0	87646.69	87646.69	-4.0452112e-05	641842	254787.28	-0.00024951313	254787.16	641841.75	-0.000106499516
0	0.6401698	0.64016974	-1.4509408e-10	0.0632859	0.0632859	0	87608.44	87608.42	-2.5877454e-05	642061.44	254176.42	-0.00014605648	254176.3	642061.2	-8.519961e-05
0	0.6398882	0.63988817	-3.772446e-10	0.06293268	0.06293268	0	87569.91	87569.89	-5.234979e-05	642280.2	253563.4	-0.00030428433	253563.28	642279.94	-0.00022060613
0	0.63960624	0.63960624	-3.0759945e-10	0.06257908	0.06257908	0	87531.31	87531.3	-4.9375372e-05	642497.56	252951.31	-0.00034079843	252951.19	642497.3	-0.00015214217
0	0.6393196	0.63931954	-1.4509408e-10	0.062225346	0.06222535	0	87492.09	87492.07	-2.2605593e-05	642719.3	252328.23	-0.00013692795	252328.16	642719.1	-9.12853e-05
0	0.6390348	0.6390347	-1.6250536e-10	0.06187177	0.06187177	0	87453.12	87453.09	-2.1713266e-05	642937.25	251711.6	-0.00015822785	251711.48	642936.94	-0.00012171373
0	0.6387464	0.63874626	-1.8572041e-10	0.061518386	0.061518386	0	87413.64	87413.62	-2.8554432e-05	643157.9	251087.12	-2.4342746e-05	251087	643157.6	-0.00026168453
0	0.6384561	0.63845605	-1.5089784e-10	0.061164837	0.061164837	0	87373.92	87373.89	-2.4985127e-05	643378.5	250460.23	-0.00012171373	250460.12	643378.25	-0.00012475657
0	0.63816255	0.63816255	-3.482258e-11	0.060811102	0.060811106	0	87333.76	87333.734	-5.502677e-06	643601.9	249825.89	-4.2599804e-05	249825.81	643601.56	7.6071083e-06
0	0.6378707	0.63787055	-2.7858063e-10	0.06045752	0.06045752	0	87293.81	87293.79	-4.312909e-05	643822.56	249196.58	-0.00021908472	249196.5	643822.25	-0.00019474197
0	0.63757724	0.63757706	-1.5089784e-10	0.060104135	0.060104135	0	87253.64	87253.62	-1.9631172e-05	644042.3	248565.95	0	248565.83	644041.94	-0.00020539192
0	0.63727874	0.6372785	-2.4956182e-10	0.059750553	0.059750553	0	87212.78	87212.766	-3.8072576e-05	644265.3	247924.9	-0.00020082765	247924.81	644265	-0.00017952775
0	0.63698226	0.6369821	-6.964516e-11	0.059396822	0.059396822	0	87172.22	87172.195	-1.3087448e-05	644486.8	247288.47	-5.477118e-05	247288.38	644486.5	-4.4121225e-05
0	0.636681	0.63668084	-2.031317e-10	0.059043575	0.059043575	0	87130.99	87130.96	-2.7364664e-05	644710.1	246643.31	-0.0001825706	246643.22	644709.9	-0.000117149466
0	0.6363791	0.636379	-1.5089784e-10	0.058689997	0.058689997	0	87089.67	87089.66	-2.1415824e-05	644933.4	245997.48	-0.00017039922	245997.4	644933.06	-1.9778481e-05
0	0.63607603	0.636076	-3.0759945e-10	0.05833626	0.05833626	0	87048.2	87048.18	-4.268293e-05	645156.8	245349.8	-0.00024342746	245349.75	645156.44	-0.00016431353
0	0.63577265	0.63577247	-3.3661823e-10	0.057982698	0.057982698	0	87006.67	87006.65	-4.8036884e-05	645379.56	244702.2	-0.00014605648	244702.1	645379.25	-0.00029819863
0	0.63546425	0.6354641	-3.5402953e-10	0.057629284	0.057629284	0	86964.47	86964.45	-5.5919096e-05	645604.5	244045.58	-0.0003164557	244045.47	645604.06	-0.00020995618
0	0.6351581	0.6351579	1.0446773e-10	0.057275716	0.057275716	0	86922.58	86922.54	9.666865e-06	645827.75	243393.62	0.000100413825	243393.58	645827.44	2.738559e-05
0	0.63484627	0.6348461	-2.2634675e-10	0.056922022	0.056922022	0	86879.9	86879.87	-2.082094e-05	646054.56	242730.22	-0.00015822785	242730.16	646054.2	-7.302824e-05
0	0.6345356	0.63453543	-1.3929032e-10	0.05656846	0.05656846	0	86837.38	86837.35	-1.9036288e-05	646277.5	242072.4	-4.868549e-05	242072.33	646277.1	-0.000155185
0	0.63422114	0.63422096	-5.803763e-11	0.056215033	0.056215033	0	86794.35	86794.336	-8.030934e-06	646503.3	241406.4	2.4342746e-05	241406.36	646502.9	-0.0001125852
0	0.6339036	0.6339034	-2.5536556e-10	0.055861466	0.055861466	0	86750.9	86750.875	-3.0785246e-05	646729.9	240735.27	-9.737098e-05	240735.2	646729.56	-0.0002738559
0	0.6335883	0.63358814	-5.5716126e-10	0.055507746	0.055507742	0	86707.74	86707.73	-7.3765616e-05	646955	240068.75	-0.00040469816	240068.7	646954.6	-0.0003529698
0	0.633269	0.6332688	-3.4822578e-10	0.055154465	0.055154465	0	86664.05	86664.03	-4.7590718e-05	647181.2	239395.52	-0.0001825706	239395.45	647180.8	-0.00031341286
0	0.63294595	0.6329457	-9.8663966e-11	0.054800905	0.054800905	0	86619.836	86619.81	-1.3236169e-05	647410.4	238714	-0.00015822785	238713.97	647410	1.2171373e-05
0	0.63262457	0.6326243	-1.1607526e-10	0.054447185	0.054447185	0	86575.85	86575.82	-1.0707912e-05	647635.3	238039.1	-0.00014909932	238039.02	647635	-6.0856864e-06
0	0.63229924	0.63229895	-2.4956182e-10	0.054093633	0.054093633	0	86531.33	86531.305	-3.2123735e-05	647863.1	237355.83	-0.00019474197	237355.83	647862.75	-0.00015214217
0	0.63197184	0.63197154	-2.6116934e-10	0.053740174	0.05374018	0	86486.52	86486.5	-3.1528853e-05	648090.8	236669.83	-0.00012171373	236669.81	648090.44	-0.00020995618
0	0.6316433	0.631643	-8.125268e-11	0.053386625	0.053386625	0	86441.56	86441.52	-7.733492e-06	648318.75	235981.83	-4.868549e-05	235981.8	648318.44	-6.389971e-05
0	0.6313113	0.63131106	-4.6430104e-10	0.053032942	0.053032942	0	86396.13	86396.09	-5.7555026e-05	648549.5	235286.33	-0.00032862707	235286.33	648549.1	-0.00030732717
0	0.63097996	0.63097966	-4.4688975e-10	0.0526794	0.0526794	0	86350.8	86350.76	-6.365259e-05	648776.2	234595.7	-0.0003225414	234595.69	648775.9	-0.00029211296
0	0.63064533	0.630645	-4.1206716e-10	0.05232592	0.05232592	0	86304.984	86304.945	-5.1160023e-05	649005.44	233897.95	-0.00027994157	233897.95	649004.94	-0.00027689873
0	0.6303071	0.63030684	-2.7858063e-10	0.051972385	0.051972385	0	86258.7	86258.67	-3.8816182e-05	649235.2	233194.66	-0.00017039922	233194.64	649234.9	-0.00016735638
0	0.6299705	0.6299702	-2.8438438e-10	0.05161866	0.051618665	0	86212.64	86212.586	-3.569304e-05	649464.25	232494.39	-9.737098e-05	232494.39	649463.75	-0.0002738559
0	0.6296278	0.6296276	-3.9465586e-10	0.051265355	0.051265355	0	86165.75	86165.71	-5.234979e-05	649696.8	231782.1	-0.00032558423	231782.12	649696.4	-0.00022212755
0	0.62928647	0.6292861	-2.2634675e-10	0.05091181	0.05091181	0	86119.03	86118.99	-2.8554432e-05	649925.44	231075.58	-0.0003803554	231075.58	649925	8.519961e-05
0	0.6289409	0.6289406	-4.6430103e-11	0.050558098	0.050558105	0	86071.734	86071.695	-5.9488398e-06	650156.25	230360.94	-1.2171373e-05	230360.97	650155.9	-1.2171373e-05
0	0.62859386	0.6285937	1.741129e-11	0.050204575	0.050204575	0	86024.26	86024.22	-1.189768e-06	650389.4	229642.12	-3.651412e-05	229642.14	650388.9	6.0856866e-05
