# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6858415	0.6858379	-3.4087233e-10	0.07071097	0.07071097	0	29302.312	29302.16	-1.5225657e-05	561361.1	398814.1	-0.0002593727	398817	561359.06	-0.00023954162
0	0.6857286	0.6857271	-5.300727e-10	0.070357	0.070357	0	29297.49	29297.426	-2.3867786e-05	561595.75	398423.25	-0.00041470156	398424.44	561594.75	-0.00036739808
0	0.68561053	0.6856091	-6.746791e-10	0.07000352	0.07000352	0	29292.443	29292.38	-2.8350836e-05	561846.6	398007	-0.00043279084	398008.06	561845.75	-0.0004962093
0	0.68549156	0.6854902	-5.6605476e-10	0.0696501	0.0696501	0	29287.36	29287.297	-2.4638226e-05	562098.9	397588.2	-0.0004960932	397589.22	562098	-0.00031125222
0	0.6853716	0.6853702	-7.425165e-10	0.069296405	0.069296405	0	29282.23	29282.176	-3.0330479e-05	562351.7	397167.4	-0.0005414202	397168.5	562350.9	-0.00045244893
0	0.685248	0.6852467	-7.1982303e-10	0.068943016	0.068943016	0	29276.957	29276.895	-3.1610845e-05	562612.8	396733.3	-0.0005210262	396734.38	562612	-0.000514798
0	0.6851254	0.685124	-5.670583e-10	0.0685895	0.0685895	0	29271.715	29271.656	-2.0165457e-05	562869.7	396304.9	-0.0003568167	396306.03	562868.75	-0.000303965
0	0.6850015	0.6850002	-5.9341676e-10	0.06823556	0.06823556	0	29266.426	29266.37	-2.6259973e-05	563127.9	395873.34	-0.00043996907	395874.4	563126.94	-0.00042051772
0	0.68487877	0.6848773	-3.5060743e-10	0.067882404	0.067882404	0	29261.178	29261.12	-1.31944835e-05	563381.44	395447.75	-0.00025680522	395448.84	563380.56	-0.0001755516
0	0.68475246	0.6847511	-5.0789467e-10	0.06752848	0.06752848	0	29255.781	29255.723	-2.1084223e-05	563642.75	395009.62	-0.00038659858	395010.75	563641.9	-0.00030428925
0	0.68462473	0.68462324	-5.2692783e-10	0.067174956	0.067174956	0	29250.322	29250.262	-2.420226e-05	563906.4	394567.16	-0.00037544032	394568.25	563905.44	-0.00041761933
0	0.6844959	0.68449444	-4.222421e-10	0.066821866	0.066821866	0	29244.818	29244.756	-1.6817527e-05	564170.9	394122.25	-0.00018988781	394123.38	564170	-0.0003611889
0	0.6843636	0.6843621	-4.8428633e-10	0.066467956	0.066467956	0	29239.162	29239.104	-1.7869213e-05	564442.9	393664.9	-0.00034827375	393666.06	564442	-0.00023726463
0	0.68423206	0.6842306	-5.201543e-10	0.06611443	0.06611443	0	29233.547	29233.484	-2.217051e-05	564710.75	393212.97	-0.00038944406	393214.1	564709.8	-0.00033703924
0	0.68410105	0.6840996	-4.9787524e-10	0.065760985	0.065760985	0	29227.95	29227.89	-1.631101e-05	564975.3	392765.1	-0.0003422258	392766.22	564974.4	-0.0001922534
0	0.68396735	0.68396586	-5.8585164e-10	0.065407366	0.065407366	0	29222.238	29222.176	-2.5372534e-05	565245.06	392308.12	-0.00039905353	392309.3	565244.2	-0.00043235358
