# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6342432	0.63424253	-2.5376234e-10	0.07071097	0.070710965	0	86094.7	86094.62	-3.48e-05	644776.8	243163.14	-0.00018976898	243163.62	644776.4	-0.00017919761
0	0.6339764	0.63397604	-2.5769664e-10	0.07035703	0.07035703	0	86058.49	86058.44	-3.44e-05	644952.94	242613.8	-0.00017739274	242614.06	644952.6	-0.00020627063
0	0.6337049	0.6337045	-2.439266e-10	0.07000352	0.07000352	0	86021.63	86021.586	-3.48e-05	645133.56	242052.98	-0.00018976898	242053.22	645133.3	-0.0001825495
0	0.63343155	0.63343126	-2.1835365e-10	0.06965008	0.06965008	0	85984.54	85984.49	-2.76e-05	645314.2	241489.8	-0.0001650165	241490.06	645313.94	-0.00014851485
0	0.63315696	0.6331566	-2.281894e-10	0.06929643	0.069296435	0	85947.266	85947.2	-3.16e-05	645495.25	240924.22	-0.00010313532	240924.52	645495	-0.00021864686
0	0.63288206	0.6328817	-3.344155e-10	0.06894301	0.06894301	0	85909.945	85909.91	-4.68e-05	645676.2	240358.55	-0.0001980198	240358.78	645675.9	-0.000294967
0	0.63260525	0.6326049	-1.4753625e-10	0.068589464	0.068589464	0	85872.37	85872.31	-2.32e-05	645857.1	239789.9	-9.90099e-05	239790.19	645856.9	-0.00012788779
0	0.63232666	0.6323263	-1.3376619e-10	0.06823557	0.06823557	0	85834.55	85834.5	-1.68e-05	646038.75	239218.33	-4.950495e-05	239218.6	646038.44	-0.00012788779
0	0.63204646	0.6320461	-2.2228795e-10	0.0678824	0.0678824	0	85796.516	85796.45	-3.02e-05	646219.7	238645.03	-0.00018151815	238645.3	646219.5	-0.00014696782
0	0.63176537	0.63176495	-1.101604e-10	0.06752851	0.06752851	0	85758.35	85758.31	-1.52e-05	646401.3	238069.89	-5.3630363e-05	238070.17	646401.06	-8.869637e-05
0	0.6314813	0.6314808	-2.3802516e-10	0.06717496	0.06717496	0	85719.78	85719.734	-3.26e-05	646584.3	237489.23	-0.00014851485	237489.5	646583.94	-0.00018976898
0	0.63119924	0.6311989	-1.5933915e-10	0.066821866	0.066821866	0	85681.516	85681.46	-1.98e-05	646764.9	236913.92	-9.075907e-05	236914.17	646764.6	-0.0001320132
0	0.6309146	0.6309142	-1.3966765e-10	0.066467986	0.066467986	0	85642.875	85642.83	-2.28e-05	646946.06	236334.12	-9.488449e-05	236334.44	646945.8	-0.00012376238
0	0.63062793	0.6306275	-4.091672e-10	0.06611443	0.06611443	0	85603.95	85603.9	-5.64e-05	647128	235750.78	-0.00028259077	235751.06	647127.7	-0.00034034654
0	0.63033956	0.6303392	4.524445e-11	0.06576096	0.065760955	0	85564.82	85564.766	7e-06	647309.8	235165.31	-4.1254125e-06	235165.6	647309.6	6.884282e-05
0	0.6300503	0.63004994	-2.3409086e-10	0.06540739	0.06540739	0	85525.54	85525.49	-3.28e-05	647491.9	234578.28	-0.00021864686	234578.55	647491.6	-0.00015470297
0	0.6297592	0.62975883	-2.4982805e-10	0.065053925	0.065053925	0	85486.04	85485.984	-3.16e-05	647673.7	233988.97	-0.00018976898	233989.23	647673.4	-0.00017739274
0	0.62946624	0.62946576	-2.242551e-10	0.06470035	0.06470034	0	85446.26	85446.2	-3.12e-05	647856.56	233395.83	-0.00014026402	233396.1	647856.4	-0.00019183168
0	0.6291732	0.6291729	-3.0490824e-10	0.06434651	0.06434651	0	85406.5	85406.45	-4.04e-05	648037.8	232804.56	-0.00018151815	232804.84	648037.56	-0.0002702145
0	0.628878	0.6288777	-2.242551e-10	0.063993305	0.063993305	0	85366.43	85366.37	-3.18e-05	648220.44	232208.52	-9.90099e-05	232208.8	648220.1	-0.00023308581
0	0.6285816	0.62858117	-5.704735e-11	0.06363947	0.06363946	0	85326.18	85326.125	-6.6e-06	648402.7	231611.3	-5.7755777e-05	231611.56	648402.44	-1.23762375e-05
0	0.62828356	0.62828314	-2.045836e-10	0.06328587	0.06328587	0	85285.734	85285.664	-2.6e-05	648585	231011.77	-0.00015676567	231012.05	648584.7	-0.00012582508
0	0.6279828	0.6279824	-2.242551e-10	0.06293277	0.06293277	0	85244.89	85244.836	-3.16e-05	648767.6	230408.1	-0.00011757426	230408.38	648767.2	-0.00020627063
0	0.627683	0.6276825	-1.2786475e-10	0.06257895	0.06257895	0	85204.195	85204.14	-1.5e-05	648949.75	229806.1	-9.075907e-05	229806.38	648949.44	-9.8236385e-05
0	0.62738025	0.6273799	-1.691749e-10	0.062225346	0.062225346	0	85163.12	85163.055	-2.52e-05	649132.5	229199.61	-6.60066e-05	229199.89	649132.25	-0.00015470297
0	0.627076	0.62707573	-1.5540486e-10	0.061871838	0.061871838	0	85121.82	85121.76	-2.08e-05	649315.5	228590.83	-7.838284e-05	228591.14	649315.06	-0.0001320132
0	0.62677026	0.62676984	-2.75401e-11	0.061518338	0.061518338	0	85080.3	85080.24	-1.4e-06	649498.2	227979.84	-1.23762375e-05	227980.12	649497.94	-3.3518977e-06
0	0.6264636	0.6264632	-9.04889e-11	0.061164845	0.061164845	0	85038.67	85038.6	-1.2e-05	649680.56	227368.08	-7.425743e-05	227368.38	649680.4	-4.7442245e-05
0	0.62615293	0.6261524	-6.6883096e-11	0.060811218	0.060811218	0	84996.49	84996.445	-1.12e-05	649863.8	226749.88	-2.8877888e-05	226750.17	649863.56	-8.869637e-05
0	0.6258449	0.6258445	-1.219633e-10	0.060457423	0.060457423	0	84954.695	84954.625	-1.56e-05	650046	226136.45	-0.00010313532	226136.77	650045.75	-4.228548e-05
0	0.6255328	0.6255324	-2.36058e-10	0.060104214	0.060104214	0	84912.33	84912.266	-3.24e-05	650229.25	225516.4	-0.0001650165	225516.72	650228.94	-0.00017739274
0	0.62521887	0.6252184	-6.29488e-11	0.05975043	0.059750438	0	84869.71	84869.64	-7.8e-06	650412.6	224893.44	-0.00011551155	224893.73	650412.4	2.2689768e-05
0	0.62490493	0.62490445	-2.517952e-10	0.0593968	0.0593968	0	84827.1	84827.04	-3.26e-05	650594.8	224271.84	-0.00018151815	224272.16	650594.44	-0.00017275165
0	0.62458825	0.62458783	-2.203208e-10	0.05904367	0.05904367	0	84784.11	84784.05	-2.96e-05	650778	223645.28	-0.00010726073	223645.58	650777.7	-0.00020214521
0	0.6242703	0.6242698	-1.8294495e-10	0.05868992	0.05868991	0	84740.945	84740.89	-2.7e-05	650961	223017.17	-0.00015264026	223017.48	650960.6	-0.00010313532
0	0.6239501	0.6239497	-9.83575e-11	0.05833626	0.058336258	0	84697.484	84697.43	-1.04e-05	651144.3	222385.58	-5.7755777e-05	222385.9	651143.94	-7.967203e-05
0	0.6236288	0.6236284	-1.888464e-10	0.057982706	0.057982706	0	84653.86	84653.805	-2.5e-05	651327.75	221752.2	-9.488449e-05	221752.55	651327.44	-0.00018151815
0	0.623306	0.6233055	-1.18029e-10	0.057629295	0.057629295	0	84610.05	84609.984	-1.76e-05	651510.94	221117.17	-0.00012582508	221117.48	651510.56	-6.60066e-05
0	0.622982	0.62298155	-2.596638e-10	0.05727573	0.05727573	0	84566.07	84566.01	-3.4e-05	651693.5	220480.98	-0.00014438944	220481.31	651693.2	-0.00024211015
0	0.6226561	0.62265563	-2.990068e-10	0.056922074	0.056922074	0	84521.83	84521.766	-3.92e-05	651876.75	219841.4	-0.00017326733	219841.73	651876.44	-0.00027640263
0	0.6223281	0.6223276	-1.4753625e-10	0.05656836	0.056568358	0	84477.305	84477.24	-1.9e-05	652059.7	219199.3	-0.00013613861	219199.64	652059.3	-5.5693068e-05
0	0.6219988	0.6219983	-3.8949569e-10	0.05621511	0.056215107	0	84432.61	84432.55	-5.34e-05	652243.25	218554.73	-0.000330033	218555.08	652243	-0.0002485561
0	0.6216678	0.6216674	-2.4589375e-10	0.055861413	0.055861413	0	84387.664	84387.62	-3.3e-05	652426.4	217908.22	-0.00024339934	217908.55	652426	-0.00013820131
0	0.6213345	0.6213341	-1.9474784e-10	0.055507712	0.05550772	0	84342.43	84342.37	-2.42e-05	652609.9	217258.12	-0.00014026402	217258.47	652609.44	-0.00015676567
0	0.62100035	0.62099993	-1.809778e-10	0.055154573	0.05515457	0	84297.07	84297.016	-2.28e-05	652793	216607.19	-9.075907e-05	216607.53	652792.6	-0.00018822195
0	0.620665	0.62066454	-2.6949956e-10	0.054800887	0.054800887	0	84251.55	84251.484	-3.32e-05	652975.44	215955.22	-0.00015264026	215955.55	652975.1	-0.00022483498
0	0.6203259	0.6203254	-7.08174e-11	0.05444718	0.05444718	0	84205.52	84205.45	-1.06e-05	653159.8	215296.1	-7.425743e-05	215296.45	653159.4	-4.5379536e-05
0	0.61998737	0.61998683	-4.72116e-11	0.05409358	0.05409358	0	84159.58	84159.5	-6.4e-06	653342.25	214639.75	3.30033e-05	214640.08	653342	-0.00012891914
0	0.61964583	0.6196454	-1.849121e-10	0.053740256	0.053740256	0	84113.21	84113.14	-2.6e-05	653525.25	213978.64	-5.3630363e-05	213979	653524.94	-0.00023308581
0	0.6193034	0.6193028	-9.245605e-11	0.053386644	0.05338665	0	84066.71	84066.65	-1.38e-05	653708.44	213315.92	-7.425743e-05	213316.3	653708.06	-6.8069305e-05
0	0.618958	0.6189576	-1.495034e-10	0.05303294	0.05303294	0	84019.836	84019.77	-2.08e-05	653891.5	212649.33	-4.5379536e-05	212649.67	653891.25	-0.00017223597
0	0.6186126	0.618612	-1.3179904e-10	0.05267929	0.05267929	0	83972.945	83972.86	-2.22e-05	654074.44	211982.7	-6.60066e-05	211983.08	654074.06	-0.00013716996
0	0.6182635	0.618263	-1.57372e-10	0.05232601	0.052326012	0	83925.56	83925.48	-1.98e-05	654258	211310.55	-0.00011344885	211310.88	654257.7	-0.00011757426
0	0.61791414	0.61791366	-1.219633e-10	0.051972385	0.05197239	0	83878.14	83878.07	-1.6e-05	654440.9	210638.55	-0.00017739274	210638.9	654440.56	-2.578383e-06
0	0.6175624	0.6175619	-1.691749e-10	0.051618636	0.051618636	0	83830.39	83830.31	-2.22e-05	654624	209962.94	-9.075907e-05	209963.31	654623.7	-0.00016707921
0	0.61720806	0.61720747	-3.068754e-10	0.051265474	0.05126547	0	83782.29	83782.21	-3.84e-05	654807.06	209283.94	-0.00020214521	209284.31	654806.6	-0.00023721122
0	0.6168527	0.6168521	-1.888464e-10	0.050911844	0.050911844	0	83734.05	83733.98	-2.6e-05	654990.56	208602.84	-0.00014438944	208603.2	654990.1	-0.00014438944
0	0.6164956	0.6164951	-1.849121e-10	0.050558098	0.050558098	0	83685.56	83685.5	-2.84e-05	655173.44	207919.95	-0.00015676567	207920.33	655173.1	-0.0001650165
0	0.6161372	0.61613655	-2.4982805e-10	0.050204474	0.050204474	0	83636.92	83636.84	-3.28e-05	655355.8	207235.86	-0.00020214521	207236.22	655355.4	-0.0001299505
0	0.61577654	0.615776	-1.9081355e-10	0.049851183	0.049851183	0	83587.984	83587.9	-2.54e-05	655538.56	206548.27	-0.00014026402	206548.64	655538.2	-0.00013149752
0	0.61541146	0.61541086	-2.793353e-10	0.04949756	0.04949756	0	83538.414	83538.336	-3.46e-05	655722.7	205853	-0.00017326733	205853.38	655722.3	-0.00023514852
0	0.6150493	0.6150487	-2.5769664e-10	0.04914384	0.04914384	0	83489.25	83489.18	-3.3e-05	655904	205164.64	-0.00019389439	205165.05	655903.6	-0.00017326733
0	0.6146812	0.6146805	-2.4982805e-10	0.048790224	0.048790224	0	83439.28	83439.2	-3.36e-05	656087.94	204465.33	-0.00017326733	204465.72	656087.5	-0.00020627063
0	0.6143146	0.61431414	-1.101604e-10	0.048436914	0.048436914	0	83389.52	83389.445	-1.34e-05	656269.3	203770.78	-8.663366e-05	203771.19	656268.9	-9.2821785e-05
0	0.6139426	0.613942	-1.613063e-10	0.0480833	0.0480833	0	83339.03	83338.95	-2.34e-05	656452	203067.19	-0.00015676567	203067.6	656451.56	-5.7755777e-05
0	0.6135724	0.6135718	-2.557295e-10	0.047729563	0.047729563	0	83288.78	83288.7	-3.84e-05	656634	202366.95	-0.00017326733	202367.34	656633.7	-0.00021606848
0	0.6131978	0.61319715	-9.245605e-11	0.04737637	0.04737637	0	83237.91	83237.83	-9.2e-06	656817.1	201659.25	-5.7755777e-05	201659.62	656816.8	-3.919142e-05
0	0.6128222	0.6128216	-2.1048505e-10	0.047022756	0.047022756	0	83186.94	83186.87	-2.9e-05	656999.1	200951.56	-0.00021864686	200952	656998.7	-0.00010313532
0	0.61244416	0.6124435	-1.3573336e-10	0.04666901	0.04666901	0	83135.62	83135.54	-1.78e-05	657181.3	200240.06	-0.00012788779	200240.47	657180.9	-9.101691e-05
0	0.612064	0.61206347	-2.1441934e-10	0.04631541	0.046315406	0	83084.02	83083.93	-2.7e-05	657363.8	199525.44	-0.0001980198	199525.86	657363.4	-0.00011963696
0	0.6116827	0.6116821	2.36058e-11	0.045962077	0.045962077	0	83032.266	83032.17	3.8e-06	657545.4	198810.05	7.632013e-05	198810.44	657544.94	-3.5066005e-05
0	0.61129797	0.61129737	-1.96715e-10	0.04560847	0.04560847	0	82980.02	82979.95	-2.8e-05	657728.06	198088.62	-0.00011551155	198089.05	657727.6	-0.00017017327
0	0.61091316	0.61091244	-6.29488e-11	0.04525476	0.04525476	0	82927.78	82927.695	-8.6e-06	657909.3	197368.56	2.0627063e-05	197368.98	657908.9	-0.00012376238
0	0.6105251	0.61052454	-1.298319e-10	0.04490116	0.044901155	0	82875.125	82875.03	-1.66e-05	658090.94	196643.8	-3.5066005e-05	196644.23	658090.56	-0.00013820131
0	0.61013466	0.61013407	-1.7507636e-10	0.04454781	0.04454781	0	82822.12	82822.05	-2.42e-05	658273.3	195914.88	-0.00014851485	195915.28	658272.9	-0.000121957506
0	0.6097432	0.60974264	-2.9703964e-10	0.044194214	0.044194214	0	82768.98	82768.89	-4.16e-05	658454.56	195185.5	-0.00020627063	195185.9	658454.2	-0.00020420791
0	0.6093496	0.609349	-2.1835365e-10	0.04384048	0.04384048	0	82715.55	82715.47	-3.06e-05	658635.44	194453.56	-0.00014851485	194453.98	658635	-0.00019183168
0	0.6089541	0.6089534	-1.1606185e-10	0.04348688	0.043486875	0	82661.85	82661.77	-1.94e-05	658816.2	193719	-0.00011963696	193719.44	658815.75	-7.245256e-05
0	0.6085558	0.6085552	-2.7343386e-10	0.04313366	0.04313366	0	82607.8	82607.72	-3.9e-05	658997.94	192979.8	-0.00021039604	192980.23	658997.56	-0.00021039604
