# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6900598	0.6900525	-3.352227e-10	0.070710704	0.070710704	0	72305.33	72304.57	-3.5249504e-05	551529.94	414548.2	-0.00026786258	414553.72	551525.3	-0.00021791294
0	0.68997514	0.68997425	-5.752831e-10	0.07035722	0.07035722	0	72296.45	72296.35	-5.9009282e-05	551719.5	414245.25	-0.0004175895	414245.75	551718.56	-0.00038301173
0	0.6898887	0.6898881	-2.3955501e-10	0.07000352	0.07000352	0	72287.4	72287.34	-2.286116e-05	551925.25	413918.75	-0.00013399422	413918.9	551924.56	-0.0001742802
0	0.6898016	0.6898009	-2.3299024e-10	0.06965005	0.06965005	0	72278.27	72278.21	-2.2677697e-05	552132.6	413589.5	-8.240383e-05	413589.53	552132	-0.0002251212
0	0.6897134	0.68971294	-6.0222155e-10	0.06929643	0.06929643	0	72269.03	72268.98	-6.268095e-05	552341.7	413257.06	-0.00051513995	413257.12	552341.06	-0.0003624463
0	0.6896246	0.68962413	-4.4236967e-10	0.068942994	0.068942994	0	72259.734	72259.68	-4.6769754e-05	552551.8	412922.44	-0.00036830126	412922.56	552551.1	-0.0002728084
0	0.6895348	0.68953425	-4.3741938e-10	0.06858929	0.06858929	0	72250.31	72250.26	-4.3676584e-05	552763.8	412584.75	-0.00033159376	412584.88	552763.2	-0.00026177007
0	0.68944466	0.689444	-6.482401e-10	0.06823583	0.06823583	0	72240.875	72240.805	-6.6716406e-05	552975.4	412246.94	-0.00048696302	412247.06	552974.75	-0.0004776871
0	0.68935317	0.6893526	-2.6147404e-10	0.067882195	0.067882195	0	72231.28	72231.22	-2.7524427e-05	553190	411904.22	-0.00020828207	411904.34	553189.3	-0.00017211611
0	0.6892608	0.6892602	-1.1064886e-10	0.06752872	0.06752872	0	72221.61	72221.55	-1.1918992e-05	553405.9	411559.1	-0.00017583345	411559.22	553405.1	1.3277576e-05
0	0.68916786	0.68916714	1.9346224e-11	0.06717502	0.06717502	0	72211.875	72211.805	1.4682412e-06	553622.2	411212.62	-1.4143846e-05	411212.8	553621.44	5.4820943e-05
0	0.68907374	0.689073	-4.082826e-10	0.066821605	0.066821605	0	72202.01	72201.94	-4.048319e-05	553840.7	410862.47	-0.00035746838	410862.66	553839.94	-0.00019622078
0	0.68897873	0.688978	-6.351167e-10	0.066468135	0.066468135	0	72192.04	72191.984	-6.263122e-05	554060.6	410509.38	-0.0004139934	410509.53	554059.9	-0.0004261642
0	0.68888277	0.6888821	-5.9722205e-10	0.06611443	0.06611443	0	72182.01	72181.93	-6.182578e-05	554281.94	410153.7	-0.00040156656	410153.9	554281.25	-0.00041609467
0	0.688786	0.6887854	-1.273154e-10	0.065760985	0.065760985	0	72171.87	72171.77	-1.26504e-05	554504.4	409795.8	-3.6312493e-05	409796	554503.56	-0.00012742761
0	0.6886883	0.68868756	-4.042869e-10	0.06540732	0.06540732	0	72161.63	72161.555	-4.1561663e-05	554728	409435.44	-0.00042383416	409435.66	554727.25	-0.00013780195
0	0.68858963	0.6885889	-7.345811e-10	0.0650539	0.0650539	0	72151.27	72151.21	-7.798036e-05	554953.25	409072.12	-0.0005745414	409072.38	554952.44	-0.0005292981
0	0.6884901	0.6884894	-1.9376876e-10	0.064700216	0.064700216	0	72140.86	72140.78	-2.2626902e-05	555179.5	408706.4	-0.00017315615	408706.62	555178.8	-0.000116178235
0	0.6883893	0.6883885	-3.242493e-10	0.06434676	0.06434676	0	72130.29	72130.23	-3.328e-05	555407.9	408337	-0.00025851006	408337.25	555407	-0.00021202788
0	0.688288	0.6882872	-4.9548454e-10	0.0639931	0.0639931	0	72119.68	72119.59	-5.2272855e-05	555637.1	407965.88	-0.0003252352	407966.1	555636.25	-0.00041051797
0	0.6881853	0.68818456	-1.3459535e-10	0.06363964	0.06363964	0	72108.914	72108.83	-1.2994111e-05	555868.2	407590.94	-9.265892e-05	407591.22	555867.4	-3.9044502e-05
0	0.68808156	0.68808085	-3.2958455e-10	0.06328595	0.06328595	0	72098.05	72097.96	-3.2016724e-05	556100.8	407213.03	-0.0002925431	407213.28	556100	-0.00016155602
0	0.6879768	0.687976	-4.1329756e-10	0.0629325	0.0629325	0	72087.07	72086.984	-3.9509086e-05	556335.4	406831.88	-0.0003047947	406832.22	556334.5	-0.00026840577
0	0.68787146	0.6878706	-6.6166783e-10	0.06257904	0.06257904	0	72076.03	72075.94	-6.876707e-05	556569.9	406449.9	-0.00044371738	406450.16	556568.94	-0.00048567427
0	0.687765	0.6877641	-5.742098e-10	0.062225346	0.062225346	0	72064.875	72064.79	-5.983308e-05	556805.94	406064.62	-0.00045958062	406064.97	556805.1	-0.00038300795
0	0.6876569	0.68765604	-3.7844416e-10	0.06187191	0.06187191	0	72053.55	72053.445	-4.4445187e-05	557045.2	405674.06	-0.00022685464	405674.44	557044.3	-0.000326032
0	0.6875479	0.6875471	-6.674905e-10	0.061518222	0.061518222	0	72042.125	72042.04	-7.2416486e-05	557285.4	405281.34	-0.0005428183	405281.72	557284.5	-0.00042734205
0	0.6874384	0.68743753	-5.8411453e-10	0.061164826	0.061164826	0	72030.66	72030.56	-6.0353042e-05	557525.44	404887.9	-0.00045366786	404888.25	557524.6	-0.0003875621
0	0.6873273	0.6873264	-4.4213538e-10	0.060811136	0.060811136	0	72019.02	72018.92	-4.417017e-05	557768.5	404489.4	-0.00037154913	404489.75	557767.5	-0.00024201168
0	0.687215	0.6872141	1.4027579e-10	0.060457677	0.060457677	0	72007.24	72007.16	1.2782127e-05	558013.3	404087.44	0.00012903333	404087.78	558012.3	0.00011185385
0	0.68710154	0.6871006	-5.5041444e-10	0.06010401	0.06010401	0	71995.35	71995.26	-5.7755904e-05	558259.9	403681.8	-0.00041906143	403682.22	558258.94	-0.00036832615
0	0.6869866	0.6869856	-4.2646775e-10	0.05975055	0.05975055	0	71983.31	71983.22	-4.3962984e-05	558508.7	403272.22	-0.00034716193	403272.56	558507.75	-0.000276822
0	0.68687135	0.6868703	-5.5078697e-10	0.059396874	0.059396874	0	71971.234	71971.125	-5.7597845e-05	558756.94	402862.5	-0.00040466612	402862.94	558755.94	-0.00037385587
0	0.68675476	0.6867537	-3.006873e-10	0.059043404	0.059043404	0	71959.02	71958.914	-2.758904e-05	559006.9	402449.25	-0.00024970918	402449.75	559006	-0.00016129063
0	0.68663645	0.6866355	-9.618569e-10	0.05868994	0.05868994	0	71946.625	71946.516	-0.000100159275	559259.94	402030.6	-0.0007194145	402031.03	559259	-0.0006553192
0	0.68651515	0.68651414	-7.602372e-10	0.05833627	0.05833627	0	71933.92	71933.81	-7.79811e-05	559519.25	401601.56	-0.0006137986	401602.06	559518.25	-0.00048144546
0	0.6863968	0.68639565	-9.351849e-10	0.057982814	0.057982814	0	71921.516	71921.4	-9.712603e-05	559769.56	401185.47	-0.00075429864	401185.97	559768.5	-0.0006122906
0	0.68627524	0.686274	-4.895839e-10	0.057629142	0.057629142	0	71908.766	71908.66	-5.197094e-05	560026.4	400758.44	-0.0003388195	400758.88	560025.25	-0.00036217424
0	0.6861521	0.68615097	-4.26814e-10	0.057275668	0.057275668	0	71895.875	71895.76	-4.6246023e-05	560285.5	400326.97	-0.00034409427	400327.47	560284.44	-0.00031286542
0	0.6860278	0.6860267	-2.3676489e-10	0.056922063	0.056922063	0	71882.86	71882.734	-2.7482743e-05	560546.06	399892.4	-0.00015527992	399892.9	560545	-0.00019259466
0	0.68590224	0.685901	-3.434579e-10	0.0565686	0.0565686	0	71869.695	71869.57	-3.875291e-05	560808.3	399454.25	-0.00026246125	399454.75	560807.25	-0.00020398444
0	0.68577534	0.6857742	-6.007322e-10	0.056214936	0.056214936	0	71856.39	71856.27	-6.0243885e-05	561072.1	399012.88	-0.00039796147	399013.38	561071	-0.00043671505
