# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6383907	0.6383884	-2.0270537e-10	0.07071097	0.07071097	0	55968.28	55968.086	-1.4812465e-05	653982.25	239762.66	-0.00024090931	239764.69	653981.2	4.3718437e-06
0	0.63827527	0.63827336	-4.7705007e-10	0.070569366	0.070569366	0	55958.164	55958	-3.9325252e-05	654074.44	239509.23	-0.00024680895	239510.86	654073.5	-0.00038116856
0	0.638156	0.6381542	-1.9757175e-10	0.07042761	0.07042761	0	55947.71	55947.543	-1.31232055e-05	654170.94	239245.8	1.3139374e-05	239247.39	654170	-0.00022270136
0	0.6380366	0.6380347	-1.9117578e-10	0.07028633	0.07028633	0	55937.242	55937.082	-1.7375769e-05	654267.56	238982.11	-0.000108639535	238983.69	654266.6	-0.00016883084
0	0.6379171	0.6379153	-1.9064103e-10	0.07014479	0.07014479	0	55926.76	55926.605	-1.813736e-05	654363.6	238718.66	-0.00021272614	238720.28	654362.75	-7.690593e-05
0	0.6377971	0.63779527	-3.9688275e-10	0.07000352	0.07000352	0	55916.242	55916.086	-3.3652956e-05	654460.3	238454.02	-0.00022821572	238455.64	654459.44	-0.00030918195
0	0.6376765	0.6376746	-3.854891e-10	0.06986232	0.06986232	0	55905.676	55905.51	-2.4116376e-05	654557.2	238188.28	-0.00021154595	238189.9	654556.3	-0.0001735639
0	0.6375561	0.6375542	-3.6772524e-10	0.0697207	0.0697207	0	55895.113	55894.96	-3.620862e-05	654653.75	237923.12	-0.0002465932	237924.75	654652.8	-0.00033161542
0	0.6374355	0.63743365	-2.5009203e-10	0.06957944	0.06957944	0	55884.54	55884.383	-2.872918e-05	654750.44	237657.58	-0.00024439266	237659.2	654749.5	-0.00021437817
0	0.63731515	0.63731337	-3.7105222e-10	0.0694377	0.0694377	0	55873.99	55873.824	-3.550604e-05	654846.6	237392.94	-0.0002413366	237394.6	654845.6	-0.00032565263
0	0.6371919	0.6371901	-2.4594474e-10	0.069296405	0.069296405	0	55863.188	55863.023	-1.7255832e-05	654945.2	237121.92	-0.00014167727	237123.55	654944.2	-0.00013387784
0	0.63707185	0.63706994	-3.4078024e-10	0.06915487	0.06915487	0	55852.664	55852.5	-3.0335137e-05	655040.5	236858.56	-0.00024956904	236860.16	655039.5	-0.00023484704
0	0.6369498	0.6369479	-1.0803719e-10	0.0690136	0.0690136	0	55841.957	55841.8	-8.75415e-06	655137.56	236590.45	-6.399327e-05	236592.08	655136.6	-7.58001e-05
0	0.6368276	0.6368258	-2.5140973e-10	0.06887232	0.06887232	0	55831.25	55831.086	-2.9893312e-05	655234.6	236322.39	-0.00029205505	236324.03	655233.75	-0.00018530562
0	0.6367039	0.6367021	-1.2460233e-10	0.06873079	0.06873079	0	55820.4	55820.242	-1.7546052e-05	655332.4	236051.4	-9.1365975e-05	236053.06	655331.44	-0.00018882361
0	0.63658243	0.6365806	-2.9595043e-10	0.0685895	0.0685895	0	55809.75	55809.586	-2.44955e-05	655428.56	235785.12	-0.00020247944	235786.8	655427.7	-0.0001886846
0	0.63645935	0.6364575	-3.286826e-10	0.068447776	0.068447776	0	55798.97	55798.805	-3.2193126e-05	655525.56	235515.89	-0.00026433307	235517.56	655524.7	-0.0002497529
0	0.63633424	0.63633233	-2.7266484e-10	0.0683065	0.0683065	0	55788	55787.832	-2.5867072e-05	655624.44	235241.84	-0.00028726857	235243.48	655623.56	-0.00012579783
0	0.6362118	0.6362099	-2.8366076e-10	0.06816496	0.06816496	0	55777.26	55777.1	-1.8632807e-05	655720.6	234974.31	-0.00021753869	234975.97	655719.7	-8.00051e-05
0	0.6360884	0.6360865	-2.7194919e-10	0.068023674	0.068023674	0	55766.438	55766.273	-2.4191493e-05	655817.44	234704.64	-0.00014495822	234706.34	655816.44	-0.00024135117
0	0.63596356	0.63596165	-4.199661e-10	0.067882404	0.067882404	0	55755.5	55755.332	-2.8068713e-05	655915.2	234432.12	-0.00023341711	234433.8	655914.2	-0.00021480687
0	0.6358394	0.6358375	-1.6931112e-10	0.067740865	0.067740865	0	55744.613	55744.457	-1.0869213e-05	656012.4	234161.12	-0.00015634928	234162.83	656011.44	-1.721912e-05
0	0.6357141	0.6357122	-3.4718922e-10	0.06759956	0.06759956	0	55733.625	55733.46	-1.638086e-05	656109.94	233888.03	-0.00020137812	233889.73	656109.06	-6.0204733e-05
0	0.6355893	0.6355874	-1.3117231e-10	0.06745787	0.06745787	0	55722.688	55722.523	-9.593387e-06	656207.3	233616.05	-0.00013297486	233617.72	656206.4	-2.0220126e-05
0	0.63546306	0.6354613	-4.400112e-10	0.067316584	0.067316584	0	55711.617	55711.46	-3.726921e-05	656305.44	233341.12	-0.00032284245	233342.83	656304.6	-0.00027230245
0	0.6353378	0.63533604	-1.6966582e-10	0.067174956	0.067174956	0	55700.637	55700.477	-1.4740988e-05	656402.8	233068.48	-0.0001792858	233070.16	656401.9	-5.6110257e-05
0	0.63521177	0.6352099	-1.5805508e-10	0.06703376	0.06703376	0	55689.586	55689.426	-1.6755443e-05	656500.5	232794.22	-0.00016189142	232795.95	656499.56	-0.00010567306
0	0.63508546	0.63508356	-1.6590485e-10	0.06689248	0.06689248	0	55678.51	55678.35	-1.6738366e-05	656598.2	232519.83	-0.00013116066	232521.5	656597.2	-0.00013613116
0	0.6349581	0.63495624	-1.0282108e-10	0.06675091	0.06675091	0	55667.344	55667.18	-5.761713e-06	656696.56	232243.16	-5.940803e-05	232244.84	656695.56	-3.2599673e-05
0	0.63483185	0.63482994	-1.7580674e-10	0.06660963	0.06660963	0	55656.273	55656.113	-1.6734797e-05	656793.7	231969.16	-0.00014241465	231970.86	656792.8	-0.00012482017
0	0.6347038	0.63470185	-1.0867894e-10	0.066467956	0.066467956	0	55645.05	55644.887	-1.0440378e-05	656891.94	231691.67	-8.617379e-05	231693.38	656890.94	-8.0546626e-05
0	0.634576	0.6345742	-1.5257268e-10	0.06632633	0.06632633	0	55633.85	55633.688	-1.3784617e-05	656989.94	231414.81	-0.00012452228	231416.52	656989	-9.560167e-05
0	0.6344477	0.6344458	-1.176138e-10	0.06618504	0.06618504	0	55622.6	55622.43	-1.5716938e-05	657088.5	231136.48	-0.00013218999	231138.23	657087.56	-0.00011879083
0	0.63432014	0.6343183	-3.4955713e-10	0.06604385	0.06604385	0	55611.414	55611.25	-2.963187e-05	657186.3	230860.2	-0.00018862418	230861.92	657185.4	-0.00028456154
0	0.6341912	0.6341893	-3.0282363e-11	0.06590254	0.06590254	0	55600.113	55599.95	-7.483614e-08	657284.56	230581.45	2.4449315e-05	230583.17	657283.6	-2.5644358e-05
0	0.6340627	0.6340609	-4.14768e-10	0.065760985	0.065760985	0	55588.85	55588.688	-3.0044223e-05	657382.56	230303.66	-0.00019994225	230305.39	657381.6	-0.0002798282
0	0.63393337	0.63393146	-5.442231e-11	0.0656197	0.0656197	0	55577.508	55577.336	-1.2675317e-05	657480.94	230023.95	-6.4680615e-05	230025.69	657480.06	-0.00013772912
0	0.6338036	0.6338017	-7.7556885e-11	0.06547804	0.06547804	0	55566.133	55565.96	-1.0806418e-05	657579.4	229743.98	-0.00014494343	229745.7	657578.44	-2.7622207e-05
0	0.63367397	0.63367206	-4.0716394e-10	0.06533641	0.06533641	0	55554.77	55554.594	-3.1346997e-05	657677.4	229464.38	-0.00027180242	229466.12	657676.44	-0.00022877182
0	0.63354385	0.6335419	-5.1510396e-10	0.06519513	0.06519513	0	55543.355	55543.188	-3.9835788e-05	657776	229183.53	-0.00036974903	229185.27	657775.1	-0.00026638113
0	0.63341224	0.63341033	-1.83248e-10	0.06505393	0.06505393	0	55531.824	55531.645	-7.5780918e-06	657875.2	228900.16	-0.00012286042	228901.92	657874.25	1.8473024e-06
0	0.633283	0.6332811	-3.4707476e-10	0.06491261	0.06491261	0	55520.5	55520.324	-2.8953064e-05	657972.6	228621.89	-0.00029587463	228623.64	657971.7	-0.00016647138
0	0.63315165	0.63314974	-3.380008e-10	0.064771056	0.064771056	0	55508.977	55508.805	-2.3794388e-05	658071.4	228339.2	-0.00022417284	228340.92	658070.44	-0.00015579525
0	0.6330202	0.63301826	-4.47243e-10	0.06462978	0.06462978	0	55497.45	55497.29	-4.285282e-05	658170.1	228056.4	-0.00039855277	228058.17	658169.2	-0.00028575578
0	0.63288885	0.6328868	1.5621058e-11	0.06448806	0.06448806	0	55485.93	55485.76	2.7815433e-06	658268.5	227774.08	2.0712905e-05	227775.83	658267.6	2.3705035e-05
0	0.63275576	0.6327538	-1.1179881e-10	0.0643465	0.0643465	0	55474.27	55474.094	-6.067453e-06	658367.94	227488.28	-9.1394766e-05	227490.08	658367	-5.495246e-06
0	0.632624	0.632622	-4.4725848e-10	0.064205214	0.064205214	0	55462.71	55462.54	-4.446178e-05	658466.3	227205.34	-0.0003776167	227207.16	658465.4	-0.00033238507
0	0.63249135	0.63248944	-2.9147804e-10	0.06406398	0.06406398	0	55451.086	55450.914	-2.7704305e-05	658565.2	226921.02	-0.0001922449	226922.8	658564.2	-0.00025015994
0	0.632358	0.63235605	-2.1970105e-10	0.063922696	0.063922696	0	55439.395	55439.22	-2.4068362e-05	658664.25	226635.16	-0.00016232661	226636.95	658663.3	-0.00022201649
0	0.63222396	0.63222206	9.167817e-11	0.06378113	0.06378113	0	55427.65	55427.477	1.0864404e-05	658763.5	226348.31	1.6412912e-05	226350.11	658762.6	0.00015707871
0	0.632091	0.632089	-3.2319644e-10	0.06363943	0.06363943	0	55415.99	55415.812	-2.6346204e-05	658862.25	226063.39	-0.00026671245	226065.17	658861.25	-0.00015400512
0	0.631957	0.631955	-3.0997993e-10	0.06349815	0.06349815	0	55404.24	55404.062	-3.1311698e-05	658961.2	225776.88	-0.00022391525	225778.67	658960.2	-0.00027609532
0	0.63182205	0.63182	-2.1778292e-10	0.063356586	0.063356586	0	55392.4	55392.23	-1.45565355e-05	659060.56	225488.47	-0.00012315997	225490.23	659059.6	-0.00010929059
0	0.6316878	0.63168585	-1.8661274e-10	0.06321526	0.06321526	0	55380.637	55380.47	-2.6130376e-05	659159.4	225201.78	-0.00014106781	225203.6	659158.4	-0.00027620324
0	0.6315524	0.63155043	-3.6808148e-10	0.06307407	0.06307407	0	55368.773	55368.594	-3.1871197e-05	659258.9	224912.77	-0.00027875445	224914.56	659257.8	-0.00023019068
0	0.63141775	0.6314158	-1.209455e-10	0.062932774	0.062932774	0	55356.96	55356.79	-1.3712175e-05	659357.75	224625.38	-0.00020868753	224627.17	659356.75	-1.0279606e-05
0	0.6312821	0.6312802	-3.6061404e-10	0.06279112	0.06279112	0	55345.074	55344.895	-3.0178198e-05	659457	224336.22	-0.00028523663	224338.05	659455.94	-0.0001966733
0	0.631145	0.63114303	-2.8102776e-10	0.06264953	0.06264953	0	55333.05	55332.875	-2.4389179e-05	659556.94	224044.19	-0.00024143716	224046.02	659555.94	-0.00014802902
0	0.6310095	0.6310075	-1.2191537e-10	0.06250824	0.06250824	0	55321.168	55321	-1.0225305e-05	659655.94	223755.55	-0.000104425104	223757.4	659654.94	-5.8860853e-05
0	0.63087237	0.63087034	-2.1713799e-10	0.062366635	0.062366635	0	55309.15	55308.97	-1.9587009e-05	659755.6	223463.88	-0.00020952564	223465.69	659754.6	-0.0001032556
0	0.63073564	0.63073367	-4.08161e-10	0.06222535	0.06222535	0	55297.164	55296.98	-3.517523e-05	659854.94	223173.14	-0.00034801924	223174.98	659853.94	-0.00021368737
0	0.6305984	0.63059646	-7.9486515e-11	0.06208415	0.06208415	0	55285.137	55284.96	-1.3852701e-05	659954.25	222881.7	-3.5663703e-05	222883.53	659953.4	-0.00018554747
0	0.6304607	0.63045865	-4.4942872e-10	0.061942477	0.061942477	0	55273.05	55272.875	-3.5087596e-05	660053.8	222589.25	-0.00029773999	222591.11	660052.9	-0.00026256716
0	0.63032126	0.63031924	-2.4074714e-10	0.061801177	0.061801177	0	55260.832	55260.656	-2.4931509e-05	660154.4	222293.53	-0.00021465633	222295.38	660153.5	-0.00018347021
0	0.6301829	0.6301809	-3.2594488e-10	0.061659623	0.061659623	0	55248.7	55248.53	-2.210715e-05	660254.06	222000.25	-0.00020462535	222002.12	660253.06	-0.00014839953
0	0.6300437	0.63004166	-4.3433124e-10	0.06151831	0.06151831	0	55236.492	55236.312	-2.9613791e-05	660354.6	221704.66	-0.00029811994	221706.53	660353.6	-0.00017477709
0	0.6299055	0.6299035	-9.292072e-11	0.06137672	0.06137672	0	55224.383	55224.207	-4.508285e-06	660453.44	221412.4	-5.2367082e-05	221414.25	660452.5	-1.962487e-05
0	0.6297664	0.6297644	-1.2841088e-10	0.061235435	0.061235435	0	55212.188	55212.008	-9.097295e-06	660553.1	221117.98	-0.00017752503	221119.83	660552.2	3.225204e-05
0	0.6296262	0.6296242	-2.9431332e-10	0.061094135	0.061094135	0	55199.9	55199.72	-2.204607e-05	660653.2	220821.69	-0.00013195042	220823.53	660652.2	-0.00022009911
0	0.62948674	0.6294848	-1.2341879e-10	0.06095255	0.06095255	0	55187.668	55187.5	-8.598703e-06	660752.5	220527.14	-0.00015592334	220528.98	660751.56	1.8612265e-05
0	0.6293452	0.62934315	-1.3290236e-10	0.06081125	0.06081125	0	55175.25	55175.082	-1.1879376e-05	660853.2	220228.14	-9.0431306e-05	220230.02	660852.25	-9.92682e-05
0	0.62920463	0.62920266	-2.7513725e-10	0.06066969	0.06066969	0	55162.93	55162.76	-2.384419e-05	660953.2	219931.38	-0.00017023993	219933.27	660952.25	-0.00021052342
0	0.62906384	0.62906176	-1.6535254e-10	0.060528405	0.060528405	0	55150.586	55150.414	-2.1957387e-05	661053.06	219634.3	-0.00013236397	219636.2	661052.2	-0.00021826937
0	0.6289221	0.6289201	-4.5500798e-10	0.060386807	0.060386807	0	55138.164	55137.99	-3.6382255e-05	661153.4	219335.73	-0.00026049925	219337.62	661152.4	-0.00032048207
0	0.6287803	0.6287782	-4.4123713e-10	0.060245506	0.060245506	0	55125.73	55125.55	-3.767999e-05	661253.56	219036.97	-0.0003343088	219038.84	661252.5	-0.00026739587
0	0.62863815	0.62863606	-7.7183454e-11	0.06010422	0.06010422	0	55113.27	55113.086	-3.950634e-06	661353.6	218737.92	-5.4558885e-05	218739.83	661352.6	-8.528042e-06
0	0.628495	0.62849295	-2.8119318e-10	0.05996261	0.05996261	0	55100.727	55100.55	-2.3321823e-05	661454.1	218436.97	-0.00019549132	218438.89	661453.2	-0.00017693048
0	0.628352	0.62834984	-2.6693905e-10	0.059821296	0.059821296	0	55088.176	55088	-2.0433088e-05	661554.6	218136.2	-0.0002215521	218138.12	661553.6	-0.00010474002
0	0.628209	0.62820685	-2.519598e-10	0.059679788	0.059679788	0	55075.645	55075.46	-2.5881178e-05	661654.7	217835.97	-0.00020855456	217837.89	661653.75	-0.00020473708
0	0.6280656	0.6280635	-2.4876798e-10	0.05953849	0.05953849	0	55063.074	55062.895	-2.253893e-05	661754.94	217535.05	-0.00020262045	217537	661753.94	-0.00015729947
0	0.6279217	0.6279197	-4.231133e-10	0.059396796	0.059396796	0	55050.46	55050.28	-4.1590545e-05	661855.1	217233.31	-0.00034357238	217235.27	661854.2	-0.0003205792
0	0.6277761	0.627774	-5.3625465e-10	0.059255593	0.059255593	0	55037.688	55037.51	-4.4758373e-05	661956.3	216928.23	-0.00042781216	216930.16	661955.4	-0.00028692585
0	0.6276316	0.6276296	-1.5184809e-10	0.05911429	0.05911429	0	55025.023	55024.844	-1.43993675e-05	662056.75	216625.66	-0.0001947898	216627.58	662055.75	-3.5150984e-05
0	0.62748706	0.627485	-4.9290555e-10	0.058972668	0.058972668	0	55012.35	55012.168	-3.890887e-05	662156.94	216322.94	-0.00026184242	216324.89	662156	-0.00035948594
0	0.6273416	0.62733966	-4.1075493e-10	0.058831364	0.058831364	0	54999.613	54999.426	-3.8627804e-05	662257.5	216018.9	-0.0003752444	216020.83	662256.5	-0.00024159564
0	0.6271947	0.6271926	-5.6808075e-10	0.05868988	0.05868988	0	54986.727	54986.54	-4.975524e-05	662358.8	215711.69	-0.00043380813	215713.66	662357.94	-0.00036072388
0	0.6270494	0.62704736	-3.412576e-10	0.05854817	0.05854817	0	54973.98	54973.8	-3.2692158e-05	662459.06	215408.11	-0.00025202378	215410.05	662458.1	-0.00027003113
0	0.62690246	0.6269004	-3.8652537e-10	0.05840688	0.05840688	0	54961.1	54960.918	-3.3685694e-05	662560.1	215101.45	-0.0003051273	215103.4	662559.1	-0.0002327932
0	0.6267547	0.6267526	-4.3836054e-10	0.05826568	0.05826568	0	54948.15	54947.96	-3.7222777e-05	662661.06	214793.5	-0.00035824734	214795.45	662660.2	-0.00023615616
0	0.6266073	0.6266052	-2.928575e-10	0.058124352	0.058124352	0	54935.24	54935.043	-2.5287885e-05	662762	214486.28	-0.0001976089	214488.23	662761.06	-0.00020620856
0	0.6264593	0.62645715	-3.500293e-10	0.057982735	0.057982735	0	54922.25	54922.062	-2.3515615e-05	662863.2	214177.83	-0.00029504267	214179.81	662862.25	-8.047375e-05
0	0.6263122	0.6263101	-3.9327402e-10	0.05784144	0.05784144	0	54909.355	54909.164	-2.7245009e-05	662963.6	213871.48	-0.0003207336	213873.42	662962.6	-0.00011433681
0	0.62616396	0.6261618	-1.8414602e-10	0.057699878	0.057699878	0	54896.355	54896.168	-1.6399228e-05	663064.4	213563.16	-0.00011878785	213565.12	663063.4	-0.00014308833
0	0.6260145	0.62601227	-1.276228e-10	0.057558257	0.057558257	0	54883.242	54883.055	-1.2304134e-05	663165.8	213252.36	-4.045012e-05	213254.36	663164.75	-0.00015603227
0	0.62586576	0.6258636	-1.8933793e-10	0.057416957	0.057416957	0	54870.21	54870.023	-1.9722303e-05	663266.56	212943.44	-0.00015344434	212945.44	663265.56	-0.0001614974
0	0.62571585	0.62571377	-4.238349e-10	0.05727573	0.05727573	0	54857.074	54856.887	-3.3012915e-05	663367.7	212632.53	-0.0003018377	212634.55	663366.7	-0.0002253393
0	0.62556505	0.6255629	-3.014514e-10	0.05713443	0.05713443	0	54843.85	54843.664	-3.1103285e-05	663469.4	212319.72	-0.0002644587	212321.7	663468.4	-0.00023222379
0	0.62541467	0.6254125	-9.5734955e-11	0.05699281	0.05699281	0	54830.668	54830.477	-7.8831445e-06	663570.6	212007.92	-3.769764e-05	212009.92	663569.7	-8.81868e-05
0	0.62526435	0.6252622	-1.3428396e-10	0.056851286	0.056851286	0	54817.49	54817.3	-1.4477492e-05	663671.44	211696.56	-0.00022233014	211698.55	663670.56	-8.858203e-06
0	0.62511337	0.6251113	-1.2974602e-10	0.056709964	0.056709964	0	54804.258	54804.062	-1.3524848e-05	663772.56	211384.17	-0.00016763793	211386.19	663771.6	-4.833781e-05
0	0.6249609	0.6249588	-5.360651e-11	0.056568343	0.056568343	0	54790.887	54790.7	-4.625182e-06	663874.6	211068.75	-5.142384e-05	211070.75	663873.7	-2.2434817e-05
0	0.62480956	0.6248075	-1.8056885e-10	0.05642702	0.05642702	0	54777.617	54777.43	-1.2254309e-05	663975.5	210755.92	-3.51676e-05	210757.9	663974.5	-0.00016051914
0	0.62465703	0.6246549	-2.6750122e-10	0.05628581	0.05628581	0	54764.24	54764.05	-2.2574623e-05	664077.25	210440.56	-0.00026275672	210442.58	664076.25	-9.7733166e-05
0	0.624505	0.62450284	-2.3241652e-10	0.056144506	0.056144506	0	54750.914	54750.73	-1.9597337e-05	664178.2	210126.84	-0.00025527424	210128.86	664177.1	-5.767192e-05
