# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6509698	0.6492373	-1.4442465e-11	0.070710704	0.070710704	0	110889.29	110594.14	-4.540612e-06	646210.7	263636.53	-3.579559e-05	265192.97	645249.7	-2.0880347e-05
0	0.65086746	0.6491311	-3.9734424e-10	0.07056914	0.07056914	0	110871.83	110576.06	-6.650721e-05	646310.94	263389.06	-0.0003763238	264949.3	645348.56	-0.00017822727
0	0.65075994	0.6490213	-6.0505917e-10	0.07042789	0.07042789	0	110853.54	110557.36	-0.00010257236	646415.4	263131.7	-0.00045060393	264694.56	645452.25	-0.00041840883
0	0.65065306	0.6489121	-4.3506912e-10	0.0702864	0.0702864	0	110835.32	110538.75	-7.356037e-05	646519.25	262875.6	-0.00030955652	264441.06	645555.25	-0.0003015959
0	0.65054476	0.6488015	-3.783523e-10	0.07014501	0.07014501	0	110816.87	110519.914	-6.7307585e-05	646623.94	262616.72	-0.0002664679	264184.7	645659.25	-0.0002943099
0	0.6504347	0.64868915	-1.8966452e-10	0.07000352	0.07000352	0	110798.11	110500.766	-3.2325737e-05	646730.25	262353.88	-4.166499e-05	263924.47	645764.75	-0.00021539081
0	0.65032804	0.64858013	-8.132989e-11	0.069862254	0.069862254	0	110779.95	110482.21	-1.6221798e-05	646833.25	262099.03	-4.5823654e-05	263672.16	645867	-5.4231656e-05
0	0.65022045	0.6484703	-5.715751e-10	0.0697207	0.0697207	0	110761.63	110463.484	-9.894213e-05	646936.75	261842.45	-0.00052154245	263418.12	645969.75	-0.00029961095
0	0.6501102	0.6483577	-1.0765e-10	0.06957923	0.06957923	0	110742.87	110444.32	-1.9007284e-05	647042.7	261579.58	-1.7339824e-05	263157.88	646074.94	-0.0001522577
0	0.6500015	0.6482467	6.8078065e-12	0.06943795	0.06943795	0	110724.336	110425.41	-2.2539632e-06	647146.94	261320.58	-0.00018168175	262901.44	646178.44	0.00017600093
0	0.6498919	0.64813465	-2.2084563e-10	0.06929643	0.06929643	0	110705.65	110406.33	-4.1464195e-05	647251.9	261059.55	-0.00021720794	262643	646282.6	-0.00011658477
0	0.6497803	0.6480209	-3.8434894e-10	0.06915509	0.06915509	0	110686.66	110386.945	-6.3933745e-05	647358.3	260794.5	-0.00019301564	262380.6	646388.25	-0.0003056733
0	0.649672	0.64791024	-4.0936168e-10	0.0690136	0.0690136	0	110668.21	110368.09	-7.0891976e-05	647461.7	260536.98	-0.00033694462	262125.64	646490.9	-0.0002663064
0	0.6495613	0.6477971	-2.239394e-10	0.068872124	0.068872124	0	110649.34	110348.83	-3.7732636e-05	647567	260273.95	-0.00014493623	261865.22	646595.5	-0.00013838847
0	0.6494507	0.64768416	-5.7576344e-10	0.06873078	0.06873078	0	110630.51	110329.586	-9.923482e-05	647672	260011.48	-0.00046713697	261605.34	646699.9	-0.00036503904
0	0.6493402	0.6475715	-2.928542e-10	0.06858929	0.06858929	0	110611.695	110310.39	-5.131741e-05	647776.7	259749.69	-0.00016713243	261346.17	646803.8	-0.0002666334
0	0.64922786	0.6474567	1.1968e-10	0.06844799	0.06844799	0	110592.555	110290.83	2.1813612e-05	647883.1	259483.34	9.0199406e-05	261082.48	646909.3	0.00013935694
