# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.62363964	0.62702453	-4.058543e-10	0.07071097	0.07071097	0	69942.5	70322.125	-4.6309116e-05	666944.2	209722.44	0.00027944776	206151.34	668112.06	-0.00085752667
0	0.6235111	0.62689835	-2.7700867e-10	0.070569366	0.070569366	0	69928.08	70307.98	-2.7705368e-05	667025.1	209465.27	-0.00016320772	205890.47	668192.44	-0.0001826397
0	0.6233785	0.62676907	-2.2515277e-10	0.07042761	0.07042761	0	69913.21	70293.47	-3.2881246e-05	667107.94	209201.34	-0.0001484979	205621.98	668275.25	-0.0002619603
0	0.6232457	0.6266393	-2.5113558e-10	0.07028633	0.07028633	0	69898.32	70278.92	-3.1303967e-05	667190.8	208937.03	-0.0001713512	205353.16	668358.06	-0.00021941766
0	0.62311304	0.6265097	-2.1611977e-10	0.07014479	0.07014479	0	69883.42	70264.39	-1.5486157e-05	667273.5	208673.06	-8.657401e-05	205084.6	668440.5	-0.00010674042
0	0.62297994	0.6263799	-2.3197493e-10	0.07000352	0.07000352	0	69868.51	70249.82	-2.5061154e-05	667356.2	208408.77	-0.00010227702	204815.69	668523.06	-0.00021056258
0	0.6228465	0.62624973	-2.6924893e-11	0.06986232	0.06986232	0	69853.55	70235.21	-1.1010949e-05	667439	208143.84	-8.631509e-05	204546.2	668605.75	-5.113511e-05
0	0.6227125	0.6261188	2.8475753e-11	0.0697207	0.0697207	0	69838.516	70220.53	-2.891793e-06	667521.94	207877.83	6.304945e-05	204275.61	668688.56	-9.914783e-05
0	0.62257856	0.625988	-2.5641222e-10	0.06957944	0.06957944	0	69823.484	70205.88	-2.9411498e-05	667604.7	207612.08	-0.00018717673	204005.2	668771.2	-0.00017996841
0	0.6224441	0.6258567	-3.2638167e-10	0.0694377	0.0694377	0	69808.414	70191.14	-3.144991e-05	667687.6	207345.52	-0.0001472782	203734.11	668853.9	-0.0002453125
0	0.6223098	0.62572557	-5.047186e-10	0.069296405	0.069296405	0	69793.36	70176.44	-4.79534e-05	667770.25	207079.52	-0.00035584133	203463.47	668936.3	-0.00024276327
0	0.62217486	0.62559384	-1.4859546e-10	0.06915487	0.06915487	0	69778.22	70161.664	-1.1716962e-05	667853.1	206812.36	-0.00013171842	203191.67	669018.94	-1.45449685e-05
0	0.6220395	0.6254617	-1.378365e-10	0.0690136	0.0690136	0	69763.04	70146.836	-1.4166444e-05	667936.06	206544.48	-0.00010105507	202919.17	669101.8	-7.578532e-05
0	0.62190455	0.62532985	2.597493e-12	0.06887232	0.06887232	0	69747.9	70132.055	-5.4034836e-06	668018.56	206277.58	-3.0202475e-05	202647.67	669184.2	-3.7249465e-05
0	0.6217688	0.62519723	-2.4628669e-10	0.06873079	0.06873079	0	69732.67	70117.19	-2.6157597e-05	668101.5	206009.39	-0.0001570761	202374.89	669266.8	-0.00016945045
0	0.62163275	0.62506443	-1.3204274e-10	0.0685895	0.0685895	0	69717.42	70102.28	-1.4081588e-05	668184.3	205740.66	-7.2911906e-05	202101.5	669349.5	-0.000102869235
0	0.62149644	0.62493116	-9.966321e-11	0.068447776	0.068447776	0	69702.125	70087.34	-9.209167e-06	668267.3	205471.48	-0.00010479525	201827.67	669432.2	-1.0163226e-05
0	0.62135994	0.62479794	-2.9401417e-10	0.0683065	0.0683065	0	69686.82	70072.4	-3.1349016e-05	668350	205202.31	-0.00025336567	201553.9	669514.8	-0.00013796562
0	0.62122226	0.62466323	-4.03865e-10	0.06816496	0.06816496	0	69671.375	70057.3	-3.7856356e-05	668433.44	204930.58	-0.00013779243	201277.69	669598	-0.00033477027
0	0.621086	0.62453026	-9.0088e-11	0.068023674	0.068023674	0	69656.09	70042.38	-1.3951171e-05	668515.75	204662.3	-0.00010582806	201004.67	669680.06	-6.832508e-05
0	0.620949	0.6243965	-1.5913226e-10	0.067882404	0.067882404	0	69640.734	70027.375	-2.6130856e-05	668598.25	204392.55	-4.7104262e-05	200730.22	669762.5	-0.00027908848
0	0.6208112	0.62426186	-2.2069725e-10	0.067740865	0.067740865	0	69625.28	70012.28	-2.4128374e-05	668681.2	204121.42	-0.0001579435	200454.42	669845.2	-0.00014325212
0	0.620673	0.6241269	-1.2913408e-11	0.06759956	0.06759956	0	69609.78	69997.14	-7.215457e-06	668764.1	203849.73	-5.5487795e-05	200178.1	669927.9	-3.45831e-05
0	0.620535	0.6239921	-2.900921e-10	0.06745787	0.06745787	0	69594.3	69982.016	-3.0607185e-05	668846.94	203578.45	-0.00022861201	199902.12	670010.3	-0.00015345895
0	0.62039655	0.6238568	-2.5257055e-10	0.067316584	0.067316584	0	69578.77	69966.836	-2.6916456e-05	668929.7	203306.5	-0.0001467724	199625.5	670092.9	-0.00018922701
0	0.62025815	0.6237215	-1.9528565e-10	0.067174956	0.067174956	0	69563.25	69951.67	-2.049036e-05	669012.25	203034.78	-7.798732e-05	199349.12	670175.25	-0.00017779483
0	0.6201187	0.62358516	-1.6424576e-10	0.06703376	0.06703376	0	69547.61	69936.39	-1.7230615e-05	669095.3	202761.11	-9.661874e-05	199070.83	670258.1	-0.00011847186
0	0.61997944	0.6234491	-3.7576237e-10	0.06689248	0.06689248	0	69532	69921.12	-4.1650106e-05	669178.06	202488.12	-0.00026959603	198793.12	670340.56	-0.0002503242
0	0.6198398	0.6233127	-2.6721e-10	0.06675091	0.06675091	0	69516.336	69905.83	-3.0849704e-05	669260.8	202214.58	-0.00012984856	198514.89	670423.1	-0.00025524976
0	0.61969995	0.6231759	-1.7472952e-10	0.06660963	0.06660963	0	69500.64	69890.484	-1.6622796e-05	669343.7	201940.55	-0.00012939305	198236.16	670505.7	-7.8110104e-05
0	0.61955965	0.6230389	-3.4081643e-10	0.066467956	0.066467956	0	69484.92	69875.125	-3.4264336e-05	669426.44	201666.27	-0.00026901954	197957.19	670588.25	-0.00015870376
0	0.6194196	0.6229018	-3.0746275e-10	0.06632633	0.06632633	0	69469.2	69859.75	-3.4136792e-05	669509	201392.03	-0.0001894228	197678.28	670670.56	-0.0002367084
0	0.6192787	0.6227642	-1.8607771e-10	0.06618504	0.06618504	0	69453.414	69844.31	-2.5485837e-05	669591.75	201116.86	-0.00010033422	197398.39	670753.2	-0.0002178067
0	0.6191375	0.62262625	-2.340924e-10	0.06604385	0.06604385	0	69437.57	69828.836	-2.2462213e-05	669674.7	200841	-8.594149e-05	197117.81	670835.7	-0.0001944554
0	0.6189964	0.62248826	-2.1593904e-11	0.06590254	0.06590254	0	69421.74	69813.36	-3.1573193e-06	669757.4	200565.44	1.3129148e-05	196837.58	670918	-5.2542113e-05
0	0.6188548	0.6223498	-9.008739e-11	0.065760985	0.065760985	0	69405.86	69797.83	-7.024035e-06	669840	200289.17	-2.5322905e-05	196556.62	671000.56	-6.235846e-05
0	0.6187126	0.6222108	-1.7060155e-10	0.0656197	0.0656197	0	69389.914	69782.234	-1.44676505e-05	669923.06	200011.89	-0.00015895978	196274.58	671083.2	-2.1640595e-05
0	0.61857057	0.6220719	-4.2755158e-10	0.06547804	0.06547804	0	69373.984	69766.67	-4.7005953e-05	670005.7	199735.17	-0.00032907265	195993.12	671165.44	-0.00025770496
