# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6641126	0.6615282	-2.307924e-10	0.07071067	0.07071067	0	169064.11	168406.19	-5.994898e-05	604335.75	324098.28	-0.00018588665	325421.9	602041.3	-0.00011574074
0	0.6640402	0.66145265	-4.615848e-10	0.07056918	0.07056918	0	169045.69	168386.94	-0.00011647002	604407.5	323924.6	-0.00034371493	325248.9	602109.1	-0.00034020763
0	0.6639646	0.6613715	-3.2152056e-10	0.07042789	0.07042789	0	169026.4	168366.28	-8.0357146e-05	604485	323738.66	-0.00022797419	325065.3	602181.44	-0.00024200337
0	0.6638886	0.6612894	-9.65816e-11	0.070286386	0.070286386	0	169007.03	168345.39	-2.726403e-05	604563.7	323550.7	1.0521885e-05	324880.16	602254.5	-0.00017536475
0	0.6638128	0.66120785	-3.0103357e-11	0.07014502	0.07014502	0	168987.77	168324.62	-7.413903e-06	604641.5	323364.22	-5.9624017e-05	324696.44	602326.75	3.507295e-06
0	0.66373587	0.66112494	-2.307924e-10	0.07000351	0.07000352	0	168968.19	168303.52	-5.994898e-05	604720.75	323174.5	-0.00012626263	324509.5	602400.3	-0.00018588665
0	0.6636595	0.66104245	-1.8730976e-10	0.06986222	0.069862224	0	168948.73	168282.52	-4.7831632e-05	604799.3	322986.2	-0.0001104798	324324	602473.2	-0.00014029181
0	0.66358274	0.66095966	-5.2346394e-10	0.069720745	0.069720745	0	168929.2	168261.45	-0.00013679847	604877.75	322797.4	-0.00038755612	324138.06	602546.2	-0.00034371493
0	0.66350585	0.6608768	-2.9267153e-10	0.06957926	0.06957926	0	168909.64	168240.36	-7.302296e-05	604956.4	322608.47	-0.00023323513	323951.9	602619.06	-0.00019640852
0	0.66342944	0.66079444	-4.5489515e-10	0.06943794	0.06943794	0	168890.19	168219.39	-0.00010905612	605034.3	322420.78	-0.00034897588	323766.97	602691.4	-0.00026304714
0	0.66335106	0.66071	-2.508613e-10	0.0692964	0.0692964	0	168870.23	168197.88	-6.3137755e-05	605114.06	322228.4	-0.00025603254	323577.4	602765.56	-9.469697e-05
0	0.66327477	0.6606274	-1.7058568e-10	0.0691551	0.0691551	0	168850.8	168176.88	-4.559949e-05	605192.2	322040.56	-7.36532e-05	323392.53	602837.9	-0.00016133557
0	0.6631958	0.6605425	-4.1475734e-10	0.0690136	0.0690136	0	168830.7	168155.23	-0.000104910716	605271.9	321847.53	-0.00028935185	323202.28	602911.94	-0.000308642
0	0.66311836	0.66045856	-3.2444727e-10	0.06887212	0.068872124	0	168811.02	168133.89	-8.0357146e-05	605351.44	321656.47	-0.00027006172	323014.38	602985.5	-0.00016133557
0	0.6630409	0.6603749	-1.337927e-10	0.06873082	0.06873082	0	168791.27	168112.58	-3.6670917e-05	605429.94	321466.5	-9.469697e-05	322827.25	603058.3	-0.00013327722
0	0.6629631	0.66029096	-5.1510185e-10	0.06858932	0.06858932	0	168771.45	168091.22	-0.00012994261	605508.44	321276.25	-0.00029812008	322639.88	603131.25	-0.0004384119
0	0.66288424	0.6602057	-1.4215473e-10	0.068447955	0.068447955	0	168751.36	168069.52	-3.9540817e-05	605588.5	321082.8	-7.5406846e-05	322449.44	603205.3	-0.0001437991
0	0.66280544	0.6601207	4.682744e-11	0.06830648	0.06830648	0	168731.31	168047.86	1.1798469e-05	605667.9	320890.12	7.36532e-05	322259.66	603278.9	-1.7536477e-05
0	0.6627271	0.6600363	-4.3817108e-10	0.068165146	0.06816515	0	168711.39	168026.39	-0.000117346935	605746.25	320699.25	-0.0004384119	322071.7	603351.6	-0.0002174523
0	0.66264826	0.65995127	-5.8534305e-10	0.068023674	0.068023674	0	168691.3	168004.73	-0.00014508929	605825.44	320506.78	-0.0004208754	321882.03	603425.06	-0.00039983165
0	0.6625682	0.65986484	-5.1008464e-10	0.06788219	0.067882195	0	168670.95	167982.75	-0.00012866709	605906	320311.25	-0.00042789002	321689.6	603499.56	-0.0002875982
0	0.6624895	0.65977937	-2.1741313e-10	0.06774088	0.06774088	0	168650.9	167960.97	-5.8274873e-05	605985.9	320117.88	-0.00016133557	321499.47	603573.25	-0.0001473064
0	0.6624102	0.65969354	-4.247918e-10	0.067599334	0.067599334	0	168630.7	167939.14	-0.00010889668	606065.5	319924.1	-0.00021920595	321308.78	603646.94	-0.00038580247
0	0.6623315	0.6596086	-1.354651e-10	0.06745803	0.06745803	0	168610.69	167917.5	-3.380102e-05	606143.94	319732.5	-9.118967e-05	321120.22	603719.6	-8.7682376e-05
0	0.66225076	0.6595216	4.1810215e-11	0.06731653	0.06731653	0	168590.11	167895.36	1.3392857e-05	606224	319536.5	0.00014555275	320927.03	603793.8	-5.2609426e-05
0	0.6621705	0.65943503	-1.8730976e-10	0.06717506	0.06717506	0	168569.7	167873.31	-5.1020408e-05	606303.94	319341.12	-0.00013327722	320734.75	603867.9	-0.0001437991
