# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.652751	0.65275097	-1.3730912e-10	0.07071067	0.07071067	0	178107.78	178107.77	-3.5714285e-05	619150.7	294700.72	-9.653141e-05	294700.7	619150.7	-5.235602e-05
0	0.6526722	0.652672	-1.9972236e-10	0.07056918	0.07056918	0	178086.27	178086.22	-6.122449e-05	619214.6	294526.28	-0.0002045157	294526.38	619214.5	-0.00010471204
0	0.65258837	0.6525881	-4.2441003e-10	0.07042789	0.07042789	0	178063.38	178063.31	-0.000105867344	619282.9	294340.72	-0.00021596858	294340.8	619282.7	-0.0003304974
0	0.6525049	0.6525047	-1.9348105e-10	0.070286386	0.070286386	0	178040.62	178040.56	-4.4642857e-05	619351.25	294155.5	-6.2172774e-05	294155.6	619351	-0.00018324607
0	0.65242124	0.6524211	-5.3051254e-11	0.07014502	0.07014501	0	178017.8	178017.77	-1.4030612e-05	619419.75	293970	-4.090314e-05	293970.1	619419.6	-4.5811517e-05
0	0.65233773	0.6523375	-1.02981845e-10	0.07000351	0.07000352	0	177995	177994.94	-2.8061224e-05	619487.94	293784.7	3.2722513e-05	293784.78	619487.75	-0.00017015707
0	0.65225303	0.65225285	-3.0894554e-10	0.06986222	0.069862224	0	177971.9	177971.83	-8.0357146e-05	619556.8	293597.28	-0.00015052356	293597.4	619556.7	-0.0002290576
0	0.65216845	0.6521682	-2.21567e-10	0.069720745	0.069720745	0	177948.84	177948.75	-6.122449e-05	619625.8	293409.94	-0.00017342932	293410.03	619625.7	-0.00011780105
0	0.65208465	0.65208435	-3.7447944e-11	0.06957926	0.06957926	0	177925.94	177925.89	-6.377551e-06	619694.3	293224	1.7997381e-05	293224.12	619694.1	-8.5078536e-05
0	0.6519995	0.6519993	-2.1844634e-10	0.06943794	0.06943794	0	177902.72	177902.66	-5.994898e-05	619762.9	293036.3	-6.708115e-05	293036.4	619762.6	-0.00019633508
0	0.6519149	0.65191466	-2.5589428e-10	0.0692964	0.0692964	0	177879.62	177879.56	-6.696428e-05	619831.6	292849.1	-0.00022578533	292849.2	619831.44	-0.000111256544
0	0.65182906	0.6518289	-2.371703e-10	0.0691551	0.0691551	0	177856.22	177856.16	-6.377551e-05	619900.6	292659.94	-0.00019633508	292660.03	619900.56	-0.0001145288
0	0.6517447	0.65174454	-2.3092898e-10	0.0690136	0.0690136	0	177833.2	177833.17	-6.377551e-05	619969.4	292473.2	-4.908377e-05	292473.3	619969.2	-0.00024214659
0	0.65165997	0.6516597	3.120662e-11	0.068872124	0.068872124	0	177810.08	177810	-1.2755102e-06	620037.75	292286.06	2.1269634e-05	292286.12	620037.5	-2.2905759e-05
0	0.6515734	0.6515732	-3.0582487e-10	0.06873082	0.06873082	0	177786.47	177786.4	-8.67347e-05	620106.94	292095.7	-0.0002045157	292095.78	620106.75	-0.00020942408
0	0.65148723	0.65148705	-3.2454886e-10	0.06858932	0.06858932	0	177762.95	177762.89	-8.418367e-05	620176.1	291905.88	-0.00029450262	291906	620175.94	-0.00015379582
0	0.65140194	0.65140176	-4.3689267e-11	0.068447955	0.068447955	0	177739.69	177739.61	-3.8265307e-06	620244.94	291717.75	-3.1086387e-05	291717.88	620244.6	-6.5445024e-06
0	0.6513154	0.65131515	-1.02981845e-10	0.06830648	0.06830648	0	177716.06	177716	-2.9336734e-05	620313.9	291527.53	-3.2722513e-05	291527.62	620313.7	-8.5078536e-05
0	0.65122944	0.65122926	-1.1858516e-10	0.06816515	0.06816515	0	177692.62	177692.56	-3.3163265e-05	620383.2	291338.1	-2.9450262e-05	291338.2	620382.9	-0.0001341623
0	0.65114284	0.65114266	-2.5589428e-10	0.068023674	0.068023674	0	177668.97	177668.9	-6.8877554e-05	620452	291147.84	-0.00015379582	291147.97	620451.8	-0.00017342932
0	0.65105635	0.65105623	-7.1775225e-11	0.067882195	0.06788219	0	177645.38	177645.31	-1.9770408e-05	620521.2	290957.66	-1.9633508e-05	290957.75	620521	-9.489529e-05
