# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_fullx (A/m)	m_fully (A/m)	m_fullz (A/m)	m_full.region1x (A/m)	m_full.region1y (A/m)	m_full.region1z (A/m)	m_full.region2x (A/m)	m_full.region2y (A/m)	m_full.region2z (A/m)
0	0.6451895	0.6451861	-2.9209152e-10	0.07071067	0.07071067	0	152817.75	152816.92	-6.505102e-05	649710.06	253551.86	-0.00025633292	253555.2	649708.7	-0.00014371607
0	0.64508826	0.6450858	-2.0671093e-10	0.07056918	0.07056918	0	152793.78	152793.19	-5.9630103e-05	649797.44	253323.7	-0.00010177925	253326.17	649796.44	-0.00022853211
0	0.64498365	0.64498127	-2.0671093e-10	0.07042789	0.07042789	0	152769	152768.42	-5.0701532e-05	649888.7	253086.06	-0.000111203255	253088.48	649887.6	-0.00015455368
0	0.6448787	0.6448762	-3.2983874e-10	0.070286386	0.070286386	0	152744.12	152743.53	-8.2589286e-05	649980.2	252847.53	-0.00014136007	252849.94	649979.2	-0.00035434257
0	0.64477384	0.6447715	-1.3481147e-10	0.07014501	0.07014502	0	152719.31	152718.73	-3.2206633e-05	650071	252610.1	-3.958082e-05	252612.48	650070.06	-0.00013947528
0	0.64466757	0.64466506	-1.689637e-10	0.07000352	0.07000352	0	152694.11	152693.55	-3.8265305e-05	650163.4	252368.81	-3.863842e-05	252371.2	650162.3	-0.0002035585
0	0.6445624	0.64456	-6.668674e-10	0.069862224	0.06986222	0	152669.23	152668.64	-0.00016039542	650254.44	252130.61	-0.00051266584	252133	650253.44	-0.00042973462
0	0.6444564	0.644454	-1.3660896e-10	0.069720745	0.069720745	0	152644.11	152643.53	-3.252551e-05	650346.06	251890.52	-0.00015361128	251892.94	650345.06	-5.2774427e-05
0	0.64435005	0.64434755	-2.1749584e-10	0.06957926	0.06957926	0	152618.9	152618.31	-4.846939e-05	650437.94	251649.64	-0.00013287847	251652.06	650436.94	-0.00013947528
0	0.64424354	0.6442411	-3.8645956e-10	0.06943794	0.06943794	0	152593.67	152593.11	-9.3431125e-05	650529.7	251408.89	-0.00028837455	251411.31	650528.7	-0.00025633292
0	0.6441366	0.6441342	-1.1953284e-10	0.0692964	0.0692964	0	152568.36	152567.78	-2.8061224e-05	650621.56	251167.34	1.1308805e-05	251169.77	650620.56	-0.00016963208
0	0.64402956	0.6440271	2.6512922e-10	0.0691551	0.069155104	0	152543.02	152542.42	6.632653e-05	650713.44	250925.48	0.00025350574	250927.92	650712.44	0.00013664807
0	0.6439223	0.6439199	-2.1749584e-10	0.069013596	0.0690136	0	152517.6	152517.03	-5.484694e-05	650805.4	250683.53	-0.00015832328	250685.97	650804.25	-0.00016586248
0	0.6438155	0.643813	-3.666872e-10	0.068872124	0.068872124	0	152492.3	152491.72	-8.8329085e-05	650896.75	250442.44	-0.00025444812	250444.88	650895.75	-0.00028648975
0	0.6437073	0.64370483	-1.10545406e-10	0.06873082	0.06873082	0	152466.69	152466.1	-2.6466836e-05	650989.06	250198.83	-7.539204e-05	250201.27	650988.06	-9.424005e-05
0	0.64359933	0.6435969	-2.6602798e-10	0.06858932	0.06858932	0	152441.11	152440.52	-6.122449e-05	651081.1	249955.47	-0.00023183052	249957.88	651080.1	-0.00014701448
0	0.6434912	0.64348876	-3.5949726e-12	0.068447955	0.068447955	0	152415.5	152414.92	-6.377551e-06	651173.1	249712.1	1.3193607e-05	249714.53	651172.2	-4.523522e-05
0	0.6433828	0.6433802	-2.1569835e-10	0.06830648	0.06830648	0	152389.8	152389.2	-5.0382652e-05	651265.3	249468.06	-8.293124e-05	249470.5	651264.25	-0.00021298252
0	0.6432742	0.64327174	-4.5296655e-10	0.06816515	0.06816515	0	152364.08	152363.48	-0.00010522959	651357.25	249224.12	-0.00027800814	249226.56	651356.25	-0.00035434257
0	0.64316505	0.6431626	-4.7633386e-10	0.068023674	0.068023674	0	152338.25	152337.66	-0.00011447704	651449.7	248979.02	-0.00033455217	248981.48	651448.6	-0.0003581122
0	0.6430561	0.64305365	-1.8514108e-10	0.06788219	0.06788219	0	152312.44	152311.83	-4.1135205e-05	651541.7	248734.36	-0.0002459665	248736.84	651540.7	-2.261761e-05
0	0.64294666	0.64294416	-1.9322978e-10	0.06774088	0.06774088	0	152286.48	152285.92	-3.6989797e-05	651633.94	248488.94	-0.0001922497	248491.39	651632.94	-4.9004826e-05
